x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.004607, -0.007786, 0.000229 
-0.004647, -0.007854, 0.000231 
-0.004766, -0.008054, 0.000237 
-0.004884, -0.008255, 0.000243 
-0.005000, -0.008451, 0.000249 
-0.005118, -0.008649, 0.000255 
-0.005236, -0.008850, 0.000261 
-0.005354, -0.009048, 0.000267 
-0.005473, -0.009249, 0.000273 
-0.005590, -0.009447, 0.000278 
-0.005708, -0.009647, 0.000284 
-0.005825, -0.009844, 0.000290 
-0.005943, -0.010044, 0.000296 
-0.006061, -0.010243, 0.000302 
-0.006178, -0.010441, 0.000308 
-0.006298, -0.010644, 0.000314 
-0.006416, -0.010843, 0.000319 
-0.006534, -0.011042, 0.000325 
-0.006651, -0.011241, 0.000331 
-0.006769, -0.011440, 0.000337 
-0.006887, -0.011639, 0.000343 
-0.007005, -0.011838, 0.000349 
-0.007123, -0.012039, 0.000355 
-0.007241, -0.012238, 0.000361 
-0.007360, -0.012439, 0.000366 
-0.007476, -0.012634, 0.000372 
-0.007593, -0.012833, 0.000378 
-0.007711, -0.013033, 0.000384 
-0.007829, -0.013232, 0.000390 
-0.007947, -0.013431, 0.000396 
-0.008063, -0.013628, 0.000401 
-0.008181, -0.013827, 0.000407 
-0.008299, -0.014026, 0.000413 
-0.008417, -0.014226, 0.000419 
-0.008536, -0.014426, 0.000425 
-0.008654, -0.014625, 0.000431 
-0.010736, -0.017676, 0.000475 
-0.010826, -0.017822, 0.000479 
-0.010993, -0.018092, 0.000485 
-0.011161, -0.018364, 0.000492 
-0.011328, -0.018634, 0.000499 
-0.011494, -0.018904, 0.000506 
