x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.001217, -0.002488, -0.000077 
-0.001218, -0.002490, -0.000077 
-0.001246, -0.002546, -0.000079 
-0.001273, -0.002602, -0.000080 
-0.001300, -0.002657, -0.000082 
-0.001327, -0.002713, -0.000084 
-0.001354, -0.002768, -0.000085 
-0.001381, -0.002823, -0.000087 
-0.001408, -0.002878, -0.000089 
-0.001435, -0.002933, -0.000091 
-0.001462, -0.002989, -0.000092 
-0.001489, -0.003044, -0.000094 
-0.001516, -0.003099, -0.000096 
-0.001543, -0.003154, -0.000097 
-0.001570, -0.003210, -0.000099 
-0.001597, -0.003265, -0.000101 
-0.001624, -0.003320, -0.000102 
-0.001651, -0.003375, -0.000104 
-0.001679, -0.003431, -0.000106 
-0.001706, -0.003486, -0.000108 
-0.001732, -0.003541, -0.000109 
-0.001759, -0.003596, -0.000111 
-0.001787, -0.003652, -0.000113 
-0.001814, -0.003707, -0.000114 
-0.001842, -0.003765, -0.000116 
-0.001868, -0.003818, -0.000118 
-0.001895, -0.003872, -0.000119 
-0.001922, -0.003928, -0.000121 
-0.001948, -0.003982, -0.000123 
-0.001976, -0.004039, -0.000125 
-0.002003, -0.004094, -0.000126 
-0.002031, -0.004152, -0.000128 
-0.002057, -0.004204, -0.000130 
-0.002084, -0.004259, -0.000131 
-0.002111, -0.004315, -0.000133 
-0.002139, -0.004373, -0.000135 
-0.002207, -0.003712, 0.000413 
-0.002214, -0.003722, 0.000416 
