x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000835, -0.000726, -0.000233 
-0.000836, -0.000727, -0.000234 
-0.000855, -0.000743, -0.000239 
-0.000873, -0.000759, -0.000244 
-0.000891, -0.000775, -0.000249 
-0.000910, -0.000791, -0.000254 
-0.000929, -0.000808, -0.000260 
-0.000947, -0.000823, -0.000265 
-0.000965, -0.000839, -0.000270 
-0.000984, -0.000855, -0.000275 
-0.001002, -0.000871, -0.000280 
-0.001020, -0.000887, -0.000285 
-0.001038, -0.000903, -0.000290 
-0.001057, -0.000919, -0.000295 
-0.001075, -0.000935, -0.000301 
-0.001094, -0.000951, -0.000306 
-0.001112, -0.000967, -0.000311 
-0.001131, -0.000983, -0.000316 
-0.001149, -0.000999, -0.000321 
-0.001167, -0.001015, -0.000326 
-0.001185, -0.001031, -0.000331 
-0.001204, -0.001047, -0.000337 
-0.001222, -0.001063, -0.000342 
-0.001241, -0.001079, -0.000347 
-0.001259, -0.001095, -0.000352 
-0.001277, -0.001111, -0.000357 
-0.001296, -0.001127, -0.000362 
-0.001314, -0.001143, -0.000367 
-0.001333, -0.001159, -0.000373 
-0.001351, -0.001175, -0.000378 
-0.001370, -0.001191, -0.000383 
-0.001388, -0.001207, -0.000388 
-0.001406, -0.001223, -0.000393 
-0.001425, -0.001239, -0.000398 
-0.001443, -0.001255, -0.000403 
-0.001462, -0.001271, -0.000409 
-0.001480, -0.001287, -0.000414 
-0.002243, -0.000557, -0.000410 
