x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.003648, 0.002096, 0.001564 
-0.003681, 0.002115, 0.001578 
-0.003777, 0.002170, 0.001619 
-0.003873, 0.002225, 0.001660 
-0.003970, 0.002280, 0.001702 
-0.004066, 0.002336, 0.001743 
-0.004164, 0.002392, 0.001785 
-0.004260, 0.002447, 0.001826 
-0.004356, 0.002503, 0.001868 
-0.004454, 0.002559, 0.001909 
-0.004550, 0.002614, 0.001951 
-0.004650, 0.002672, 0.001994 
-0.004743, 0.002725, 0.002033 
-0.004840, 0.002781, 0.002075 
-0.004936, 0.002836, 0.002116 
-0.005034, 0.002892, 0.002158 
-0.005130, 0.002947, 0.002199 
-0.005227, 0.003003, 0.002241 
-0.005326, 0.003060, 0.002283 
-0.005421, 0.003115, 0.002324 
-0.005516, 0.003169, 0.002365 
-0.005613, 0.003225, 0.002406 
-0.005709, 0.003280, 0.002447 
-0.005807, 0.003336, 0.002489 
-0.005904, 0.003392, 0.002531 
-0.006000, 0.003447, 0.002572 
-0.006097, 0.003502, 0.002614 
-0.006194, 0.003558, 0.002655 
-0.006289, 0.003613, 0.002696 
-0.006388, 0.003670, 0.002738 
-0.006484, 0.003725, 0.002780 
-0.006585, 0.003783, 0.002823 
-0.006677, 0.003836, 0.002863 
-0.006774, 0.003891, 0.002904 
-0.009030, 0.004484, 0.003624 
-0.009092, 0.004512, 0.003648 
-0.009247, 0.004582, 0.003708 
-0.009401, 0.004651, 0.003767 
-0.009551, 0.004719, 0.003825 
-0.009704, 0.004788, 0.003883 
-0.009855, 0.004857, 0.003942 
-0.010010, 0.004926, 0.004001 
-0.010162, 0.004995, 0.004060 
