x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.003156, -0.007019, 0.000141 
-0.003176, -0.007062, 0.000142 
-0.003254, -0.007236, 0.000145 
-0.003328, -0.007402, 0.000149 
-0.003405, -0.007572, 0.000152 
-0.003481, -0.007741, 0.000155 
-0.003557, -0.007911, 0.000159 
-0.003635, -0.008084, 0.000162 
-0.003710, -0.008250, 0.000166 
-0.003787, -0.008423, 0.000169 
-0.003863, -0.008592, 0.000172 
-0.003939, -0.008760, 0.000176 
-0.004015, -0.008928, 0.000179 
-0.004090, -0.009096, 0.000183 
-0.004168, -0.009269, 0.000186 
-0.004244, -0.009437, 0.000189 
-0.004320, -0.009608, 0.000193 
-0.004396, -0.009776, 0.000196 
-0.004473, -0.009946, 0.000200 
-0.004549, -0.010116, 0.000203 
-0.004626, -0.010287, 0.000206 
-0.004701, -0.010454, 0.000210 
-0.004778, -0.010626, 0.000213 
-0.004853, -0.010793, 0.000217 
-0.004930, -0.010963, 0.000220 
-0.005006, -0.011133, 0.000223 
-0.005082, -0.011302, 0.000227 
-0.005158, -0.011471, 0.000230 
-0.005235, -0.011641, 0.000234 
-0.005310, -0.011808, 0.000237 
-0.005387, -0.011980, 0.000240 
-0.005462, -0.012147, 0.000244 
-0.005539, -0.012318, 0.000247 
-0.005615, -0.012487, 0.000251 
-0.005692, -0.012658, 0.000254 
-0.005768, -0.012828, 0.000257 
-0.005844, -0.012997, 0.000261 
-0.005919, -0.013164, 0.000264 
-0.006764, -0.014257, 0.000335 
-0.006859, -0.014449, 0.000340 
