x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.004076, -0.002988, -0.000586 
-0.004079, -0.002991, -0.000587 
-0.004157, -0.003048, -0.000598 
-0.004249, -0.003115, -0.000611 
-0.004342, -0.003184, -0.000625 
-0.004436, -0.003252, -0.000638 
-0.004528, -0.003320, -0.000651 
-0.004621, -0.003388, -0.000665 
-0.004714, -0.003457, -0.000678 
-0.004806, -0.003524, -0.000691 
-0.004899, -0.003592, -0.000705 
-0.004992, -0.003660, -0.000718 
-0.005086, -0.003729, -0.000732 
-0.005179, -0.003797, -0.000745 
-0.005272, -0.003866, -0.000758 
-0.005365, -0.003933, -0.000772 
-0.005459, -0.004002, -0.000785 
-0.005552, -0.004071, -0.000799 
-0.005646, -0.004139, -0.000812 
-0.005738, -0.004207, -0.000825 
-0.005833, -0.004277, -0.000839 
-0.005924, -0.004344, -0.000852 
-0.006017, -0.004412, -0.000865 
-0.006110, -0.004480, -0.000879 
-0.006206, -0.004550, -0.000893 
-0.006301, -0.004620, -0.000906 
-0.006391, -0.004686, -0.000919 
-0.006483, -0.004754, -0.000933 
-0.006577, -0.004822, -0.000946 
-0.006670, -0.004891, -0.000959 
-0.006763, -0.004959, -0.000973 
-0.006855, -0.005026, -0.000986 
-0.006949, -0.005095, -0.001000 
-0.007042, -0.005164, -0.001013 
-0.007135, -0.005231, -0.001026 
-0.007228, -0.005299, -0.001040 
-0.007321, -0.005368, -0.001053 
-0.007414, -0.005436, -0.001066 
