x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.006046, 0.000475, -0.000334 
-0.006054, 0.000475, -0.000334 
-0.006186, 0.000486, -0.000342 
-0.006316, 0.000496, -0.000349 
-0.006447, 0.000506, -0.000356 
-0.006580, 0.000517, -0.000363 
-0.006709, 0.000527, -0.000371 
-0.006842, 0.000537, -0.000378 
-0.006971, 0.000547, -0.000385 
-0.007102, 0.000558, -0.000392 
-0.007232, 0.000568, -0.000399 
-0.007364, 0.000578, -0.000407 
-0.007495, 0.000589, -0.000414 
-0.007628, 0.000599, -0.000421 
-0.007757, 0.000609, -0.000428 
-0.007887, 0.000619, -0.000436 
-0.008019, 0.000630, -0.000443 
-0.008149, 0.000640, -0.000450 
-0.008282, 0.000650, -0.000457 
-0.008414, 0.000661, -0.000465 
-0.008542, 0.000671, -0.000472 
-0.008675, 0.000681, -0.000479 
-0.008806, 0.000691, -0.000486 
-0.008935, 0.000702, -0.000493 
-0.009068, 0.000712, -0.000501 
-0.009199, 0.000722, -0.000508 
-0.009330, 0.000733, -0.000515 
-0.009460, 0.000743, -0.000522 
-0.009592, 0.000753, -0.000530 
-0.009722, 0.000763, -0.000537 
-0.009854, 0.000774, -0.000544 
-0.009985, 0.000784, -0.000551 
-0.010115, 0.000794, -0.000559 
-0.010247, 0.000805, -0.000566 
-0.010377, 0.000815, -0.000573 
-0.010509, 0.000825, -0.000580 
-0.010639, 0.000835, -0.000588 
-0.010768, 0.000846, -0.000595 
