x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000605, -0.002010, -0.000021 
-0.000606, -0.002013, -0.000021 
-0.000622, -0.002066, -0.000021 
-0.000633, -0.002103, -0.000022 
-0.000649, -0.002155, -0.000022 
-0.000660, -0.002192, -0.000023 
-0.000673, -0.002237, -0.000023 
-0.000687, -0.002281, -0.000024 
-0.000700, -0.002326, -0.000024 
-0.000714, -0.002371, -0.000025 
-0.000727, -0.002416, -0.000025 
-0.000741, -0.002460, -0.000026 
-0.000754, -0.002504, -0.000026 
-0.000767, -0.002550, -0.000026 
-0.000781, -0.002594, -0.000027 
-0.000794, -0.002639, -0.000027 
-0.000808, -0.002683, -0.000028 
-0.000821, -0.002729, -0.000028 
-0.000835, -0.002773, -0.000029 
-0.000848, -0.002818, -0.000029 
-0.000862, -0.002862, -0.000030 
-0.000875, -0.002907, -0.000030 
-0.000889, -0.002952, -0.000031 
-0.000902, -0.002997, -0.000031 
-0.000915, -0.003041, -0.000032 
-0.000929, -0.003086, -0.000032 
-0.000942, -0.003131, -0.000033 
-0.000956, -0.003175, -0.000033 
-0.000969, -0.003219, -0.000033 
-0.000983, -0.003265, -0.000034 
-0.000996, -0.003309, -0.000034 
-0.001009, -0.003353, -0.000035 
-0.001023, -0.003398, -0.000035 
-0.001036, -0.003443, -0.000036 
-0.001050, -0.003489, -0.000036 
-0.001064, -0.003535, -0.000037 
-0.001077, -0.003577, -0.000037 
-0.003027, -0.003561, -0.000219 
