x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000942, -0.002747, -0.000377 
0.000943, -0.002751, -0.000378 
0.000964, -0.002811, -0.000386 
0.000985, -0.002871, -0.000394 
0.001005, -0.002931, -0.000403 
0.001026, -0.002991, -0.000411 
0.001046, -0.003050, -0.000419 
0.001067, -0.003111, -0.000427 
0.001087, -0.003171, -0.000436 
0.001108, -0.003231, -0.000444 
0.001129, -0.003291, -0.000452 
0.001149, -0.003351, -0.000460 
0.001170, -0.003411, -0.000469 
0.001190, -0.003471, -0.000477 
0.001211, -0.003531, -0.000485 
0.001231, -0.003590, -0.000493 
0.001252, -0.003651, -0.000502 
0.001273, -0.003711, -0.000510 
0.001293, -0.003771, -0.000518 
0.001314, -0.003831, -0.000526 
0.001334, -0.003890, -0.000534 
0.001355, -0.003950, -0.000543 
0.001375, -0.004011, -0.000551 
0.001396, -0.004070, -0.000559 
0.001417, -0.004130, -0.000567 
0.001437, -0.004190, -0.000576 
0.001458, -0.004250, -0.000584 
0.001478, -0.004310, -0.000592 
0.001499, -0.004370, -0.000600 
0.001519, -0.004430, -0.000609 
0.001540, -0.004491, -0.000617 
0.001561, -0.004550, -0.000625 
0.001582, -0.004612, -0.000634 
0.001602, -0.004671, -0.000642 
0.001623, -0.004731, -0.000650 
0.001643, -0.004791, -0.000658 
0.001664, -0.004851, -0.000666 
0.001684, -0.004911, -0.000675 
0.000982, -0.004165, -0.000264 
0.000982, -0.004168, -0.000264 
