x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.003573, -0.002261, 0.010597 
-0.003577, -0.002263, 0.010610 
-0.003669, -0.002321, 0.010881 
-0.003758, -0.002378, 0.011146 
-0.003849, -0.002435, 0.011416 
-0.003938, -0.002492, 0.011680 
-0.004029, -0.002549, 0.011948 
-0.004119, -0.002606, 0.012217 
-0.004210, -0.002664, 0.012485 
-0.004300, -0.002721, 0.012754 
-0.004389, -0.002777, 0.013017 
-0.004479, -0.002834, 0.013284 
-0.004571, -0.002892, 0.013556 
-0.004661, -0.002949, 0.013824 
-0.004750, -0.003005, 0.014087 
-0.004843, -0.003064, 0.014362 
-0.004930, -0.003119, 0.014622 
-0.005021, -0.003177, 0.014891 
-0.005111, -0.003234, 0.015158 
-0.005200, -0.003290, 0.015423 
-0.005292, -0.003348, 0.015695 
-0.005382, -0.003405, 0.015962 
-0.005476, -0.003465, 0.016241 
-0.005562, -0.003519, 0.016495 
-0.005652, -0.003576, 0.016762 
-0.005743, -0.003634, 0.017032 
-0.005833, -0.003691, 0.017300 
-0.005923, -0.003748, 0.017567 
-0.006013, -0.003805, 0.017834 
-0.006104, -0.003862, 0.018102 
-0.006194, -0.003919, 0.018369 
-0.006283, -0.003975, 0.018633 
-0.006832, -0.003440, 0.007636 
-0.006881, -0.003460, 0.007617 
-0.006983, -0.003500, 0.007579 
-0.007083, -0.003540, 0.007540 
-0.007185, -0.003581, 0.007502 
-0.007286, -0.003621, 0.007463 
-0.007387, -0.003661, 0.007425 
-0.007489, -0.003702, 0.007386 
-0.007590, -0.003742, 0.007348 
-0.007691, -0.003783, 0.007309 
-0.007792, -0.003823, 0.007271 
