vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,6.2613,6.26126,6.28318,6.28311
0,0,0,0,6.26109,6.26123,6.28318,6.28311
0,0,0,0,6.26094,6.26118,6.28318,6.28311
0,0,0,0,6.26086,6.26111,6.28318,6.28311
0,0,0,0,6.26078,6.26099,6.28318,6.28311
0,0,0,0,6.26069,6.26079,6.28318,6.28311
0,0,0,0,6.26057,6.26055,6.28318,6.2831
0,0,0,0,6.26044,6.2604,6.28318,6.2831
0,0,0,0,6.26017,6.26031,6.28318,6.2831
0,0,0,0,6.25981,6.26025,6.28318,6.2831
0,0,0,0,6.2597,6.26017,6.28318,6.2831
0,0,0,0,6.25968,6.26006,6.28318,6.2831
0,0,0,0,6.25966,6.25991,6.28318,6.2831
0,0,0,0,6.25962,6.25974,6.28318,6.2831
0,0,0,0,6.25955,6.25944,6.28318,6.2831
0,0,0,0,6.25944,6.25923,6.28318,6.2831
0,0,0,0,6.25921,6.25918,6.28318,6.2831
0,0,0,0,6.2587,6.25915,6.28318,6.2831
0,0,0,0,6.2585,6.25911,6.28318,6.28309
0,0,0,0,6.25847,6.25904,6.28318,6.28309
0,0,0,0,6.25844,6.25896,6.28318,6.28309
0,0,0,0,6.25838,6.25885,6.28318,6.28309
0,0,0,0,6.25825,6.25866,6.28318,6.28309
0,0.0063181,0,0,6.258,6.25842,6.28318,6.28309
0,0,0,0,6.25761,6.25823,6.28318,6.28309
0,0,0,0,6.25751,6.25815,6.28318,6.28309
0,0,0,0,6.25751,6.25811,6.28318,6.28308
0,0,0,0,6.2575,6.25806,6.28318,6.28308
0,0,0,0,6.25749,6.25797,6.28318,6.28308
0,0,0,0,6.25747,6.25785,6.28318,6.28308
0,0,0,0,6.25741,6.25772,6.28318,6.28308
0,0,0,0,6.25732,6.25749,6.28318,6.28308
0,0,0,0,6.25715,6.25716,6.28318,6.28308
0,0,0,0,6.25693,6.25704,6.28318,6.28308
0,0,0,0,6.25668,6.257,6.28318,6.28308
0,0,0,0,6.25655,6.25698,6.28318,6.28308
0,0,0,0,6.2565,6.25694,6.28318,6.28308
0,0,0,0,6.25645,6.25686,6.28318,6.28308
0,0,0,0,6.25638,6.25677,6.28318,6.28308
0,0,0,0,6.25629,6.25663,6.28318,6.28308
0,0,0,0,6.25617,6.25646,6.28318,6.28308
0,0,0,0,6.25597,6.25622,6.28318,6.28308
0,0,0,0,6.25561,6.25606,6.28318,6.28308
0,0,0,0,6.25527,6.25598,6.28318,6.28308
0,0.0063512,0,0,6.25523,6.25589,6.28318,6.28308
0,0,0,0,6.25523,6.2558,6.28318,6.28308
0,0,0,0,6.25521,6.25568,6.28318,6.28308
0,0,0,0,6.25518,6.25553,6.28318,6.28308
0,0,0,0,6.25511,6.25521,6.28318,6.28308
0,0,0,0,6.25498,6.25485,6.28318,6.28308
0,0,0,0,6.25478,6.25479,6.28318,6.28308
0,0,0,0,6.25448,6.25478,6.28318,6.28308
0,0,0,0,6.25434,6.25478,6.28318,6.28308
0,0,0,0,6.25429,6.25477,6.28318,6.28308
0,0,0,0,6.25425,6.25474,6.28318,6.28308
0,0,0,0,6.2542,6.25468,6.28318,6.28308
0,0,0,0,6.25411,6.25458,6.28318,6.28308
