vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,0.000374819,6.28279,6.24591,6.24648
0,0,0,0,0.000341014,3.37852e-05,6.24591,6.24648
0,0,0,0,0.000234627,0.000485183,6.24591,6.24648
0,0,0,0,7.7533e-05,0.000636312,6.24591,6.24648
0,0,0,0,6.28304,0.000686025,6.24591,6.24648
0,0,0,0,6.28286,0.000686025,6.24591,6.24648
0,0,0,0,6.28283,0.000684036,6.24591,6.24648
0,0,0,0,6.28282,0.000668128,6.24591,6.24648
0,0,0,0,6.28283,0.000590575,6.24591,6.24648
0,0,0,0,6.28284,0.000401664,6.24591,6.24648
0,0,0,0,6.28288,9.64241e-05,6.24591,6.24648
0,0,0,0,6.28298,6.28279,6.24591,6.24648
0,0,0,0,6.28313,6.28245,6.24591,6.24648
0,0,0,0,0.000160057,6.28243,6.24591,6.24648
0,0,0,0,0.000383768,6.28244,6.24591,6.24648
0,0,0,0,0.000439447,6.28245,6.24591,6.24648
0,0,0,0,0.000439447,6.2825,6.24591,6.24648
0,0,0,0,0.000431492,6.28263,6.24591,6.24648
0,0,0,0,0.00040067,6.28293,6.24591,6.24648
0,0,0,0,0.000302238,0.000254513,6.24591,6.24648
0,0,0,0,0.000120287,0.000560747,6.24591,6.24648
0,0,0,0,6.28303,0.000681054,6.24591,6.24648
0,0,0,0,6.28284,0.00070591,6.24591,6.24648
0,0,0,0,6.28281,0.00070591,6.24591,6.24648
0,0,0,0,6.28281,0.000701933,6.24591,6.24648
0,0,0,0,6.28281,0.000669122,6.24591,6.24648
0,0,0,0,6.28282,0.000553787,6.24591,6.24648
0,0,0,0,6.28285,0.000307209,6.24591,6.24648
0,0,0,0,6.28291,6.28314,6.24591,6.24648
0,0,0,0,6.28302,6.28263,6.24591,6.24648
0,0,0,0,6.28318,6.28242,6.24591,6.24648
0,0,0,0,0.000232639,6.28242,6.24591,6.24648
0,0,0,0,0.000391722,6.28242,6.24591,6.24648
0,0,0,0,0.000411607,6.28243,6.24591,6.24648
0,0,0,0,0.000406636,6.28248,6.24591,6.24648
0,0,0,0,0.00038675,6.28262,6.24591,6.24648
0,0,0,0,0.000321129,6.28294,6.24591,6.24648
0,0,0,0,0.000162046,0.00029826,6.24591,6.24648
0,0,0,0,6.28311,0.000572678,6.24591,6.24648
0,0,0,0,6.28289,0.000681054,6.24591,6.24648
0,0,0,0,6.28283,0.000693979,6.24591,6.24648
0,0,0,0,6.28283,0.000693979,6.24591,6.24648
0,0,0,0,6.28283,0.000690996,6.24591,6.24648
0,0,0,0,6.28284,0.00066614,6.24591,6.24648
0,0,0,0,6.28286,0.000566713,6.24591,6.24648
0,0,0,0,6.28292,0.000334054,6.24591,6.24648
0,0,0,0,6.28302,6.28318,6.24591,6.24648
0,0,0,0,6.28317,6.28271,6.24591,6.24648
0,0,0,0,0.000281358,6.28245,6.24591,6.24648
0,0,0,0,0.000531913,6.28244,6.24591,6.24648
0,0,0,0,0.000562736,6.28245,6.24591,6.24648
0,0,0,0,0.000558759,6.28246,6.24591,6.24648
0,0,0,0,0.000519982,6.28249,6.24591,6.24648
0,0,0,0,0.000360899,6.2826,6.24591,6.24648
0,0,0,0,3.47795e-05,6.28287,6.24591,6.24648
0,0,0,0,6.28285,0.00017,6.24591,6.24648
