time_stamp [], traj_point [], x_pos [m], y_pos [m], heading [rad], lin_vel [m/s], ang_vel [rad/s]
0.000000000,0,0.744355,-1.05708e-05,5.7904e-07,0.3,0
0.000000000,0,0.759355,-1.05621e-05,5.7904e-07,0.3,0
0.000000000,0,0.774355,-1.05534e-05,5.7904e-07,0.3,0
0.000000000,0,0.789355,-1.05448e-05,5.7904e-07,0.3,0
0.000000000,0,0.804356,-1.05361e-05,5.7904e-07,0.3,0
0.000000000,0,0.819355,-1.05274e-05,5.7904e-07,0.3,0
0.000000000,0,0.834355,-1.05187e-05,5.7904e-07,0.3,0
0.000000000,0,0.849355,-1.051e-05,5.7904e-07,0.3,0
0.000000000,0,0.864356,-1.05013e-05,5.7904e-07,0.3,0
0.000000000,0,0.879355,-1.04926e-05,5.7904e-07,0.3,0
0.000000000,0,0.894355,-1.0484e-05,5.7904e-07,0.3,0
0.000000000,0,0.909355,-1.04753e-05,5.7904e-07,0.3,0
0.000000000,0,0.924356,-1.04666e-05,5.7904e-07,0.3,0
0.000000000,0,0.939355,-1.04579e-05,5.7904e-07,0.3,0
0.000000000,0,0.954355,-1.04492e-05,5.7904e-07,0.3,0
0.000000000,0,0.969355,-1.04405e-05,5.7904e-07,0.3,0
0.000000000,0,0.984355,-1.04318e-05,5.7904e-07,0.3,0
0.000000000,0,0.999355,-1.04232e-05,5.7904e-07,0.3,0
0.000000000,0,1.01436,-1.04145e-05,5.7904e-07,0.3,0
0.000000000,0,1.02936,-1.04058e-05,5.7904e-07,0.3,0
0.000000000,0,1.04436,-1.03971e-05,5.7904e-07,0.3,0
0.000000000,0,1.05936,-1.03884e-05,5.7904e-07,0.3,0
0.000000000,0,1.07436,-1.03797e-05,5.7904e-07,0.3,0
0.000000000,0,1.08936,-1.0371e-05,5.7904e-07,0.3,0
0.000000000,0,1.10436,-1.03624e-05,5.7904e-07,0.3,0
0.000000000,0,1.11936,-1.03537e-05,5.7904e-07,0.3,0
0.000000000,0,1.13436,-1.0345e-05,5.7904e-07,0.3,0
0.000000000,0,1.14936,-1.03363e-05,5.7904e-07,0.3,0
0.000000000,0,1.16436,-1.03276e-05,5.7904e-07,0.3,0
0.000000000,0,1.17936,-1.03189e-05,5.7904e-07,0.3,0
0.000000000,0,1.19436,-1.03102e-05,5.7904e-07,0.3,0
0.000000000,0,1.20936,-1.03016e-05,5.7904e-07,0.3,0
0.000000000,0,1.22436,-1.02929e-05,5.7904e-07,0.3,0
