x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.010470, 0.000333, 0.000221 
0.010478, 0.000333, 0.000222 
0.010648, 0.000339, 0.000225 
0.011113, 0.000354, 0.000235 
0.011602, 0.000369, 0.000245 
0.012077, 0.000384, 0.000255 
0.012552, 0.000399, 0.000266 
0.013037, 0.000415, 0.000276 
0.013502, 0.000430, 0.000286 
0.013982, 0.000445, 0.000296 
0.014477, 0.000461, 0.000306 
0.014939, 0.000475, 0.000316 
0.015418, 0.000491, 0.000326 
0.015906, 0.000506, 0.000336 
0.016381, 0.000521, 0.000347 
0.016870, 0.000537, 0.000357 
0.017331, 0.000552, 0.000367 
0.017819, 0.000567, 0.000377 
0.018289, 0.000582, 0.000387 
0.018780, 0.000598, 0.000397 
0.019245, 0.000612, 0.000407 
0.009477, 0.001836, 0.001034 
0.009477, 0.001845, 0.001038 
0.009477, 0.001915, 0.001076 
0.009477, 0.001983, 0.001113 
0.009477, 0.002053, 0.001151 
0.009478, 0.002121, 0.001188 
0.009478, 0.002191, 0.001226 
0.009478, 0.002258, 0.001263 
0.009478, 0.002328, 0.001300 
0.009478, 0.002397, 0.001338 
0.009479, 0.002465, 0.001375 
0.009479, 0.002534, 0.001412 
0.009479, 0.002603, 0.001450 
0.009479, 0.002671, 0.001487 
0.009479, 0.002740, 0.001524 
0.009480, 0.002810, 0.001562 
0.009480, 0.002879, 0.001600 
0.009480, 0.002947, 0.001636 
0.009480, 0.003017, 0.001674 
0.009480, 0.003084, 0.001711 
-0.000449, 0.002832, 0.001764 
-0.000553, 0.002844, 0.001772 
-0.001015, 0.002895, 0.001808 
-0.001492, 0.002948, 0.001846 
-0.001946, 0.002999, 0.001882 
-0.002412, 0.003050, 0.001919 
-0.002884, 0.003103, 0.001957 
-0.003334, 0.003153, 0.001993 
-0.003797, 0.003204, 0.002029 
-0.004262, 0.003256, 0.002066 
-0.004723, 0.003307, 0.002103 
-0.005186, 0.003358, 0.002140 
-0.005648, 0.003410, 0.002176 
-0.006123, 0.003463, 0.002214 
-0.006573, 0.003513, 0.002250 
-0.007053, 0.003566, 0.002288 
-0.007497, 0.003615, 0.002323 
-0.007974, 0.003668, 0.002361 
