x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.002785, 0.007375, 0.000667 
0.002788, 0.007381, 0.000667 
0.002861, 0.007575, 0.000685 
0.002992, 0.007922, 0.000716 
0.003121, 0.008264, 0.000747 
0.003249, 0.008604, 0.000778 
0.003380, 0.008949, 0.000809 
0.003508, 0.009290, 0.000840 
0.003642, 0.009644, 0.000872 
0.003771, 0.009986, 0.000903 
0.003896, 0.010317, 0.000932 
0.004030, 0.010671, 0.000964 
0.004154, 0.011000, 0.000994 
0.004284, 0.011342, 0.001025 
0.004415, 0.011690, 0.001057 
0.004545, 0.012036, 0.001088 
0.004671, 0.012369, 0.001118 
0.004800, 0.012711, 0.001149 
0.004932, 0.013061, 0.001180 
0.005060, 0.013399, 0.001211 
0.006888, 0.015688, 0.001584 
0.006903, 0.015718, 0.001587 
0.007089, 0.016100, 0.001629 
0.007298, 0.016530, 0.001676 
0.007506, 0.016959, 0.001723 
0.007697, 0.017351, 0.001766 
0.007899, 0.017768, 0.001811 
0.008105, 0.018191, 0.001857 
0.008308, 0.018608, 0.001903 
0.008511, 0.019026, 0.001948 
0.008712, 0.019439, 0.001993 
0.008919, 0.019865, 0.002040 
0.009118, 0.020274, 0.002085 
0.009322, 0.020693, 0.002130 
0.009524, 0.021109, 0.002176 
0.009728, 0.021528, 0.002221 
0.009930, 0.021944, 0.002267 
0.010133, 0.022360, 0.002312 
0.010341, 0.022788, 0.002359 
0.010544, 0.023206, 0.002404 
0.010455, 0.023904, 0.002593 
0.010495, 0.023996, 0.002604 
0.010675, 0.024406, 0.002654 
0.010856, 0.024820, 0.002704 
0.011039, 0.025239, 0.002755 
0.011220, 0.025653, 0.002806 
0.011402, 0.026067, 0.002856 
0.011586, 0.026489, 0.002908 
0.011766, 0.026900, 0.002958 
0.011953, 0.027329, 0.003010 
0.012129, 0.027729, 0.003059 
0.012311, 0.028147, 0.003110 
0.012492, 0.028560, 0.003160 
0.012679, 0.028986, 0.003212 
0.012856, 0.029392, 0.003261 
0.013036, 0.029804, 0.003312 
0.013229, 0.030245, 0.003365 
0.013400, 0.030634, 0.003413 
0.013583, 0.031055, 0.003464 
0.013771, 0.031483, 0.003516 
