x_pos [m], y_pos [m], heading [rad]
-0.399294,-0.00011271,0.000275652
-0.399294,-0.000112711,0.000275653
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399294,-0.00011271,0.000275652
-0.399286,-0.00010899,0.000266349
-0.399286,-0.00010899,0.000266349
-0.399286,-0.00010899,0.000266349
-0.399286,-0.00010899,0.000266349
-0.399286,-0.00010888,0.000266075
-0.399286,-0.00010899,0.000266349
-0.399286,-0.00010899,0.000266349
-0.399286,-0.00010899,0.000266349
-0.399286,-0.000108927,0.000266192
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105146,0.000256753
-0.399278,-0.000105257,0.00025703
-0.399278,-0.00010515,0.000256763
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
-0.399278,-0.000105257,0.00025703
