x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.001923, 0.004414, 0.000220 
-0.001925, 0.004419, 0.000220 
-0.001966, 0.004513, 0.000225 
-0.002007, 0.004608, 0.000230 
-0.002049, 0.004704, 0.000234 
-0.002089, 0.004797, 0.000239 
-0.002131, 0.004892, 0.000244 
-0.002172, 0.004987, 0.000248 
-0.002213, 0.005081, 0.000253 
-0.002254, 0.005175, 0.000258 
-0.002296, 0.005270, 0.000263 
-0.002337, 0.005364, 0.000267 
-0.002378, 0.005459, 0.000272 
-0.002419, 0.005553, 0.000277 
-0.002460, 0.005648, 0.000281 
-0.002501, 0.005742, 0.000286 
-0.002542, 0.005836, 0.000291 
-0.002583, 0.005930, 0.000295 
-0.002624, 0.006024, 0.000300 
-0.002665, 0.006118, 0.000305 
-0.002706, 0.006212, 0.000310 
-0.002747, 0.006307, 0.000314 
-0.002788, 0.006400, 0.000319 
-0.002830, 0.006496, 0.000324 
-0.002873, 0.006595, 0.000329 
-0.002912, 0.006685, 0.000333 
-0.002953, 0.006779, 0.000338 
-0.002994, 0.006872, 0.000342 
-0.003035, 0.006967, 0.000347 
-0.003076, 0.007063, 0.000352 
-0.003118, 0.007157, 0.000357 
-0.003159, 0.007251, 0.000361 
-0.003200, 0.007346, 0.000366 
-0.003241, 0.007440, 0.000371 
-0.003282, 0.007533, 0.000375 
-0.003323, 0.007629, 0.000380 
-0.003364, 0.007724, 0.000385 
