vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,0,0,0,0
0,0,0,0,6.28241,6.28247,0,0
0,0,0,0,6.28206,6.28232,0,0
0,0,0,0,6.28203,6.28207,0,0
0,0,0,0,6.28201,6.28175,0,0
0,0,0,0,6.28199,6.28165,0,0
0,0,0,0,6.28195,6.28162,0,0
0,0,0,0,6.28188,6.28159,0,0
0,0,0,0,6.28179,6.28154,0,0
0,0,0,0,6.28166,6.28147,0,0
0,0,0,0,6.28144,6.28138,0,0
0,0,0,0,6.28107,6.28124,0,6.24591
0,0,0,0,6.28088,6.28099,0,6.24591
0,0,0,0,6.28085,6.28067,0,6.24591
0,0,0,0,6.28082,6.28056,0,6.24591
0,0,0,0,6.28078,6.28053,0,6.24591
0,0,0,0,6.2807,6.28047,0,6.24591
0,0,0,0,6.28059,6.2804,0,6.24591
0,0,0,0,6.28039,6.28023,0,6.24591
0,0,0,0,6.27999,6.27996,0,6.24591
0,0,0,0,6.27974,6.27965,6.28318,6.24591
0.00603267,0,0,0,6.27969,6.27953,6.28318,6.24591
0.00615798,0,0,0,6.27958,6.27952,6.28318,6.24591
0.00619298,0,0,0,6.27943,6.27951,0,6.24592
0,0,0,0,6.27925,6.2795,0,6.24592
0,0,0,0,6.27914,6.27944,0,6.24592
0,0,0,0,6.27909,6.27932,0,6.24592
0,0,0,0,6.27906,6.27921,0,6.24592
0,0,0,0,6.27904,6.27906,0,6.24592
0,0.00628755,0,0,6.27899,6.27885,0,6.24592
0,0,0,0,6.27893,6.27862,0,6.24592
0,0,0,0,6.27883,6.27851,0,6.24592
0,0,0,0,6.27871,6.27843,0,6.24592
0,0,0,0,6.27857,6.27837,0,6.24592
0,0,0,0,6.27843,6.27829,0,6.24592
0,0,0,0,6.27818,6.27819,0,6.24592
0,0,0,0,6.27776,6.27807,0,6.24592
0,0,0,0,6.27763,6.2779,0,6.24592
0,0,0,0,6.27762,6.27763,0,6.24592
0,0,0,0,6.27761,6.27738,0,6.24592
0,0,0,0,6.27758,6.27732,0,6.24592
0,0,0,0,6.27754,6.27729,0,6.24592
0,0,0,0,6.27746,6.27725,0,6.24592
0,0,0,0,6.27735,6.27717,0,6.24592
0,0,0,0,6.27717,6.27705,0,6.24592
0,0,0,0,6.27694,6.27692,0,6.24592
0,0,0,0,6.27675,6.27674,0,6.24592
0,0,0,0,6.27665,6.2765,0,6.24592
0,0,0,0,6.27657,6.27631,0,6.24592
