pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad], v_k+40 [m/s], delta_k+40 [rad], v_k+41 [m/s], delta_k+41 [rad], v_k+42 [m/s], delta_k+42 [rad], v_k+43 [m/s], delta_k+43 [rad], v_k+44 [m/s], delta_k+44 [rad], v_k+45 [m/s], delta_k+45 [rad], v_k+46 [m/s], delta_k+46 [rad], v_k+47 [m/s], delta_k+47 [rad], v_k+48 [m/s], delta_k+48 [rad], v_k+49 [m/s], delta_k+49 [rad], v_k+50 [m/s], delta_k+50 [rad], v_k+51 [m/s], delta_k+51 [rad], v_k+52 [m/s], delta_k+52 [rad], v_k+53 [m/s], delta_k+53 [rad], v_k+54 [m/s], delta_k+54 [rad], v_k+55 [m/s], delta_k+55 [rad], v_k+56 [m/s], delta_k+56 [rad], v_k+57 [m/s], delta_k+57 [rad], v_k+58 [m/s], delta_k+58 [rad], v_k+59 [m/s], delta_k+59 [rad]
-0.398086, 4.33144e-05, -2.3667e-05, -0.00364066, -1.95963e-10, -0.00364066, -1.95963e-10, 0.00191364, 4.33144e-05, -2.3667e-05, -0.4, 0, 0, 1e-10, 0, -0.00364066, -1.95963e-10, -0.00329433, -1.04081e-07, -0.00298096, -4.21228e-07, -0.00269739, -9.58031e-07, -0.00244079, -1.71492e-06, -0.0022086, -2.68454e-06, -0.0019985, -3.85013e-06, -0.00180839, -5.18425e-06, -0.00163636, -6.64792e-06, -0.00148069, -8.19006e-06, -0.00133983, -9.74737e-06, -0.00121236, -1.12443e-05, -0.00109702, -1.25035e-05, -0.000992655, -1.32612e-05, -0.000898212, -1.35326e-05, -0.000812751, -1.33615e-05, -0.000735418, -1.28033e-05, -0.00066544, -1.19219e-05, -0.000602115, -1.07852e-05, -0.000544812, -9.46262e-06, -0.000492956, -8.02234e-06, -0.000446031, -6.52904e-06, -0.000403565, -5.04228e-06, -0.000365136, -3.61674e-06, -0.000330357, -2.29413e-06, -0.000298882, -1.07589e-06, -0.000270397, 4.15224e-08, -0.000244615, 1.06163e-06, -0.000221279, 1.9879e-06, -0.000200156, 2.82375e-06, -0.000181034, 3.57255e-06, -0.000163723, 4.2376e-06, -0.000148049, 4.82216e-06, -0.000133856, 5.32941e-06, -0.000121001, 5.76249e-06, -0.000109356, 6.12449e-06, -9.88045e-05, 6.41842e-06, -8.92412e-05, 6.64725e-06, -8.05703e-05, 6.81389e-06, -7.27052e-05, 6.9212e-06, -6.5567e-05, 6.97198e-06, -5.90846e-05, 6.96897e-06, -5.3193e-05, 6.91487e-06, -4.78333e-05, 6.81232e-06, -4.2952e-05, 6.66392e-06, -3.85002e-05, 6.47221e-06, -3.44334e-05, 6.23968e-06, -3.07109e-05, 5.96879e-06, -2.72955e-05, 5.66195e-06, -2.41531e-05, 5.32151e-06, -2.12522e-05, 4.94981e-06, -1.85639e-05, 4.54913e-06, -1.60612e-05, 4.12173e-06, -1.3719e-05, 3.66981e-06, -1.15141e-05, 3.19556e-06, -9.42435e-06, 2.70114e-06, -7.42881e-06, 2.18867e-06, -5.50757e-06, 1.66024e-06, -3.6414e-06, 1.11795e-06, -1.81164e-06, 5.63766e-07
-0.398086, 4.33144e-05, -2.3667e-05, -0.00160228, -1.08052e-07, -0.003578, -1.08052e-07, 0.00188071, 4.33144e-05, -2.3667e-05, -0.399967, 0, 0, 0.00197572, 0, -0.003578, -1.08052e-07, -0.00323764, -4.36267e-07, -0.00292966, -9.91639e-07, -0.00265097, -1.77417e-06, -0.00239879, -2.77619e-06, -0.0021706, -3.98051e-06, -0.00196411, -5.35913e-06, -0.00177727, -6.87236e-06, -0.0016082, -8.46823e-06, -0.00145521, -1.00824e-05, -0.00131677, -1.1638e-05, -0.0011915, -1.29527e-05, -0.00107815, -1.37537e-05, -0.000975572, -1.40561e-05, -0.000882755, -1.3904e-05, -0.000798765, -1.33541e-05, -0.000722763, -1.24707e-05, -0.000653988, -1.13231e-05, -0.000591753, -9.9817e-06, -0.000535436, -8.51594e-06, -0.000484473, -6.99174e-06, -0.000438355, -5.4699e-06, -0.00039662, -4.00665e-06, -0.000358852, -2.64661e-06, -0.000324672, -1.39167e-06, -0.000293739, -2.38268e-07, -0.000265743, 8.17125e-07, -0.000240405, 1.77798e-06, -0.000217471, 2.64773e-06, -0.000196711, 3.42973e-06, -0.000177919, 4.12729e-06, -0.000160905, 4.74368e-06, -0.000145501, 5.28209e-06, -0.000131552, 5.74566e-06, -0.000118918, 6.13747e-06, -0.000107474, 6.46057e-06, -9.71042e-05, 6.71792e-06, -8.77055e-05, 6.91243e-06, -7.91838e-05, 7.04698e-06, -7.1454e-05, 7.12436e-06, -6.44387e-05, 7.14732e-06, -5.80678e-05, 7.11858e-06, -5.22776e-05, 7.04077e-06, -4.70102e-05, 6.9165e-06, -4.22128e-05, 6.74831e-06, -3.78376e-05, 6.53871e-06, -3.38408e-05, 6.29015e-06, -3.01824e-05, 6.00504e-06, -2.68258e-05, 5.68574e-06, -2.37375e-05, 5.33459e-06, -2.08865e-05, 4.95388e-06, -1.82444e-05, 4.54585e-06, -1.57848e-05, 4.11271e-06, -1.3483e-05, 3.65666e-06, -1.1316e-05, 3.17984e-06, -9.26217e-06, 2.68437e-06, -7.30097e-06, 2.17236e-06, -5.41279e-06, 1.64587e-06, -3.57873e-06, 1.10696e-06, -1.78046e-06, 5.57589e-07
-0.398086, 4.33144e-05, -2.3667e-05, 0.0047634, -4.52202e-07, -0.0031395, -4.52202e-07, 0.00165022, 4.33144e-05, -2.3667e-05, -0.399737, 0, 0, 0.0079029, 0, -0.0031395, -4.52202e-07, -0.00284085, -1.02599e-06, -0.00257061, -1.83476e-06, -0.00232608, -2.86994e-06, -0.0021048, -4.11392e-06, -0.00190458, -5.53814e-06, -0.0017234, -7.10218e-06, -0.00155945, -8.75321e-06, -0.0014111, -1.04258e-05, -0.00127686, -1.20417e-05, -0.00115539, -1.34138e-05, -0.00104548, -1.42596e-05, -0.000946013, -1.45942e-05, -0.000856011, -1.44625e-05, -0.000774568, -1.39216e-05, -0.000700872, -1.3037e-05, -0.000634184, -1.1879e-05, -0.000573838, -1.05192e-05, -0.000519231, -9.02815e-06, -0.000469815, -7.47308e-06, -0.000425098, -5.91602e-06, -0.000384632, -4.4148e-06, -0.000348012, -3.01709e-06, -0.000314873, -1.72519e-06, -0.000284882, -5.35547e-07, -0.00025774, 5.55375e-07, -0.000233175, 1.55105e-06, -0.000210942, 2.4549e-06, -0.000190818, 3.27031e-06, -0.000172603, 4.00058e-06, -0.000156114, 4.64898e-06, -0.000141186, 5.21871e-06, -0.000127669, 5.71292e-06, -0.00011543, 6.1347e-06, -0.000104344, 6.48708e-06, -9.43024e-05, 6.77305e-06, -8.52035e-05, 6.99552e-06, -7.69567e-05, 7.15736e-06, -6.94794e-05, 7.26139e-06, -6.26969e-05, 7.31036e-06, -5.65414e-05, 7.30697e-06, -5.09513e-05, 7.25389e-06, -4.58707e-05, 7.15371e-06, -4.12488e-05, 7.00898e-06, -3.70394e-05, 6.82221e-06, -3.32004e-05, 6.59586e-06, -2.96934e-05, 6.33234e-06, -2.64834e-05, 6.03402e-06, -2.35382e-05, 5.70323e-06, -2.08283e-05, 5.34225e-06, -1.83268e-05, 4.95334e-06, -1.60085e-05, 4.53871e-06, -1.38503e-05, 4.10054e-06, -1.18305e-05, 3.64098e-06, -9.92915e-06, 3.16215e-06, -8.12704e-06, 2.66614e-06, -6.4062e-06, 2.15501e-06, -4.74942e-06, 1.63082e-06, -3.14014e-06, 1.09558e-06, -1.56226e-06, 5.51251e-07
-0.398086, 4.33144e-05, -2.3667e-05, 0.0158323, -1.06224e-06, -0.00194918, -1.06224e-06, 0.00102455, 4.33144e-05, -2.3667e-05, -0.399111, 0, 0, 0.0177815, 0, -0.00194918, -1.06224e-06, -0.00176376, -1.89708e-06, -0.00159598, -2.96642e-06, -0.00144416, -4.25127e-06, -0.00130678, -5.72251e-06, -0.00118247, -7.339e-06, -0.00106998, -9.04699e-06, -0.000968196, -1.07799e-05, -0.000876092, -1.24584e-05, -0.000792748, -1.38899e-05, -0.000717332, -1.47824e-05, -0.00064909, -1.51508e-05, -0.000587338, -1.50406e-05, -0.000531459, -1.45098e-05, -0.000480895, -1.36247e-05, -0.000435141, -1.24568e-05, -0.000393737, -1.10787e-05, -0.000356271, -9.5624e-06, -0.000322367, -7.97626e-06, -0.000291688, -6.38362e-06, -0.000263925, -4.84394e-06, -0.000238801, -3.40804e-06, -0.000216066, -2.0787e-06, -0.000195491, -8.52343e-07, -0.000176871, 2.74553e-07, -0.000160019, 1.30547e-06, -0.000144768, 2.24384e-06, -0.000130965, 3.09304e-06, -0.000118471, 3.85638e-06, -0.000107162, 4.53713e-06, -9.69242e-05, 5.1385e-06, -8.76559e-05, 5.66365e-06, -7.92642e-05, 6.11566e-06, -7.16652e-05, 6.49758e-06, -6.47828e-05, 6.81238e-06, -5.85482e-05, 7.06301e-06, -5.28991e-05, 7.25233e-06, -4.7779e-05, 7.38315e-06, -4.31367e-05, 7.45825e-06, -3.89258e-05, 7.48032e-06, -3.51041e-05, 7.45203e-06, -3.16334e-05, 7.37598e-06, -2.84791e-05, 7.25473e-06, -2.56096e-05, 7.09078e-06, -2.29962e-05, 6.8866e-06, -2.06127e-05, 6.64461e-06, -1.84354e-05, 6.36716e-06, -1.64424e-05, 6.0566e-06, -1.46138e-05, 5.71521e-06, -1.29314e-05, 5.34523e-06, -1.13783e-05, 4.94889e-06, -9.93895e-06, 4.52836e-06, -8.59901e-06, 4.08578e-06, -7.34507e-06, 3.62327e-06, -6.16457e-06, 3.14292e-06, -5.04572e-06, 2.64679e-06, -3.97733e-06, 2.13691e-06, -2.94871e-06, 1.6153e-06, -1.94957e-06, 1.08395e-06, -9.69937e-07, 5.44825e-07
-0.398079, 3.97462e-05, -1.41303e-05, 0.0319654, -2.60313e-06, 0.000353787, -2.60313e-06, -0.000185961, 3.97462e-05, -1.41303e-05, -0.397893, 0, 0, 0.0316116, 0, 0.000353787, -2.60313e-06, 0.000320132, -4.04937e-06, 0.000289679, -5.78496e-06, 0.000262123, -7.77474e-06, 0.000237188, -9.97281e-06, 0.000214625, -1.23202e-05, 0.000194208, -1.47446e-05, 0.000175733, -1.71602e-05, 0.000159016, -1.93243e-05, 0.000143888, -2.08384e-05, 0.0001302, -2.17158e-05, 0.000117813, -2.20055e-05, 0.000106605, -2.17699e-05, 9.64628e-05, -2.10807e-05, 8.72852e-05, -2.00148e-05, 7.89804e-05, -1.86515e-05, 7.14655e-05, -1.70694e-05, 6.46652e-05, -1.53443e-05, 5.85115e-05, -1.3547e-05, 5.2943e-05, -1.17514e-05, 4.79038e-05, -1.00535e-05, 4.33438e-05, -8.46361e-06, 3.92171e-05, -6.97833e-06, 3.54826e-05, -5.59444e-06, 3.2103e-05, -4.30875e-06, 2.90444e-05, -3.11806e-06, 2.62762e-05, -2.01926e-06, 2.37708e-05, -1.00924e-06, 2.15031e-05, -8.49584e-08, 1.94504e-05, 7.56585e-07, 1.75923e-05, 1.51835e-06, 1.591e-05, 2.20324e-06, 1.43869e-05, 2.81413e-06, 1.30076e-05, 3.35383e-06, 1.17584e-05, 3.8251e-06, 1.06268e-05, 4.23065e-06, 9.60148e-06, 4.57316e-06, 8.67216e-06, 4.85523e-06, 7.82955e-06, 5.07945e-06, 7.06524e-06, 5.24832e-06, 6.37158e-06, 5.36432e-06, 5.74164e-06, 5.42987e-06, 5.16912e-06, 5.44735e-06, 4.64828e-06, 5.41909e-06, 4.17393e-06, 5.34738e-06, 3.74132e-06, 5.23445e-06, 3.34612e-06, 5.0825e-06, 2.98438e-06, 4.89369e-06, 2.65249e-06, 4.67015e-06, 2.34712e-06, 4.41393e-06, 2.06522e-06, 4.1271e-06, 1.80397e-06, 3.81164e-06, 1.56077e-06, 3.46954e-06, 1.33317e-06, 3.10272e-06, 1.1189e-06, 2.7131e-06, 9.15826e-07, 2.30256e-06, 7.21907e-07, 1.87294e-06, 5.35207e-07, 1.42608e-06, 3.53859e-07, 9.63773e-07, 1.76049e-07, 4.87778e-07
-0.398079, 3.97462e-05, -1.41303e-05, 0.0535683, -4.17711e-06, 0.00417519, -4.17711e-06, -0.00219461, 3.97462e-05, -1.41303e-05, -0.395884, 0, 0, 0.0493931, 0, 0.00417519, -4.17711e-06, 0.00377802, -5.96439e-06, 0.00341863, -8.01603e-06, 0.00309343, -1.02834e-05, 0.00279916, -1.27064e-05, 0.00253288, -1.52116e-05, 0.00229193, -1.77115e-05, 0.0020739, -1.99569e-05, 0.00187661, -2.15365e-05, 0.00169809, -2.24633e-05, 0.00153654, -2.27871e-05, 0.00139037, -2.25713e-05, 0.00125809, -2.18884e-05, 0.0011384, -2.08169e-05, 0.00103009, -1.94373e-05, 0.000932083, -1.78298e-05, 0.000843395, -1.60714e-05, 0.000763142, -1.42345e-05, 0.00069052, -1.2395e-05, 0.000624803, -1.06536e-05, 0.000565334, -9.02104e-06, 0.000511519, -7.49403e-06, 0.000462818, -6.06933e-06, 0.000418746, -4.74373e-06, 0.000378862, -3.51404e-06, 0.000342766, -2.37713e-06, 0.000310097, -1.32989e-06, 0.00028053, -3.69273e-07, 0.000253768, 5.07743e-07, 0.000229543, 1.30412e-06, 0.000207614, 2.02279e-06, 0.000187761, 2.66661e-06, 0.000169786, 3.23842e-06, 0.000153509, 3.74098e-06, 0.000138766, 4.17704e-06, 0.000125412, 4.54926e-06, 0.000113311, 4.86027e-06, 0.000102344, 5.11266e-06, 9.24e-05, 5.30896e-06, 8.338e-05, 5.45166e-06, 7.51938e-05, 5.54318e-06, 6.77596e-05, 5.58592e-06, 6.1003e-05, 5.58222e-06, 5.48564e-05, 5.53438e-06, 4.92584e-05, 5.44465e-06, 4.41529e-05, 5.31525e-06, 3.9489e-05, 5.14833e-06, 3.522e-05, 4.94603e-06, 3.13032e-05, 4.71044e-06, 2.76994e-05, 4.44361e-06, 2.43726e-05, 4.14755e-06, 2.12895e-05, 3.82424e-06, 1.84193e-05, 3.47563e-06, 1.57333e-05, 3.10362e-06, 1.32047e-05, 2.71012e-06, 1.08081e-05, 2.29698e-06, 8.51954e-06, 1.86602e-06, 6.31621e-06, 1.41906e-06, 4.17604e-06, 9.57891e-07, 2.07763e-06, 4.84253e-07
-0.398086, 4.33168e-05, -2.3667e-05, 0.081017, -4.70003e-06, 0.00989095, -4.70003e-06, -0.00519898, 4.33168e-05, -2.3667e-05, -0.392887, 0, 0, 0.0711261, 0, 0.00989095, -4.70003e-06, 0.00895006, -6.32296e-06, 0.00809867, -8.11088e-06, 0.00732827, -1.00053e-05, 0.00663115, -1.19363e-05, 0.00600035, -1.38202e-05, 0.00542954, -1.54477e-05, 0.00491304, -1.64949e-05, 0.00444566, -1.69766e-05, 0.00402274, -1.694e-05, 0.00364005, -1.64457e-05, 0.00329375, -1.55632e-05, 0.0029804, -1.4367e-05, 0.00269685, -1.2934e-05, 0.00244027, -1.13397e-05, 0.00220809, -9.65666e-06, 0.00199799, -7.95226e-06, 0.00180787, -6.29123e-06, 0.00163583, -4.73492e-06, 0.00148015, -3.28762e-06, 0.00133927, -1.94576e-06, 0.00121178, -7.05809e-07, 0.00109641, 4.35728e-07, 0.000992002, 1.48229e-06, 0.000897516, 2.43727e-06, 0.000812005, 3.30399e-06, 0.000734614, 4.08574e-06, 0.00066457, 4.78574e-06, 0.000601171, 5.40716e-06, 0.000543784, 5.95311e-06, 0.000491834, 6.42665e-06, 0.000444803, 6.83078e-06, 0.00040222, 7.16844e-06, 0.000363659, 7.44252e-06, 0.000328735, 7.65586e-06, 0.000297098, 7.81124e-06, 0.000268432, 7.91137e-06, 0.000242451, 7.95892e-06, 0.000218894, 7.95653e-06, 0.000197526, 7.90676e-06, 0.000178133, 7.81212e-06, 0.000160521, 7.67508e-06, 0.000144515, 7.49807e-06, 0.000129954, 7.28346e-06, 0.000116692, 7.03359e-06, 0.000104597, 6.75074e-06, 9.35487e-05, 6.43717e-06, 8.34355e-05, 6.09509e-06, 7.41566e-05, 5.72666e-06, 6.56193e-05, 5.33403e-06, 5.77382e-05, 4.9193e-06, 5.04344e-05, 4.48454e-06, 4.3635e-05, 4.03181e-06, 3.7272e-05, 3.5631e-06, 3.12816e-05, 3.08043e-06, 2.56041e-05, 2.58575e-06, 2.01826e-05, 2.08102e-06, 1.4963e-05, 1.56817e-06, 9.89296e-06, 1.04911e-06, 4.92187e-06, 5.25747e-07
-0.398086, 4.33168e-05, -2.3667e-05, 0.114657, -6.54692e-06, 0.017847, -6.54692e-06, -0.00938094, 4.33168e-05, -2.3667e-05, -0.388705, 0, 0, 0.0968105, 0, 0.017847, -6.54692e-06, 0.0161493, -8.39637e-06, 0.0146131, -1.03601e-05, 0.013223, -1.23646e-05, 0.0119651, -1.4325e-05, 0.0108269, -1.60256e-05, 0.00979695, -1.71308e-05, 0.00886497, -1.76553e-05, 0.00802165, -1.7647e-05, 0.00725854, -1.71673e-05, 0.00656802, -1.62869e-05, 0.00594318, -1.50817e-05, 0.00537777, -1.36296e-05, 0.00486613, -1.20079e-05, 0.00440316, -1.02905e-05, 0.00398422, -8.54618e-06, 0.00360513, -6.84162e-06, 0.00326208, -5.24217e-06, 0.00295165, -3.75267e-06, 0.00267074, -2.36956e-06, 0.00241654, -1.08929e-06, 0.00218651, 9.16263e-08, 0.00197833, 1.17664e-06, 0.00178995, 2.16915e-06, 0.00161946, 3.07249e-06, 0.00146516, 3.88995e-06, 0.00132552, 4.62476e-06, 0.00119914, 5.28009e-06, 0.00108474, 5.85907e-06, 0.000981191, 6.36476e-06, 0.000887455, 6.80017e-06, 0.000802593, 7.16825e-06, 0.000725757, 7.47189e-06, 0.000656179, 7.71394e-06, 0.000593163, 7.89718e-06, 0.000536078, 8.02434e-06, 0.000484354, 8.09811e-06, 0.000437473, 8.1211e-06, 0.000394967, 8.09589e-06, 0.000356411, 8.025e-06, 0.000321419, 7.91091e-06, 0.000289641, 7.75605e-06, 0.00026076, 7.56279e-06, 0.000234486, 7.33347e-06, 0.000210557, 7.07038e-06, 0.000188733, 6.77578e-06, 0.000168797, 6.45187e-06, 0.000150549, 6.10082e-06, 0.000133807, 5.72478e-06, 0.000118402, 5.32585e-06, 0.000104181, 4.90609e-06, 9.10028e-05, 4.46755e-06, 7.87341e-05, 4.01224e-06, 6.72527e-05, 3.54214e-06, 5.64439e-05, 3.05923e-06, 4.61995e-05, 2.56543e-06, 3.64171e-05, 2.06268e-06, 2.69989e-05, 1.55287e-06, 1.78506e-05, 1.0379e-06, 8.88092e-06, 5.19654e-07
-0.398086, 4.33168e-05, -2.3667e-05, 0.154881, -8.70461e-06, 0.0284342, -8.70461e-06, -0.0149459, 4.33168e-05, -2.3667e-05, -0.38314, 0, 0, 0.126446, 0, 0.0284342, -8.70461e-06, 0.0257294, -1.07404e-05, 0.0232818, -1.2824e-05, 0.0210671, -1.48666e-05, 0.0190631, -1.66458e-05, 0.0172496, -1.78135e-05, 0.0156087, -1.83843e-05, 0.0141239, -1.84067e-05, 0.0127803, -1.79433e-05, 0.0115645, -1.70657e-05, 0.0104643, -1.58513e-05, 0.00946879, -1.43796e-05, 0.00856797, -1.27292e-05, 0.00775282, -1.09757e-05, 0.00701521, -9.18932e-06, 0.00634774, -7.43886e-06, 0.00574376, -5.79391e-06, 0.00519721, -4.25997e-06, 0.00470263, -2.83346e-06, 0.00425508, -1.51083e-06, 0.00385008, -2.88565e-07, 0.00348358, 8.36778e-07, 0.00315192, 1.8686e-06, 0.00285178, 2.81026e-06, 0.00258015, 3.66504e-06, 0.00233433, 4.43619e-06, 0.00211185, 5.12688e-06, 0.00191049, 5.74026e-06, 0.00172823, 6.2794e-06, 0.00156325, 6.7473e-06, 0.00141391, 7.14694e-06, 0.00127871, 7.48122e-06, 0.00115629, 7.75298e-06, 0.00104544, 7.96503e-06, 0.000945038, 8.12009e-06, 0.00085409, 8.22086e-06, 0.000771682, 8.26998e-06, 0.000696991, 8.27001e-06, 0.00062927, 8.2235e-06, 0.000567841, 8.13292e-06, 0.000512091, 8.00071e-06, 0.000461462, 7.82924e-06, 0.000415447, 7.62087e-06, 0.000373587, 7.37789e-06, 0.000335463, 7.10254e-06, 0.000300694, 6.79705e-06, 0.000268931, 6.46359e-06, 0.000239858, 6.10429e-06, 0.000213183, 5.72126e-06, 0.00018864, 5.31656e-06, 0.000165984, 4.89224e-06, 0.000144987, 4.45031e-06, 0.000125441, 3.99274e-06, 0.000107148, 3.52149e-06, 8.99275e-05, 3.0385e-06, 7.3606e-05, 2.54567e-06, 5.80204e-05, 2.04492e-06, 4.30152e-05, 1.53811e-06, 2.844e-05, 1.02712e-06, 1.41493e-05, 5.13805e-07
-0.398086, 4.33168e-05, -2.3667e-05, 0.202062, -1.11559e-05, 0.0420284, -1.11559e-05, -0.0220914, 4.33168e-05, -2.3667e-05, -0.375995, 0, 0, 0.160034, 0, 0.0420284, -1.11559e-05, 0.0380304, -1.33232e-05, 0.0344127, -1.54551e-05, 0.0311391, -1.73201e-05, 0.028177, -1.8556e-05, 0.0254965, -1.91774e-05, 0.0230711, -1.92336e-05, 0.0208764, -1.87883e-05, 0.0188904, -1.79145e-05, 0.0170933, -1.66909e-05, 0.0154672, -1.51986e-05, 0.0139957, -1.35178e-05, 0.0126642, -1.17259e-05, 0.0114594, -9.89466e-06, 0.0103691, -8.09516e-06, 0.00938255, -6.40168e-06, 0.00848981, -4.82037e-06, 0.00768196, -3.34764e-06, 0.00695093, -1.97995e-06, 0.00628941, -7.13767e-07, 0.00569078, 4.54364e-07, 0.00514906, 1.52786e-06, 0.00465883, 2.51007e-06, 0.00421519, 3.40431e-06, 0.00381371, 4.21382e-06, 0.00345035, 4.94181e-06, 0.00312151, 5.59142e-06, 0.00282388, 6.16573e-06, 0.00255448, 6.66777e-06, 0.00231063, 7.10052e-06, 0.00208989, 7.46688e-06, 0.00189005, 7.76972e-06, 0.00170911, 8.01185e-06, 0.00154525, 8.19602e-06, 0.00139685, 8.32492e-06, 0.00126242, 8.40119e-06, 0.00114062, 8.42744e-06, 0.00103022, 8.40619e-06, 0.000930119, 8.33993e-06, 0.000839322, 8.23112e-06, 0.000756918, 8.08213e-06, 0.000682084, 7.89531e-06, 0.00061407, 7.67298e-06, 0.000552197, 7.41738e-06, 0.000495846, 7.13074e-06, 0.000444453, 6.81522e-06, 0.000397505, 6.47298e-06, 0.000354532, 6.10611e-06, 0.000315105, 5.71669e-06, 0.000278828, 5.30675e-06, 0.00024534, 4.8783e-06, 0.000214305, 4.43332e-06, 0.000185413, 3.97375e-06, 0.000158375, 3.50154e-06, 0.000132921, 3.01859e-06, 0.000108796, 2.52679e-06, 8.57596e-05, 2.028e-06, 6.35804e-05, 1.52409e-06, 4.2037e-05, 1.01689e-06, 2.09139e-05, 5.08267e-07
