pose_x_rot [m], pose_y_rot [m], pose_theta_rot [rad], pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.40062, -8.56357e-08, 1.08606e-08, -0.40062, -4.00115e-09, 1.08606e-08, 0.706264, 4.91339e-13, 0.706264, 4.91339e-13, -0.40062, -8.56357e-08, 1.08606e-08, 0, 0, 0, 1e-10, 0, 0.706264, 4.91339e-13, 0.694455, 3.38511e-09, 0.628333, 1.35467e-08, 0.568501, 3.03802e-08, 0.514353, 5.35487e-08, 0.465349, 8.2407e-08, 0.420999, 1.15942e-07, 0.380857, 1.52734e-07, 0.344524, 1.90931e-07, 0.311637, 2.27822e-07, 0.281865, 2.54087e-07, 0.254912, 2.6746e-07, 0.230508, 2.69297e-07, 0.20841, 2.61351e-07, 0.188395, 2.45594e-07, 0.170264, 2.2408e-07, 0.153836, 1.98815e-07, 0.138946, 1.71674e-07, 0.125446, 1.44558e-07, 0.1132, 1.19493e-07, 0.102086, 9.65875e-08, 0.0919935, 7.57514e-08, 0.0828204, 5.69019e-08, 0.0744755, 3.99631e-08, 0.0668754, 2.48652e-08, 0.059944, 1.15451e-08, 0.0536121, -5.41542e-11, 0.0478163, -9.98358e-09, 0.0424986, -1.82882e-08, 0.037606, -2.50074e-08, 0.0330894, -3.01747e-08, 0.0289036, -3.38182e-08, 0.0250069, -3.59605e-08, 0.0213603, -3.66189e-08, 0.0179273, -3.5805e-08, 0.0146736, -3.35255e-08, 0.0115665, -2.97815e-08, 0.0085752, -2.45689e-08, 0.0056696, -1.78784e-08, 0.00282069, -9.6956e-09
-0.400621, -8.62983e-08, 1.25184e-08, -0.400621, -4.66361e-09, 1.25184e-08, 0.00320575, 1.13406e-08, 0.00123002, 1.13406e-08, -0.000646944, -7.79478e-07, 2.16289e-07, -0.399974, 6.11677e-07, -2.0377e-07, 0.00197572, 0, 0.00123002, 1.13406e-08, 0.00111293, 4.61933e-08, 0.00100697, 1.0527e-07, 0.000911084, 1.88151e-07, 0.000824305, 2.92927e-07, 0.000745769, 4.15904e-07, 0.000674691, 5.51395e-07, 0.00061036, 6.91605e-07, 0.000552133, 8.25071e-07, 0.000499426, 9.16691e-07, 0.000451715, 9.5773e-07, 0.00040852, 9.53279e-07, 0.000369411, 9.10364e-07, 0.000333995, 8.37152e-07, 0.00030192, 7.42281e-07, 0.000272864, 6.34303e-07, 0.000246536, 5.21243e-07, 0.000222674, 4.10778e-07, 0.000201038, 3.0942e-07, 0.000181413, 2.17378e-07, 0.000163602, 1.34266e-07, 0.000147427, 5.97282e-08, 0.000132727, -6.55978e-09, 0.000119353, -6.48947e-08, 0.000107173, -1.15545e-07, 9.60653e-05, -1.58752e-07, 8.59179e-05, -1.94729e-07, 7.66296e-05, -2.23665e-07, 6.81076e-05, -2.45724e-07, 6.02666e-05, -2.61042e-07, 5.30284e-05, -2.69733e-07, 4.63204e-05, -2.71886e-07, 4.00757e-05, -2.67566e-07, 3.42316e-05, -2.56814e-07, 2.87299e-05, -2.39649e-07, 2.35156e-05, -2.16064e-07, 1.85363e-05, -1.8603e-07, 1.37424e-05, -1.49495e-07, 9.08598e-06, -1.06382e-07, 4.52039e-06, -5.65932e-08
-0.372395, -7.4438e-06, 8.26029e-06, -0.372395, -7.36791e-06, 8.26029e-06, -0.0440938, -3.60787e-07, -0.0519967, -3.60787e-07, 0.0273483, -8.13693e-06, 8.46406e-06, -0.399744, 6.11677e-07, -2.0377e-07, 0.0079029, 0, -0.0519967, -3.60787e-07, -0.047047, -7.27952e-07, -0.0425678, -1.15785e-06, -0.0385143, -1.62097e-06, -0.0348459, -2.10463e-06, -0.0315259, -2.61526e-06, -0.0285212, -3.1801e-06, -0.0258018, -3.83921e-06, -0.0233403, -4.50375e-06, -0.0211123, -5.15801e-06, -0.0190953, -5.81115e-06, -0.0172694, -6.45356e-06, -0.0156161, -7.06289e-06, -0.014119, -7.60913e-06, -0.0127631, -8.05898e-06, -0.0115348, -8.37937e-06, -0.0104218, -8.56245e-06, -0.0094131, -8.68753e-06, -0.0084985, -8.76635e-06, -0.00766889, -8.80041e-06, -0.00691596, -8.79104e-06, -0.0062322, -8.73938e-06, -0.00561076, -8.64639e-06, -0.00504543, -8.51285e-06, -0.00453055, -8.3394e-06, -0.00406097, -8.12647e-06, -0.00363201, -7.87436e-06, -0.00323936, -7.58317e-06, -0.00287911, -7.25287e-06, -0.00254765, -6.88326e-06, -0.00224167, -6.47396e-06, -0.0019581, -6.02445e-06, -0.00169412, -5.53403e-06, -0.00144707, -5.00185e-06, -0.0012145, -4.42688e-06, -0.000994073, -3.80794e-06, -0.000783586, -3.14367e-06, -0.000580934, -2.43253e-06, -0.000384092, -1.67283e-06, -0.00019109, -8.62693e-07
-0.374041, -3.10994e-06, -1.12692e-05, -0.374042, -3.03373e-06, -1.12692e-05, -0.029897, 4.2899e-06, -0.0476785, 4.2899e-06, 0.0250771, -3.80295e-06, -1.10655e-05, -0.399118, 6.11677e-07, -2.0377e-07, 0.0177815, 0, -0.0476785, 4.2899e-06, -0.0431399, 7.3831e-06, -0.0390327, 1.1136e-05, -0.0353158, 1.54262e-05, -0.031952, 2.01167e-05, -0.0289078, 2.50556e-05, -0.0261526, 3.00182e-05, -0.023659, 3.38785e-05, -0.021402, 3.63654e-05, -0.019359, 3.76299e-05, -0.0175095, 3.78375e-05, -0.0158352, 3.71587e-05, -0.0143192, 3.57619e-05, -0.0129465, 3.38073e-05, -0.0117031, 3.14423e-05, -0.0105768, 2.88576e-05, -0.00955632, 2.63932e-05, -0.00863137, 2.4079e-05, -0.00779273, 2.19077e-05, -0.00703201, 1.98723e-05, -0.00634162, 1.79663e-05, -0.00571464, 1.61835e-05, -0.0051448, 1.45182e-05, -0.00462642, 1.29649e-05, -0.0041543, 1.15187e-05, -0.00372372, 1.01749e-05, -0.00333038, 8.92892e-06, -0.00297034, 7.77683e-06, -0.00264001, 6.71482e-06, -0.00233608, 5.7394e-06, -0.00205551, 4.84738e-06, -0.00179549, 4.03584e-06, -0.00155343, 3.30214e-06, -0.0013269, 2.64387e-06, -0.00111364, 2.0589e-06, -0.000911519, 1.54536e-06, -0.000718512, 1.1016e-06, -0.000532689, 7.26225e-07, -0.000352194, 4.18079e-07, -0.000175221, 1.76207e-07
-0.375245, -3.70675e-06, -8.88506e-06, -0.375246, -3.6303e-06, -8.88506e-06, -0.011462, 6.48455e-06, -0.0430736, 6.48455e-06, 0.0226551, -4.39951e-06, -8.68129e-06, -0.3979, 6.11677e-07, -2.0377e-07, 0.0316116, 0, -0.0430736, 6.48455e-06, -0.0389733, 9.80115e-06, -0.0352628, 1.36015e-05, -0.0319049, 1.7762e-05, -0.028866, 2.21429e-05, -0.0261158, 2.65365e-05, -0.0236267, 2.99402e-05, -0.021374, 3.21102e-05, -0.0193349, 3.31801e-05, -0.0174892, 3.3299e-05, -0.0158184, 3.26227e-05, -0.0143058, 3.13062e-05, -0.0129362, 2.94978e-05, -0.011696, 2.73345e-05, -0.0105728, 2.49891e-05, -0.0095553, 2.27586e-05, -0.00863335, 2.06685e-05, -0.00779773, 1.87119e-05, -0.00704008, 1.68825e-05, -0.00635284, 1.51741e-05, -0.00572912, 1.35811e-05, -0.0051627, 1.20982e-05, -0.0046479, 1.07204e-05, -0.00417959, 9.44301e-06, -0.00375306, 8.26174e-06, -0.00336407, 7.17256e-06, -0.00300872, 6.17177e-06, -0.00268346, 5.25594e-06, -0.00238503, 4.4219e-06, -0.00211045, 3.66679e-06, -0.00185698, 2.988e-06, -0.00162208, 2.38317e-06, -0.00140339, 1.85019e-06, -0.00119874, 1.38721e-06, -0.00100608, 9.92616e-07, -0.000823482, 6.65023e-07, -0.000649116, 4.03286e-07, -0.000481241, 2.06491e-07, -0.000318178, 7.39491e-08, -0.000158298, 5.16738e-09
-0.375847, -3.16512e-06, -9.83873e-06, -0.375848, -3.08854e-06, -9.83873e-06, 0.0112837, 1.03625e-05, -0.0381094, 1.03625e-05, 0.0200441, -3.85747e-06, -9.63496e-06, -0.395891, 6.11677e-07, -2.0377e-07, 0.0493931, 0, -0.0381094, 1.03625e-05, -0.0344817, 1.4373e-05, -0.0311988, 1.87647e-05, -0.0282279, 2.33945e-05, -0.0255392, 2.80493e-05, -0.023106, 3.16736e-05, -0.0209038, 3.40106e-05, -0.0189106, 3.51994e-05, -0.0171066, 3.53942e-05, -0.0154736, 3.4755e-05, -0.0139954, 3.34408e-05, -0.0126571, 3.16031e-05, -0.0114454, 2.93819e-05, -0.0103481, 2.69572e-05, -0.00935431, 2.4647e-05, -0.00845407, 2.24791e-05, -0.00763837, 2.04464e-05, -0.00689905, 1.85424e-05, -0.00622872, 1.67607e-05, -0.00562068, 1.50957e-05, -0.00506885, 1.35417e-05, -0.00456771, 1.20936e-05, -0.00411224, 1.07466e-05, -0.0036979, 9.49627e-06, -0.00332053, 8.3383e-06, -0.00297637, 7.26882e-06, -0.00266197, 6.28423e-06, -0.0023742, 5.38118e-06, -0.00211016, 4.5566e-06, -0.00186723, 3.80768e-06, -0.00164297, 3.13186e-06, -0.00143513, 2.52682e-06, -0.00124165, 1.99049e-06, -0.00106059, 1.52104e-06, -0.000890133, 1.11685e-06, -0.000728577, 7.76533e-07, -0.000574306, 4.9893e-07, -0.000425779, 2.83097e-07, -0.000281509, 1.28305e-07, -0.000140054, 3.40072e-08
-0.376308, -3.25583e-06, -9.3619e-06, -0.376309, -3.17916e-06, -9.3619e-06, 0.0395896, 1.41588e-05, -0.0315364, 1.41588e-05, 0.016587, -3.94757e-06, -9.15813e-06, -0.392895, 6.11676e-07, -2.0377e-07, 0.0711261, 0, -0.0315364, 1.41588e-05, -0.0285344, 1.84948e-05, -0.0258177, 2.30685e-05, -0.0233592, 2.7668e-05, -0.0211343, 3.12509e-05, -0.0191207, 3.35619e-05, -0.0172984, 3.47376e-05, -0.015649, 3.49296e-05, -0.0141561, 3.42964e-05, -0.0128048, 3.29951e-05, -0.0115815, 3.11764e-05, -0.010474, 2.89792e-05, -0.0094713, 2.65822e-05, -0.00856329, 2.42989e-05, -0.00774091, 2.21567e-05, -0.00699594, 2.01486e-05, -0.00632092, 1.82681e-05, -0.00570912, 1.65089e-05, -0.00515441, 1.48651e-05, -0.00465125, 1.33315e-05, -0.00419459, 1.19027e-05, -0.00377988, 1.05739e-05, -0.00340297, 9.34081e-06, -0.00306009, 8.19908e-06, -0.00274781, 7.14485e-06, -0.00246301, 6.17451e-06, -0.00220284, 5.2847e-06, -0.0019647, 4.47236e-06, -0.00174621, 3.73467e-06, -0.00154517, 3.06904e-06, -0.00135959, 2.47315e-06, -0.00118761, 1.94491e-06, -0.0010275, 1.48244e-06, -0.000877663, 1.08412e-06, -0.000736605, 7.48529e-07, -0.000602914, 4.74463e-07, -0.000475251, 2.60941e-07, -0.000352342, 1.07191e-07, -0.000232955, 1.2653e-08, -0.000115898, -2.30624e-08
-0.375636, -3.3596e-06, -9.3619e-06, -0.375638, -3.28306e-06, -9.3619e-06, 0.0719484, 1.89635e-05, -0.0248621, 1.89635e-05, 0.0130765, -4.05048e-06, -9.15813e-06, -0.388713, 6.11676e-07, -2.0377e-07, 0.0968105, 0, -0.0248621, 1.89635e-05, -0.0224954, 2.36613e-05, -0.0203537, 2.83886e-05, -0.0184155, 3.2075e-05, -0.0166614, 3.44575e-05, -0.015074, 3.56751e-05, -0.0136373, 3.58828e-05, -0.012337, 3.52424e-05, -0.0111601, 3.39153e-05, -0.0100948, 3.20558e-05, -0.00913038, 2.98066e-05, -0.0082573, 2.73512e-05, -0.00746679, 2.50121e-05, -0.00675095, 2.28173e-05, -0.00610262, 2.07598e-05, -0.00551532, 1.88328e-05, -0.00498316, 1.70298e-05, -0.00450084, 1.53449e-05, -0.00406353, 1.37724e-05, -0.00366686, 1.2307e-05, -0.00330685, 1.09437e-05, -0.00297991, 9.67804e-06, -0.00268277, 8.50551e-06, -0.00241246, 7.42213e-06, -0.00216627, 6.42416e-06, -0.00194174, 5.50811e-06, -0.00173663, 4.67079e-06, -0.00154889, 3.90925e-06, -0.00137664, 3.2208e-06, -0.00121815, 2.60301e-06, -0.00107185, 2.05365e-06, -0.000936262, 1.57077e-06, -0.000810038, 1.15261e-06, -0.000691915, 7.97647e-07, -0.00058071, 5.04586e-07, -0.000475313, 2.72336e-07, -0.000374669, 1.00024e-07, -0.000277772, -1.30138e-08, -0.000183652, -6.72323e-08, -9.13693e-05, -6.29158e-08
-0.371194, -6.70674e-06, -2.20934e-06, -0.371194, -6.6311e-06, -2.20934e-06, 0.103719, 1.67381e-05, -0.0227272, 1.67381e-05, 0.0119536, -7.39649e-06, -2.00557e-06, -0.383148, 6.11675e-07, -2.0377e-07, 0.126446, 0, -0.0227272, 1.67381e-05, -0.0205638, 2.00868e-05, -0.0186059, 2.26196e-05, -0.0168342, 2.41361e-05, -0.0152308, 2.47371e-05, -0.0137796, 2.45476e-05, -0.0124663, 2.37059e-05, -0.0112777, 2.23545e-05, -0.0102018, 2.06335e-05, -0.00922795, 1.86742e-05, -0.00834637, 1.6626e-05, -0.00754826, 1.46974e-05, -0.00682563, 1.29038e-05, -0.00617126, 1.12387e-05, -0.0055786, 9.69569e-06, -0.00504173, 8.26903e-06, -0.00455527, 6.95326e-06, -0.00411437, 5.74328e-06, -0.0037146, 4.63437e-06, -0.00335199, 3.62213e-06, -0.0030229, 2.70248e-06, -0.00272403, 1.87168e-06, -0.0024524, 1.12626e-06, -0.0022053, 4.63063e-07, -0.00198025, -1.20773e-07, -0.00177501, -6.27843e-07, -0.00158751, -1.06047e-06, -0.00141589, -1.42072e-06, -0.00125843, -1.71038e-06, -0.00111355, -1.931e-06, -0.000979811, -2.08387e-06, -0.000855867, -2.17006e-06, -0.000740482, -2.19037e-06, -0.000632501, -2.14536e-06, -0.000530846, -2.03539e-06, -0.000434499, -1.86053e-06, -0.000342497, -1.62065e-06, -0.00025392, -1.31539e-06, -0.000167883, -9.44131e-07, -8.35236e-05, -5.06072e-07
-0.369757, -7.68383e-06, -3.01992e-07, -0.369757, -7.60848e-06, -3.01992e-07, 0.147833, 1.8665e-05, -0.0118759, 1.8665e-05, 0.00624627, -8.37212e-06, -9.82213e-08, -0.376004, 6.11674e-07, -2.0377e-07, 0.159709, 0, -0.0118759, 1.8665e-05, -0.0107454, 2.09989e-05, -0.00972237, 2.23563e-05, -0.00879655, 2.2831e-05, -0.0079587, 2.25438e-05, -0.00720043, 2.16309e-05, -0.00651417, 2.02347e-05, -0.00589305, 1.84959e-05, -0.00533086, 1.65472e-05, -0.00482198, 1.45345e-05, -0.00436132, 1.26451e-05, -0.00394428, 1.08919e-05, -0.00356667, 9.26802e-06, -0.00322474, 7.76717e-06, -0.00291505, 6.38344e-06, -0.00263451, 5.11133e-06, -0.00238032, 3.94567e-06, -0.00214992, 2.88168e-06, -0.00194103, 1.91491e-06, -0.00175155, 1.04126e-06, -0.00157959, 2.56941e-07, -0.00142342, -4.41531e-07, -0.00128148, -1.05733e-06, -0.00115236, -1.59333e-06, -0.00103476, -2.05215e-06, -0.000927515, -2.43609e-06, -0.00082954, -2.7472e-06, -0.000739862, -2.98728e-06, -0.000657581, -3.15786e-06, -0.000581877, -3.2602e-06, -0.000511991, -3.29532e-06, -0.000447225, -3.264e-06, -0.000386932, -3.16678e-06, -0.000330508, -3.00393e-06, -0.000277389, -2.7755e-06, -0.000227044, -2.4813e-06, -0.000178969, -2.1209e-06, -0.000132684, -1.69361e-06, -8.77255e-05, -1.19851e-06, -4.36445e-05, -6.3449e-07
