pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.400187, 1.83851e-06, -4.59353e-06, 0.000988432, 2.18502e-11, 0.000988431, 2.18502e-11, -0.000182937, -3.80733e-07, -4.59353e-06, -0.400004, 2.21925e-06, 0, 1e-10, 0, 0.000988431, 2.18502e-11, 0.000721401, 1.31746e-07, 0.00052651, 5.12954e-07, 0.00038427, 1.12204e-06, 0.000280457, 1.93578e-06, 0.00020469, 2.92876e-06, 0.000149391, 4.07288e-06, 0.000109032, 5.33698e-06, 7.95764e-05, 6.68671e-06, 5.80783e-05, 8.0684e-06, 4.23881e-05, 9.18188e-06, 3.09367e-05, 9.94831e-06, 2.2579e-05, 1.04001e-05, 1.64792e-05, 1.05729e-05, 1.20273e-05, 1.05042e-05, 8.7781e-06, 1.02317e-05, 6.40669e-06, 9.79232e-06, 4.67592e-06, 9.22095e-06, 3.41272e-06, 8.56784e-06, 2.49078e-06, 7.93234e-06, 1.8179e-06, 7.32468e-06, 1.3268e-06, 6.74404e-06, 9.68366e-07, 6.18962e-06, 7.0676e-07, 5.66066e-06, 5.15824e-07, 5.15644e-06, 3.76464e-07, 4.67627e-06, 2.74747e-07, 4.2195e-06, 2.005e-07, 3.78552e-06, 1.46301e-07, 3.37373e-06, 1.06731e-07, 2.98359e-06, 7.78314e-08, 2.61459e-06, 5.67141e-08, 2.26624e-06, 4.12675e-08, 1.93812e-06, 2.9947e-08, 1.62981e-06, 2.16209e-08, 1.34094e-06, 1.54565e-08, 1.07118e-06, 1.08375e-08, 8.20241e-07, 7.30233e-09, 5.87857e-07, 4.49758e-09, 3.73805e-07, 2.14338e-09, 1.77939e-07
-0.400188, 1.83852e-06, -4.59353e-06, 0.0031444, 1.13712e-07, 0.00116867, 1.13712e-07, -0.000216295, -3.80706e-07, -3.82833e-06, -0.399972, 2.21922e-06, -7.652e-07, 0.00197572, 0, 0.00116867, 1.13712e-07, 0.000852948, 4.43054e-07, 0.000622519, 9.69974e-07, 0.000454342, 1.67484e-06, 0.000331598, 2.53602e-06, 0.000242015, 3.5294e-06, 0.000176633, 4.62807e-06, 0.000128914, 5.80213e-06, 9.40871e-05, 7.00476e-06, 6.86689e-05, 7.97501e-06, 5.01176e-05, 8.64398e-06, 3.6578e-05, 9.03951e-06, 2.66963e-05, 9.19248e-06, 1.94842e-05, 9.1354e-06, 1.42205e-05, 8.90113e-06, 1.03788e-05, 8.52179e-06, 7.57494e-06, 8.02789e-06, 5.52857e-06, 7.46316e-06, 4.03503e-06, 6.91407e-06, 2.94497e-06, 6.38948e-06, 2.14939e-06, 5.88867e-06, 1.56874e-06, 5.41093e-06, 1.14495e-06, 4.95558e-06, 8.35638e-07, 4.52197e-06, 6.09884e-07, 4.10949e-06, 4.45113e-07, 3.71755e-06, 3.24847e-07, 3.3456e-06, 2.37062e-07, 2.99312e-06, 1.72979e-07, 2.6596e-06, 1.26193e-07, 2.34459e-06, 9.20239e-08, 2.04766e-06, 6.70559e-08, 1.7684e-06, 4.87926e-08, 1.50645e-06, 3.54079e-08, 1.26147e-06, 2.55634e-08, 1.03315e-06, 1.82749e-08, 8.21217e-07, 1.28138e-08, 6.25432e-07, 8.63391e-09, 4.45581e-07, 5.31772e-09, 2.81485e-07, 2.53423e-09, 1.3302e-07
-0.400149, 1.83837e-06, -4.59353e-06, 0.0101056, 4.51907e-07, 0.00220274, 4.51907e-07, -0.000407679, -3.80678e-07, -3.82833e-06, -0.399741, 2.21905e-06, -7.652e-07, 0.0079029, 0, 0.00220274, 4.51907e-07, 0.00160766, 9.89722e-07, 0.00117334, 1.7098e-06, 0.000856354, 2.59029e-06, 0.000625004, 3.60684e-06, 0.000456155, 4.73217e-06, 0.000332921, 5.93593e-06, 0.00024298, 7.17035e-06, 0.000177338, 8.16831e-06, 0.000129429, 8.85891e-06, 9.44627e-05, 9.27029e-06, 6.89431e-05, 9.43371e-06, 5.03178e-05, 9.38218e-06, 3.67243e-05, 9.14908e-06, 2.68031e-05, 8.7671e-06, 1.95622e-05, 8.26728e-06, 1.42774e-05, 7.69435e-06, 1.04204e-05, 7.13725e-06, 7.60532e-06, 6.6051e-06, 5.55075e-06, 6.09714e-06, 4.05123e-06, 5.61266e-06, 2.9568e-06, 5.15095e-06, 2.15802e-06, 4.71134e-06, 1.57503e-06, 4.2932e-06, 1.14952e-06, 3.89591e-06, 8.38958e-07, 3.5189e-06, 6.12279e-07, 3.16162e-06, 4.46819e-07, 2.82357e-06, 3.26036e-07, 2.50425e-06, 2.37851e-07, 2.20321e-06, 1.73449e-07, 1.92003e-06, 1.26389e-07, 1.65432e-06, 9.19655e-08, 1.40572e-06, 6.67376e-08, 1.1739e-06, 4.81825e-08, 9.58566e-07, 3.4445e-08, 7.59445e-07, 2.41517e-08, 5.76307e-07, 1.62734e-08, 4.08948e-07, 1.0023e-08, 2.57198e-07, 4.77658e-09, 1.20935e-07
-0.399619, 1.8358e-06, -4.59353e-06, 0.0205032, 1.00922e-06, 0.00272164, 1.00922e-06, -0.000503716, -3.82771e-07, -3.82833e-06, -0.399115, 2.21857e-06, -7.652e-07, 0.0177815, 0, 0.00272164, 1.00922e-06, 0.00198637, 1.74415e-06, 0.00144974, 2.64361e-06, 0.00105809, 3.6829e-06, 0.000772236, 4.83438e-06, 0.000563611, 6.06724e-06, 0.000411348, 7.33277e-06, 0.000300219, 8.3578e-06, 0.000219113, 9.06946e-06, 0.000159918, 9.49616e-06, 0.000116715, 9.66959e-06, 8.51841e-05, 9.62323e-06, 6.21712e-05, 9.39101e-06, 4.53754e-05, 9.00617e-06, 3.31171e-05, 8.50029e-06, 2.41704e-05, 7.91909e-06, 1.76408e-05, 7.3539e-06, 1.28751e-05, 6.81411e-06, 9.39691e-06, 6.29894e-06, 6.85835e-06, 5.80764e-06, 5.00558e-06, 5.33949e-06, 3.65333e-06, 4.8938e-06, 2.66639e-06, 4.4699e-06, 1.94606e-06, 4.06717e-06, 1.42032e-06, 3.68502e-06, 1.03659e-06, 3.32287e-06, 7.56513e-07, 2.98018e-06, 5.52076e-07, 2.65646e-06, 4.0284e-07, 2.35123e-06, 2.93882e-07, 2.06404e-06, 2.14308e-07, 1.79448e-06, 1.56162e-07, 1.54217e-06, 1.1363e-07, 1.30675e-06, 8.2459e-08, 1.08792e-06, 5.95329e-08, 8.85373e-07, 4.25593e-08, 6.98861e-07, 2.98411e-08, 5.28157e-07, 2.01069e-08, 3.73066e-07, 1.23841e-08, 2.33425e-07, 5.9018e-09, 1.09114e-07
-0.398798, 1.4497e-06, -3.63985e-06, 0.0364791, 1.5576e-06, 0.00486747, 1.5576e-06, -0.000900861, -7.67933e-07, -2.87465e-06, -0.397897, 2.21763e-06, -7.652e-07, 0.0316116, 0, 0.00486747, 1.5576e-06, 0.00355249, 2.36681e-06, 0.00259277, 3.30417e-06, 0.00189231, 4.34362e-06, 0.00138109, 5.45527e-06, 0.00100798, 6.5921e-06, 0.000735668, 7.50593e-06, 0.000536922, 8.13035e-06, 0.000391869, 8.49137e-06, 0.000286003, 8.61892e-06, 0.000208738, 8.54518e-06, 0.000152346, 8.30309e-06, 0.000111189, 7.92506e-06, 8.11508e-05, 7.44195e-06, 5.92277e-05, 6.89637e-06, 4.32272e-05, 6.36877e-06, 3.15493e-05, 5.86722e-06, 2.30263e-05, 5.3909e-06, 1.68057e-05, 4.93901e-06, 1.22657e-05, 4.51079e-06, 8.95214e-06, 4.10552e-06, 6.53374e-06, 3.72249e-06, 4.76866e-06, 3.36107e-06, 3.4804e-06, 3.02062e-06, 2.54014e-06, 2.70055e-06, 1.85388e-06, 2.40031e-06, 1.35297e-06, 2.11938e-06, 9.87352e-07, 1.85726e-06, 7.20452e-07, 1.61351e-06, 5.25588e-07, 1.38769e-06, 3.83276e-07, 1.17943e-06, 2.79285e-07, 9.88365e-07, 2.03219e-07, 8.1417e-07, 1.47472e-07, 6.56556e-07, 1.06471e-07, 5.15266e-07, 7.61144e-08, 3.90074e-07, 5.33688e-08, 2.80788e-07, 3.59599e-08, 1.87249e-07, 2.21481e-08, 1.09329e-07, 1.0555e-08, 4.69394e-08
-0.396607, 1.24577e-06, -3.16301e-06, 0.0532736, 2.25805e-06, 0.00388045, 2.25805e-06, -0.000718186, -9.70328e-07, -2.39781e-06, -0.395888, 2.2161e-06, -7.652e-07, 0.0493931, 0, 0.00388045, 2.25805e-06, 0.00283213, 3.15668e-06, 0.00206701, 4.15414e-06, 0.00150859, 5.22048e-06, 0.00110104, 6.3089e-06, 0.000803584, 7.18035e-06, 0.00058649, 7.77061e-06, 0.000428046, 8.10473e-06, 0.000312406, 8.21207e-06, 0.000228008, 8.12454e-06, 0.00016641, 7.87498e-06, 0.000121454, 7.49584e-06, 8.86423e-05, 7.01802e-06, 6.46952e-05, 6.48318e-06, 4.72176e-05, 5.96747e-06, 3.44617e-05, 5.47841e-06, 2.51518e-05, 5.01512e-06, 1.8357e-05, 4.57679e-06, 1.33979e-05, 4.16261e-06, 9.77848e-06, 3.77182e-06, 7.13684e-06, 3.4037e-06, 5.20884e-06, 3.05756e-06, 3.80168e-06, 2.73276e-06, 2.77465e-06, 2.42867e-06, 2.02506e-06, 2.14472e-06, 1.47795e-06, 1.88035e-06, 1.07862e-06, 1.63508e-06, 7.87138e-07, 1.4084e-06, 5.7436e-07, 1.19989e-06, 4.1901e-07, 1.00914e-06, 3.05556e-07, 8.35765e-07, 2.22652e-07, 6.79439e-07, 1.62011e-07, 5.3985e-07, 1.17568e-07, 4.16727e-07, 8.48807e-08, 3.09831e-07, 6.068e-08, 2.18956e-07, 4.25468e-08, 1.43929e-07, 2.8668e-08, 8.46102e-08, 1.76569e-08, 4.08933e-08, 8.41465e-09, 1.2705e-08
-0.393404, 8.5078e-07, -2.20934e-06, 0.0738918, 2.78263e-06, 0.0027657, 2.78263e-06, -0.000511869, -1.36302e-06, -1.44414e-06, -0.392892, 2.2138e-06, -7.652e-07, 0.0711261, 0, 0.0027657, 2.78263e-06, 0.00201853, 3.66881e-06, 0.00147321, 4.61445e-06, 0.00107521, 5.57397e-06, 0.000784737, 6.33292e-06, 0.000572735, 6.83352e-06, 0.000418006, 7.09852e-06, 0.000305079, 7.1557e-06, 0.00022266, 7.03588e-06, 0.000162507, 6.77114e-06, 0.000118605, 6.39335e-06, 8.6563e-05, 5.93292e-06, 6.31776e-05, 5.42858e-06, 4.61099e-05, 4.9454e-06, 3.36532e-05, 4.48955e-06, 2.45617e-05, 4.0601e-06, 1.79263e-05, 3.65617e-06, 1.30835e-05, 3.27691e-06, 9.54902e-06, 2.92151e-06, 6.96937e-06, 2.58922e-06, 5.08661e-06, 2.27931e-06, 3.71247e-06, 1.9911e-06, 2.70955e-06, 1.72394e-06, 1.97756e-06, 1.47721e-06, 1.44331e-06, 1.25037e-06, 1.05337e-06, 1.04286e-06, 7.68759e-07, 8.542e-07, 5.61013e-07, 6.83927e-07, 4.09361e-07, 5.31621e-07, 2.98639e-07, 3.96896e-07, 2.17777e-07, 2.794e-07, 1.5869e-07, 1.78819e-07, 1.15469e-07, 9.48742e-08, 8.37938e-08, 2.73197e-08, 6.04966e-08, -2.40547e-08, 4.32482e-08, -5.9425e-08, 3.03241e-08, -7.89331e-08, 2.04324e-08, -8.2687e-08, 1.25845e-08, -7.07607e-08, 5.99733e-09, -4.31984e-08
-0.392336, 8.50426e-07, -2.20934e-06, 0.116401, 3.76102e-06, 0.0195904, 3.76102e-06, -0.00362576, -1.36018e-06, -1.44414e-06, -0.38871, 2.2106e-06, -7.652e-07, 0.0968105, 0, 0.0195904, 3.76102e-06, 0.014298, 4.7321e-06, 0.0104353, 5.71869e-06, 0.00761613, 6.50073e-06, 0.00555858, 7.0187e-06, 0.00405689, 7.29564e-06, 0.00296089, 7.35976e-06, 0.00216099, 7.24234e-06, 0.00157718, 6.97603e-06, 0.0011511, 6.59324e-06, 0.000840121, 6.12496e-06, 0.000613158, 5.61086e-06, 0.00044751, 5.11802e-06, 0.000326614, 4.65281e-06, 0.000238378, 4.21428e-06, 0.00017398, 3.80152e-06, 0.000126979, 3.41367e-06, 9.26754e-05, 3.04991e-06, 6.76392e-05, 2.70943e-06, 4.93666e-05, 2.39151e-06, 3.60303e-05, 2.09543e-06, 2.62968e-05, 1.82052e-06, 1.91928e-05, 1.56615e-06, 1.40078e-05, 1.33173e-06, 1.02235e-05, 1.11671e-06, 7.46142e-06, 9.20569e-07, 5.44541e-06, 7.4282e-07, 3.97386e-06, 5.83021e-07, 2.89965e-06, 4.40762e-07, 2.11537e-06, 3.15669e-07, 1.5426e-06, 2.07401e-07, 1.12406e-06, 1.15655e-07, 8.17911e-07, 4.0161e-08, 5.93542e-07, -1.93181e-08, 4.2852e-07, -6.29839e-08, 3.06343e-07, -9.10047e-08, 2.14797e-07, -1.03516e-07, 1.4473e-07, -1.00618e-07, 8.91409e-08, -8.23809e-08, 4.24813e-08, -4.88458e-08
-0.384722, 5.40648e-07, -1.25567e-06, 0.134969, 3.97392e-06, 0.00852305, 3.97392e-06, -0.00157743, -1.6657e-06, -4.90466e-07, -0.383145, 2.20635e-06, -7.652e-07, 0.126446, 0, 0.00852305, 3.97392e-06, 0.0062205, 4.79905e-06, 0.00453999, 5.443e-06, 0.00331349, 5.85453e-06, 0.00241833, 6.05367e-06, 0.001765, 6.06604e-06, 0.00128817, 5.92073e-06, 0.000940163, 5.64841e-06, 0.000686171, 5.27976e-06, 0.000500798, 4.84414e-06, 0.000365504, 4.37692e-06, 0.000266761, 3.93198e-06, 0.000194694, 3.51414e-06, 0.000142097, 3.12241e-06, 0.000103709, 2.75588e-06, 7.56918e-05, 2.41367e-06, 5.52436e-05, 2.09494e-06, 4.03195e-05, 1.79889e-06, 2.94272e-05, 1.52477e-06, 2.14775e-05, 1.27187e-06, 1.56754e-05, 1.03951e-06, 1.14407e-05, 8.27056e-07, 8.35003e-06, 6.33915e-07, 6.09426e-06, 4.59528e-07, 4.44785e-06, 3.03377e-07, 3.24618e-06, 1.64979e-07, 2.36909e-06, 4.38899e-08, 1.72888e-06, -6.03008e-08, 1.26153e-06, -1.47966e-07, 9.20317e-07, -2.19445e-07, 6.71125e-07, -2.75039e-07, 4.89035e-07, -3.1502e-07, 3.55842e-07, -3.3962e-07, 2.58228e-07, -3.49043e-07, 1.86432e-07, -3.43455e-07, 1.33278e-07, -3.22992e-07, 9.345e-08, -2.87755e-07, 6.29666e-08, -2.37816e-07, 3.87818e-08, -1.73211e-07, 1.8482e-08, -9.39552e-08
-0.379325, 1.50522e-07, -3.01992e-07, 0.177671, 4.08943e-06, 0.0179619, 4.08943e-06, -0.00332435, -2.05036e-06, 4.63209e-07, -0.376001, 2.20088e-06, -7.652e-07, 0.159709, 0, 0.0179619, 4.08943e-06, 0.0131094, 4.62201e-06, 0.0095678, 4.94316e-06, 0.006983, 5.07065e-06, 0.00509649, 5.0288e-06, 0.00371964, 4.84589e-06, 0.00271475, 4.55216e-06, 0.00198134, 4.17807e-06, 0.00144607, 3.75282e-06, 0.00105541, 3.30917e-06, 0.000770281, 2.88996e-06, 0.000562186, 2.4986e-06, 0.000410308, 2.13407e-06, 0.000299462, 1.79536e-06, 0.000218561, 1.48155e-06, 0.000159517, 1.19174e-06, 0.000116423, 9.25085e-07, 8.49713e-05, 6.80777e-07, 6.20164e-05, 4.5806e-07, 4.52627e-05, 2.56221e-07, 3.30351e-05, 7.45886e-08, 2.41107e-05, -8.74677e-08, 1.75973e-05, -2.30536e-07, 1.28433e-05, -3.55164e-07, 9.37361e-06, -4.6186e-07, 6.84115e-06, -5.51093e-07, 4.99273e-06, -6.23293e-07, 3.64351e-06, -6.78853e-07, 2.65861e-06, -7.18129e-07, 1.93952e-06, -7.41438e-07, 1.41436e-06, -7.49065e-07, 1.03062e-06, -7.41254e-07, 7.49918e-07, -7.18219e-07, 5.44201e-07, -6.80135e-07, 3.92897e-07, -6.27147e-07, 2.80877e-07, -5.59363e-07, 1.96941e-07, -4.76858e-07, 1.32699e-07, -3.79675e-07, 8.17306e-08, -2.67824e-07, 3.89498e-08, -1.41293e-07
