pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad]
-0.36957, -7.8408e-06, 1.76573e-05, 0.19548, -2.73221e-06, 0.00444948, -2.73221e-06, -0.00234985, -8.14941e-06, 1.77492e-05, -0.36722, 3.08612e-07, -9.18569e-08, 0.19103, 0, 0.00444948, -2.73221e-06, 0.00402401, -3.05287e-06, 0.00363877, -3.30534e-06, 0.00328992, -3.49198e-06, 0.00297397, -3.6146e-06, 0.00268776, -3.67487e-06, 0.00242843, -3.67467e-06, 0.00219338, -3.61628e-06, 0.00198027, -3.5104e-06, 0.00178696, -3.39409e-06, 0.00161152, -3.27197e-06, 0.00145219, -3.14429e-06, 0.00130738, -3.01132e-06, 0.00117565, -2.87331e-06, 0.00105568, -2.73052e-06, 0.000946263, -2.58321e-06, 0.000846308, -2.43164e-06, 0.000754817, -2.27604e-06, 0.000670873, -2.11668e-06, 0.000593639, -1.95381e-06, 0.00052234, -1.78766e-06, 0.000456266, -1.61849e-06, 0.000394753, -1.44654e-06, 0.000337189, -1.27206e-06, 0.000282996, -1.09528e-06, 0.000231633, -9.16459e-07, 0.000182586, -7.35824e-07, 0.000135366, -5.53621e-07, 8.94987e-05, -3.7009e-07, 4.45267e-05, -1.85472e-07
-0.361008, -8.73254e-06, 1.88791e-05, 0.22605, -3.2238e-06, 0.00764986, -3.2238e-06, -0.00404003, -9.04021e-06, 1.89709e-05, -0.356968, 3.07673e-07, -9.18569e-08, 0.2184, 0, 0.00764986, -3.2238e-06, 0.00691835, -3.50023e-06, 0.00625603, -3.70928e-06, 0.00565626, -3.85218e-06, 0.00511306, -3.92995e-06, 0.00462099, -3.94381e-06, 0.00417513, -3.8954e-06, 0.00377101, -3.79554e-06, 0.00340461, -3.68394e-06, 0.00307226, -3.56556e-06, 0.00277063, -3.44068e-06, 0.0024967, -3.3096e-06, 0.00224775, -3.17259e-06, 0.00202127, -3.02992e-06, 0.001815, -2.88188e-06, 0.00162688, -2.72873e-06, 0.00145503, -2.57075e-06, 0.00129773, -2.40821e-06, 0.00115341, -2.24137e-06, 0.00102062, -2.07051e-06, 0.000898044, -1.89588e-06, 0.000784443, -1.71776e-06, 0.000678687, -1.53639e-06, 0.000579718, -1.35205e-06, 0.000486546, -1.16499e-06, 0.000398239, -9.75476e-07, 0.000313915, -7.83757e-07, 0.00023273, -5.90094e-07, 0.000153872, -3.94743e-07, 7.65535e-05, -1.97962e-07
-0.351962, -9.98982e-06, 2.10183e-05, 0.254157, -3.87794e-06, 0.0123377, -3.87794e-06, -0.00651579, -1.02964e-05, 2.11102e-05, -0.345446, 3.06617e-07, -9.18569e-08, 0.241819, 0, 0.0123377, -3.87794e-06, 0.011158, -4.12083e-06, 0.0100898, -4.29209e-06, 0.00912246, -4.39213e-06, 0.00824638, -4.42153e-06, 0.00745276, -4.38138e-06, 0.00673367, -4.28315e-06, 0.00608192, -4.17129e-06, 0.00549099, -4.05139e-06, 0.00495496, -3.92375e-06, 0.00446849, -3.78871e-06, 0.0040267, -3.64657e-06, 0.00362518, -3.49765e-06, 0.00325991, -3.34226e-06, 0.00292724, -3.1807e-06, 0.00262385, -3.01328e-06, 0.00234669, -2.8403e-06, 0.00209299, -2.66206e-06, 0.00186023, -2.47887e-06, 0.00164607, -2.29101e-06, 0.00144837, -2.09878e-06, 0.00126516, -1.90247e-06, 0.00109459, -1.70238e-06, 0.000934973, -1.4988e-06, 0.000784705, -1.29201e-06, 0.000642283, -1.0823e-06, 0.000506285, -8.69962e-07, 0.000375349, -6.55277e-07, 0.000248167, -4.38533e-07, 0.000123466, -2.20014e-07
-0.342222, -1.029e-05, 2.13511e-05, 0.27903, -4.19596e-06, 0.0177434, -4.19596e-06, -0.00937064, -1.05954e-05, 2.1443e-05, -0.332852, 3.05464e-07, -9.18569e-08, 0.261286, 0, 0.0177434, -4.19596e-06, 0.0160467, -4.38165e-06, 0.0145105, -4.49589e-06, 0.0131194, -4.53859e-06, 0.0118595, -4.51019e-06, 0.0107181, -4.42189e-06, 0.00968398, -4.31924e-06, 0.00874667, -4.20799e-06, 0.00789682, -4.08848e-06, 0.00712594, -3.96103e-06, 0.00642633, -3.82596e-06, 0.00579097, -3.68358e-06, 0.00521353, -3.53423e-06, 0.00468822, -3.37821e-06, 0.00420979, -3.21583e-06, 0.00377346, -3.04741e-06, 0.00337487, -2.87325e-06, 0.00301002, -2.69365e-06, 0.00267528, -2.50893e-06, 0.00236728, -2.31937e-06, 0.00208296, -2.12528e-06, 0.00181947, -1.92696e-06, 0.00157418, -1.72471e-06, 0.00134462, -1.5188e-06, 0.00112852, -1.30955e-06, 0.000923695, -1.09725e-06, 0.000728109, -8.82172e-07, 0.000539805, -6.64621e-07, 0.000356899, -4.44883e-07, 0.000177562, -2.23249e-07
-0.330537, -1.07532e-05, 2.21842e-05, 0.297922, -4.59282e-06, 0.0211202, -4.59282e-06, -0.011154, -1.10574e-05, 2.22761e-05, -0.319383, 3.0423e-07, -9.18569e-08, 0.276802, 0, 0.0211202, -4.59282e-06, 0.0191006, -4.72364e-06, 0.017272, -4.78004e-06, 0.0156161, -4.7619e-06, 0.0141164, -4.68046e-06, 0.0127579, -4.58368e-06, 0.0115269, -4.47761e-06, 0.0104112, -4.3626e-06, 0.00939966, -4.23899e-06, 0.00848208, -4.10711e-06, 0.00764931, -3.96731e-06, 0.00689305, -3.81991e-06, 0.00620571, -3.66525e-06, 0.00558043, -3.50364e-06, 0.00501095, -3.33542e-06, 0.00449159, -3.16091e-06, 0.00401714, -2.98042e-06, 0.00358286, -2.79426e-06, 0.00318441, -2.60277e-06, 0.0028178, -2.40624e-06, 0.00247937, -2.20498e-06, 0.00216574, -1.99932e-06, 0.00187376, -1.78955e-06, 0.00160052, -1.57598e-06, 0.00134328, -1.35891e-06, 0.00109948, -1.13865e-06, 0.000866675, -9.15498e-07, 0.000642535, -6.89758e-07, 0.00042482, -4.61729e-07, 0.000211353, -2.31712e-07
-0.319377, -1.10611e-05, 2.28052e-05, 0.31514, -4.91735e-06, 0.0267741, -4.91735e-06, -0.0141399, -1.1364e-05, 2.28971e-05, -0.305237, 3.02934e-07, -9.18569e-08, 0.288366, 0, 0.0267741, -4.91735e-06, 0.0242138, -4.98702e-06, 0.0218957, -4.97928e-06, 0.0197966, -4.90535e-06, 0.0178954, -4.81522e-06, 0.0161732, -4.71522e-06, 0.0146127, -4.6057e-06, 0.0131983, -4.48702e-06, 0.011916, -4.35953e-06, 0.0107527, -4.22358e-06, 0.00969704, -4.07951e-06, 0.00873832, -3.92766e-06, 0.00786698, -3.76838e-06, 0.00707432, -3.60198e-06, 0.00635239, -3.42882e-06, 0.00569399, -3.24921e-06, 0.00509253, -3.06349e-06, 0.00454199, -2.87198e-06, 0.00403688, -2.675e-06, 0.00357213, -2.47287e-06, 0.0031431, -2.26592e-06, 0.00274551, -2.05446e-06, 0.00237537, -1.83881e-06, 0.00202898, -1.61927e-06, 0.00170288, -1.39617e-06, 0.00139381, -1.16981e-06, 0.00109869, -9.40506e-07, 0.000814542, -7.08564e-07, 0.000538545, -4.74294e-07, 0.000267933, -2.38006e-07
-0.291791, -1.04107e-05, 2.39799e-05, 0.29821, -5.86427e-06, 0.00223122, -5.86427e-06, -0.00117835, -1.07123e-05, 2.40718e-05, -0.290612, 3.01594e-07, -9.18569e-08, 0.295979, 0, 0.00223122, -5.86427e-06, 0.00201786, -5.83542e-06, 0.00182468, -5.7311e-06, 0.00164975, -5.61014e-06, 0.00149132, -5.47993e-06, 0.00134779, -5.34083e-06, 0.00121775, -5.19322e-06, 0.00109988, -5.03746e-06, 0.000993017, -4.8739e-06, 0.00089608, -4.70291e-06, 0.000808103, -4.52483e-06, 0.000728208, -4.34003e-06, 0.000655595, -4.14885e-06, 0.000589538, -3.95163e-06, 0.000529377, -3.74872e-06, 0.000474509, -3.54045e-06, 0.000424386, -3.32717e-06, 0.000378507, -3.10922e-06, 0.000336413, -2.88692e-06, 0.000297683, -2.66061e-06, 0.000261931, -2.43062e-06, 0.000228797, -2.19728e-06, 0.000197951, -1.96091e-06, 0.000169085, -1.72185e-06, 0.00014191, -1.48041e-06, 0.000116154, -1.23692e-06, 9.1559e-05, -9.917e-07, 6.78799e-05, -7.45079e-07, 4.48796e-05, -4.97374e-07, 2.23282e-05, -2.48911e-07
-0.278288, -1.03848e-05, 2.45331e-05, 0.30453, -6.19883e-06, 0.0048899, -6.19883e-06, -0.00258245, -1.06851e-05, 2.46249e-05, -0.275705, 3.00228e-07, -9.18569e-08, 0.29964, 0, 0.0048899, -6.19883e-06, 0.00442231, -6.09375e-06, 0.00399894, -5.97132e-06, 0.00361556, -5.83939e-06, 0.00326834, -5.69831e-06, 0.0029538, -5.54849e-06, 0.0026688, -5.39028e-06, 0.00241049, -5.22406e-06, 0.00217628, -5.05019e-06, 0.00196383, -4.86904e-06, 0.00177103, -4.68098e-06, 0.00159593, -4.48635e-06, 0.00143679, -4.28551e-06, 0.00129202, -4.07882e-06, 0.00116017, -3.86663e-06, 0.00103993, -3.64927e-06, 0.000930077, -3.4271e-06, 0.00082953, -3.20046e-06, 0.000737277, -2.96968e-06, 0.000652398, -2.73512e-06, 0.000574042, -2.4971e-06, 0.000501427, -2.25596e-06, 0.000433827, -2.01203e-06, 0.000370564, -1.76565e-06, 0.000311007, -1.51714e-06, 0.00025456, -1.26684e-06, 0.000200659, -1.01509e-06, 0.000148764, -7.62194e-07, 9.83575e-05, -5.08497e-07, 4.89341e-05, -2.54326e-07
-0.26613, -9.43531e-06, 2.25966e-05, 0.310266, -5.76877e-06, 0.0102662, -5.76877e-06, -0.00542175, -9.73417e-06, 2.26885e-05, -0.260708, 2.98854e-07, -9.18569e-08, 0.3, 0, 0.0102662, -5.76877e-06, 0.00928447, -5.66155e-06, 0.00839563, -5.54534e-06, 0.00759074, -5.4205e-06, 0.00686176, -5.28737e-06, 0.00620139, -5.14631e-06, 0.00560304, -4.99765e-06, 0.00506073, -4.84175e-06, 0.00456901, -4.67893e-06, 0.00412299, -4.50954e-06, 0.0037182, -4.3339e-06, 0.00335059, -4.15234e-06, 0.00301649, -3.96519e-06, 0.00271255, -3.77277e-06, 0.00243574, -3.5754e-06, 0.00218328, -3.37341e-06, 0.00195266, -3.16711e-06, 0.00174157, -2.95681e-06, 0.00154789, -2.74283e-06, 0.00136969, -2.52548e-06, 0.00120518, -2.30507e-06, 0.00105273, -2.08191e-06, 0.000910803, -1.8563e-06, 0.000777985, -1.62856e-06, 0.000652948, -1.39898e-06, 0.00053444, -1.16787e-06, 0.000421276, -9.35539e-07, 0.000312325, -7.02283e-07, 0.000206498, -4.68407e-07, 0.000102735, -2.34215e-07
-0.252226, -8.98412e-06, 2.26076e-05, 0.312342, -5.98067e-06, 0.0123424, -5.98067e-06, -0.00651827, -9.2816e-06, 2.26994e-05, -0.245708, 2.9748e-07, -9.18569e-08, 0.3, 0, 0.0123424, -5.98067e-06, 0.0111622, -5.85873e-06, 0.0100936, -5.72834e-06, 0.00912592, -5.58987e-06, 0.00824951, -5.44367e-06, 0.00745559, -5.29007e-06, 0.00673623, -5.12942e-06, 0.00608423, -4.96206e-06, 0.00549307, -4.78832e-06, 0.00495684, -4.60853e-06, 0.00447019, -4.42303e-06, 0.00402823, -4.23213e-06, 0.00362656, -4.03617e-06, 0.00326115, -3.83547e-06, 0.00292835, -3.63033e-06, 0.00262484, -3.42109e-06, 0.00234758, -3.20806e-06, 0.00209379, -2.99154e-06, 0.00186094, -2.77186e-06, 0.0016467, -2.54931e-06, 0.00144892, -2.32421e-06, 0.00126564, -2.09687e-06, 0.00109501, -1.86759e-06, 0.000935328, -1.63668e-06, 0.000785003, -1.40444e-06, 0.000642527, -1.17117e-06, 0.000506477, -9.37179e-07, 0.000375491, -7.02764e-07, 0.000248261, -4.68228e-07, 0.000123513, -2.33877e-07
