pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.399961, 1.05367e-05, -2.74817e-05, -7.46172e-05, 2.01852e-11, -7.46173e-05, 2.01852e-11, 3.92458e-05, 1.05367e-05, -2.74817e-05, -0.4, 0, 0, 1e-10, 0, -7.46173e-05, 2.01852e-11, -6.75143e-05, 7.49561e-08, -6.10864e-05, 2.91693e-07, -5.52695e-05, 6.38526e-07, -5.00052e-05, 1.10422e-06, -4.52409e-05, 1.6781e-06, -4.09291e-05, 2.35002e-06, -3.70265e-05, 3.11023e-06, -3.34942e-05, 3.94926e-06, -3.02969e-05, 4.85763e-06, -2.74026e-05, 5.82565e-06, -2.47822e-05, 6.84301e-06, -2.24097e-05, 7.83641e-06, -2.02613e-05, 8.65256e-06, -1.83155e-05, 9.2912e-06, -1.65528e-05, 9.75929e-06, -1.49557e-05, 1.00644e-05, -1.35082e-05, 1.02149e-05, -1.21957e-05, 1.02205e-05, -1.10052e-05, 1.00919e-05, -9.92468e-06, 9.84117e-06, -8.94345e-06, 9.48122e-06, -8.05166e-06, 9.02597e-06, -7.24038e-06, 8.49839e-06, -6.50151e-06, 7.95832e-06, -5.82765e-06, 7.41611e-06, -5.21207e-06, 6.87323e-06, -4.64861e-06, 6.33113e-06, -4.13164e-06, 5.79127e-06, -3.65598e-06, 5.25507e-06, -3.21688e-06, 4.72394e-06, -2.80996e-06, 4.1993e-06, -2.43113e-06, 3.68254e-06, -2.07661e-06, 3.17506e-06, -1.74286e-06, 2.67826e-06, -1.42653e-06, 2.19353e-06, -1.12448e-06, 1.72227e-06, -8.33663e-07, 1.26587e-06, -5.51187e-07, 8.25749e-07, -2.74222e-07, 4.03438e-07
-0.399961, 1.05367e-05, -2.74817e-05, 0.00196372, 7.78794e-08, -1.20052e-05, 7.78794e-08, 6.31425e-06, 1.05367e-05, -2.74817e-05, -0.399967, 0, 0, 0.00197572, 0, -1.20052e-05, 7.78794e-08, -1.08624e-05, 3.03277e-07, -9.82818e-06, 6.64553e-07, -8.89229e-06, 1.15041e-06, -8.04532e-06, 1.7501e-06, -7.2788e-06, 2.45335e-06, -6.58507e-06, 3.25029e-06, -5.95719e-06, 4.13122e-06, -5.38888e-06, 5.0864e-06, -4.87446e-06, 6.10579e-06, -4.40879e-06, 7.17869e-06, -3.98721e-06, 8.22823e-06, -3.60549e-06, 9.09341e-06, -3.25983e-06, 9.77373e-06, -2.94678e-06, 1.02763e-05, -2.66318e-06, 1.06089e-05, -2.40622e-06, 1.07803e-05, -2.17332e-06, 1.08004e-05, -1.96216e-06, 1.06805e-05, -1.77062e-06, 1.04327e-05, -1.59678e-06, 1.00706e-05, -1.43891e-06, 9.60841e-06, -1.29543e-06, 9.07003e-06, -1.1649e-06, 8.51885e-06, -1.04603e-06, 7.96578e-06, -9.3761e-07, 7.41225e-06, -8.38569e-07, 6.8597e-06, -7.47914e-07, 6.30953e-06, -6.64738e-07, 5.76315e-06, -5.8821e-07, 5.22194e-06, -5.17564e-07, 4.68727e-06, -4.52093e-07, 4.16051e-06, -3.91143e-07, 3.64303e-06, -3.34105e-07, 3.13616e-06, -2.80408e-07, 2.64129e-06, -2.29515e-07, 2.15975e-06, -1.80917e-07, 1.69291e-06, -1.34128e-07, 1.24214e-06, -8.86803e-08, 8.08813e-07, -4.41196e-08, 3.94424e-07
-0.399961, 1.05367e-05, -2.74817e-05, 0.00832912, 3.15207e-07, 0.000426223, 3.15207e-07, -0.000224177, 1.05367e-05, -2.74817e-05, -0.399737, 0, 0, 0.0079029, 0, 0.000426223, 3.15207e-07, 0.00038565, 6.91194e-07, 0.000348933, 1.19768e-06, 0.000315706, 1.82377e-06, 0.000285636, 2.55909e-06, 0.000258422, 3.39358e-06, 0.000233792, 4.31735e-06, 0.0002115, 5.32037e-06, 0.000191323, 6.39225e-06, 0.00017306, 7.52187e-06, 0.000156527, 8.62871e-06, 0.000141559, 9.5439e-06, 0.000128007, 1.02667e-05, 0.000115735, 1.08043e-05, 0.00010462, 1.11648e-05, 9.45519e-05, 1.13573e-05, 8.54289e-05, 1.13921e-05, 7.71603e-05, 1.12806e-05, 6.96632e-05, 1.10357e-05, 6.28628e-05, 1.06711e-05, 5.6691e-05, 1.02015e-05, 5.10861e-05, 9.65186e-06, 4.59921e-05, 9.08909e-06, 4.13579e-05, 8.52467e-06, 3.71374e-05, 7.96002e-06, 3.32883e-05, 7.39653e-06, 2.9772e-05, 6.8356e-06, 2.65534e-05, 6.27859e-06, 2.36004e-05, 5.72684e-06, 2.08834e-05, 5.1817e-06, 1.83752e-05, 4.6445e-06, 1.60508e-05, 4.11656e-06, 1.38869e-05, 3.59921e-06, 1.18618e-05, 3.09376e-06, 9.95541e-06, 2.60153e-06, 8.14854e-06, 2.12384e-06, 6.42314e-06, 1.66201e-06, 4.76199e-06, 1.21737e-06, 3.14845e-06, 7.91254e-07, 1.56639e-06, 3.85135e-07
-0.399961, 1.05367e-05, -2.74817e-05, 0.0193973, 7.18299e-07, 0.0016158, 7.18299e-07, -0.000849847, 1.05367e-05, -2.74817e-05, -0.399111, 0, 0, 0.0177815, 0, 0.0016158, 7.18299e-07, 0.00146199, 1.24555e-06, 0.00132279, 1.89837e-06, 0.00119683, 2.66614e-06, 0.00108283, 3.53865e-06, 0.000979667, 4.50579e-06, 0.000886297, 5.55725e-06, 0.000801789, 6.68229e-06, 0.0007253, 7.86934e-06, 0.000656063, 9.03425e-06, 0.000593387, 1.00001e-05, 0.000536646, 1.07659e-05, 0.00048527, 1.13391e-05, 0.000438747, 1.1728e-05, 0.000396612, 1.19419e-05, 0.000358443, 1.19915e-05, 0.000323858, 1.18887e-05, 0.000292512, 1.16467e-05, 0.000264091, 1.12796e-05, 0.000238311, 1.08025e-05, 0.000214913, 1.02414e-05, 0.000193666, 9.66689e-06, 0.000174354, 9.09093e-06, 0.000156787, 8.51496e-06, 0.000140787, 7.94033e-06, 0.000126195, 7.36841e-06, 0.000112865, 6.80053e-06, 0.000100663, 6.23801e-06, 8.94684e-05, 5.68215e-06, 7.91683e-05, 5.13426e-06, 6.96599e-05, 4.59561e-06, 6.08481e-05, 4.0675e-06, 5.26447e-05, 3.55121e-06, 4.49678e-05, 3.048e-06, 3.77406e-05, 2.55916e-06, 3.08908e-05, 2.08597e-06, 2.43499e-05, 1.62971e-06, 1.80525e-05, 1.19168e-06, 1.19356e-05, 7.73176e-07, 5.93813e-06, 3.75631e-07
-0.399953, 1.42065e-05, -3.70185e-05, 0.0355289, 1.74148e-06, 0.00391729, 1.74148e-06, -0.00206035, 1.42065e-05, -3.70185e-05, -0.397893, 0, 0, 0.0316116, 0, 0.00391729, 1.74148e-06, 0.0035444, 2.65603e-06, 0.00320695, 3.73328e-06, 0.00290156, 4.95905e-06, 0.00262519, 6.31942e-06, 0.00237508, 7.80019e-06, 0.00214871, 9.38645e-06, 0.00194384, 1.10621e-05, 0.0017584, 1.27089e-05, 0.00159054, 1.4078e-05, 0.00143859, 1.51676e-05, 0.00130103, 1.5988e-05, 0.00117648, 1.65506e-05, 0.00106369, 1.68684e-05, 0.000961535, 1.69561e-05, 0.000868999, 1.68303e-05, 0.000785153, 1.65092e-05, 0.000709158, 1.60124e-05, 0.000640254, 1.53608e-05, 0.000577754, 1.45905e-05, 0.00052103, 1.38015e-05, 0.000469517, 1.30109e-05, 0.0004227, 1.22205e-05, 0.000380109, 1.14321e-05, 0.000341319, 1.06475e-05, 0.000305943, 9.86835e-06, 0.000273626, 9.09651e-06, 0.000244045, 8.33365e-06, 0.000216905, 7.58149e-06, 0.000191933, 6.84171e-06, 0.000168882, 6.11598e-06, 0.000147518, 5.40598e-06, 0.00012763, 4.71338e-06, 0.000109019, 4.03984e-06, 9.14973e-05, 3.38704e-06, 7.48909e-05, 2.75664e-06, 5.90333e-05, 2.15033e-06, 4.3766e-05, 1.5698e-06, 2.89365e-05, 1.01676e-06, 1.43963e-05, 4.93075e-07
-0.399953, 1.42065e-05, -3.70185e-05, 0.0571294, 2.75568e-06, 0.00773629, 2.75568e-06, -0.00406899, 1.42065e-05, -3.70185e-05, -0.395884, 0, 0, 0.0493931, 0, 0.00773629, 2.75568e-06, 0.00699986, 3.87584e-06, 0.00633342, 5.1523e-06, 0.00573032, 6.57056e-06, 0.00518452, 8.11607e-06, 0.00469056, 9.7735e-06, 0.00424351, 1.15262e-05, 0.0038389, 1.32512e-05, 0.00347267, 1.46889e-05, 0.00314117, 1.5837e-05, 0.00284109, 1.67061e-05, 0.00256941, 1.73079e-05, 0.00232343, 1.76558e-05, 0.00210068, 1.77648e-05, 0.00189894, 1.76521e-05, 0.00171619, 1.73361e-05, 0.0015506, 1.68373e-05, 0.00140052, 1.61768e-05, 0.00126444, 1.53921e-05, 0.00114101, 1.45882e-05, 0.00102899, 1.37829e-05, 0.000927254, 1.29779e-05, 0.000834793, 1.21751e-05, 0.00075068, 1.13762e-05, 0.000674074, 1.05829e-05, 0.000604209, 9.79696e-06, 0.000540386, 9.01997e-06, 0.000481966, 8.25363e-06, 0.000428367, 7.49958e-06, 0.000379051, 6.75944e-06, 0.000333525, 6.03484e-06, 0.000291335, 5.3274e-06, 0.000252058, 4.63872e-06, 0.000215302, 3.97043e-06, 0.000180699, 3.32414e-06, 0.000147903, 2.70148e-06, 0.000116585, 2.10407e-06, 8.64339e-05, 1.53355e-06, 5.71468e-05, 9.91586e-07, 2.84313e-05, 4.8e-07
-0.399874, 5.04653e-05, -0.000131432, 0.0844105, 1.42513e-05, 0.0132844, 1.42513e-05, -0.00698711, 5.04653e-05, -0.000131432, -0.392887, 0, 0, 0.0711261, 0, 0.0132844, 1.42513e-05, 0.0120199, 1.89559e-05, 0.0108755, 2.41905e-05, 0.00983986, 2.99008e-05, 0.00890264, 3.60312e-05, 0.00805444, 4.25212e-05, 0.00728678, 4.89173e-05, 0.00659199, 5.42611e-05, 0.00596313, 5.85437e-05, 0.00539389, 6.18025e-05, 0.0048786, 6.40801e-05, 0.00441209, 6.54248e-05, 0.0039897, 6.58917e-05, 0.00360721, 6.55424e-05, 0.00326079, 6.44448e-05, 0.00294698, 6.26719e-05, 0.00266263, 6.03013e-05, 0.00240492, 5.74699e-05, 0.00217125, 5.45681e-05, 0.0019593, 5.16617e-05, 0.00176693, 4.87569e-05, 0.00159224, 4.58599e-05, 0.00143347, 4.29769e-05, 0.00128904, 4.01137e-05, 0.00115749, 3.72764e-05, 0.00103752, 3.44706e-05, 0.000927928, 3.17021e-05, 0.000827613, 2.89767e-05, 0.000735574, 2.62998e-05, 0.00065089, 2.36772e-05, 0.000572716, 2.11144e-05, 0.000500269, 1.86169e-05, 0.000432824, 1.61903e-05, 0.000369708, 1.38402e-05, 0.000310288, 1.1572e-05, 0.000253972, 9.39138e-06, 0.000200195, 7.30395e-06, 0.000148421, 5.31537e-06, 9.81302e-05, 3.43134e-06, 4.8821e-05, 1.65816e-06
-0.399608, 8.16181e-05, -0.000221554, 0.117539, 3.39822e-05, 0.0207287, 3.39822e-05, -0.0109025, 8.16181e-05, -0.000221554, -0.388705, 0, 0, 0.0968105, 0, 0.0207287, 3.39822e-05, 0.0187555, 4.33935e-05, 0.0169698, 5.36688e-05, 0.0153539, 6.47019e-05, 0.0138914, 7.63797e-05, 0.0125679, 8.78831e-05, 0.0113701, 9.74887e-05, 0.010286, 0.00010518, 0.00930471, 0.000111026, 0.00841649, 0.000115107, 0.00761244, 0.000117512, 0.00688451, 0.000118345, 0.00622542, 0.000117718, 0.00562859, 0.000115758, 0.00508805, 0.000112597, 0.00459838, 0.000108375, 0.0041547, 0.00010334, 0.00375257, 9.8191e-05, 0.00338796, 9.30454e-05, 0.00305723, 8.79136e-05, 0.00275708, 8.28056e-05, 0.00248449, 7.77313e-05, 0.00223675, 7.27002e-05, 0.00201138, 6.77221e-05, 0.00180612, 6.28062e-05, 0.00161892, 5.79618e-05, 0.00144791, 5.31981e-05, 0.00129139, 4.85241e-05, 0.00114777, 4.39489e-05, 0.00101563, 3.94813e-05, 0.000893651, 3.51302e-05, 0.000780606, 3.09046e-05, 0.000675368, 2.68134e-05, 0.000576882, 2.28655e-05, 0.000484166, 1.90697e-05, 0.000396291, 1.54351e-05, 0.00031238, 1.19708e-05, 0.000231592, 8.68585e-06, 0.00015312, 5.5895e-06, 7.6179e-05, 2.69201e-06
-0.398862, 3.39759e-05, -0.000132863, 0.156337, 3.22939e-05, 0.0298911, 3.22939e-05, -0.0157216, 3.39759e-05, -0.000132863, -0.38314, 0, 0, 0.126446, 0, 0.0298911, 3.22939e-05, 0.0270457, 3.99506e-05, 0.0244708, 4.81415e-05, 0.0221405, 5.67559e-05, 0.0200317, 6.51622e-05, 0.0181232, 7.20746e-05, 0.0163959, 7.74874e-05, 0.0148326, 8.14655e-05, 0.0134176, 8.4086e-05, 0.0121367, 8.54366e-05, 0.0109773, 8.56151e-05, 0.00992758, 8.47276e-05, 0.00897717, 8.28863e-05, 0.00811653, 8.02079e-05, 0.00733705, 7.68108e-05, 0.00663095, 7.28845e-05, 0.00599115, 6.89277e-05, 0.00541127, 6.50211e-05, 0.0048855, 6.117e-05, 0.00440858, 5.73793e-05, 0.00397575, 5.36541e-05, 0.00358268, 4.99991e-05, 0.00322543, 4.64192e-05, 0.00290044, 4.29189e-05, 0.00260446, 3.95029e-05, 0.00233451, 3.61758e-05, 0.00208792, 3.29421e-05, 0.0018622, 2.98061e-05, 0.0016551, 2.67725e-05, 0.00146456, 2.38457e-05, 0.00128866, 2.10302e-05, 0.00112565, 1.83303e-05, 0.000973891, 1.57507e-05, 0.000831874, 1.32959e-05, 0.000698176, 1.09705e-05, 0.000571459, 8.77911e-06, 0.000450457, 6.72644e-06, 0.000333959, 4.8173e-06, 0.000220801, 3.05653e-06, 0.000109851, 1.44978e-06
-0.397819, 3.43281e-05, -0.000177685, 0.201526, 6.03182e-05, 0.0414928, 6.03182e-05, -0.0218236, 3.43281e-05, -0.000177685, -0.375995, 0, 0, 0.160034, 0, 0.0414928, 6.03182e-05, 0.037543, 7.26872e-05, 0.0339686, 8.56748e-05, 0.0307339, 9.83099e-05, 0.0278066, 0.000108648, 0.0251573, 0.000116682, 0.0227596, 0.000122519, 0.0205895, 0.000126282, 0.0186253, 0.000128117, 0.0168473, 0.000128181, 0.0152379, 0.000126648, 0.0137808, 0.000123695, 0.0124615, 0.000119509, 0.0112668, 0.000114276, 0.0101848, 0.000108285, 0.00920461, 0.000102278, 0.00831649, 9.63741e-05, 0.00751154, 9.05789e-05, 0.0067817, 8.48988e-05, 0.00611968, 7.93394e-05, 0.00551886, 7.39064e-05, 0.00497322, 6.86053e-05, 0.00447732, 6.34416e-05, 0.00402619, 5.84206e-05, 0.00361532, 5.35477e-05, 0.00324061, 4.8828e-05, 0.0028983, 4.42667e-05, 0.00258497, 3.9869e-05, 0.0022975, 3.56401e-05, 0.002033, 3.15852e-05, 0.00178883, 2.77095e-05, 0.00156254, 2.40182e-05, 0.00135189, 2.05167e-05, 0.00115475, 1.72103e-05, 0.000969158, 1.41045e-05, 0.000793259, 1.12047e-05, 0.000625292, 8.5168e-06, 0.000463579, 6.0464e-06, 0.000306501, 3.79944e-06, 0.000152488, 1.7829e-06
