pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.4, 0, 0, -1.12325e-08, 0, -1.13325e-08, 0, 5.96046e-09, 0, 0, -0.4, 0, 0, 1e-10, 0, -1.13325e-08, 0, -1.02537e-08, 0, -9.27751e-09, 0, -8.39406e-09, 0, -7.59454e-09, 0, -6.87097e-09, 0, -6.21611e-09, 0, -5.62341e-09, 0, -5.08694e-09, 0, -4.60135e-09, 0, -4.16177e-09, 0, -3.7638e-09, 0, -3.40348e-09, 0, -3.07719e-09, 0, -2.78167e-09, 0, -2.51397e-09, 0, -2.2714e-09, 0, -2.05155e-09, 0, -1.85222e-09, 0, -1.67141e-09, 0, -1.50731e-09, 0, -1.35829e-09, 0, -1.22285e-09, 0, -1.09963e-09, 0, -9.87418e-10, 0, -8.85076e-10, 0, -7.91584e-10, 0, -7.06009e-10, 0, -6.27493e-10, 0, -5.55253e-10, 0, -4.88565e-10, 0, -4.26762e-10, 0, -3.69228e-10, 0, -3.15385e-10, 0, -2.64697e-10, 0, -2.16655e-10, 0, -1.7078e-10, 0, -1.26613e-10, 0, -8.37116e-11, 0, -4.16475e-11, 0
-0.4, 0, 0, 0.00203832, 0, 6.26008e-05, 0, -3.29256e-05, 0, 0, -0.399967, 0, 0, 0.00197572, 0, 6.26008e-05, 0, 5.66417e-05, 0, 5.1249e-05, 0, 4.63688e-05, 0, 4.19522e-05, 0, 3.79552e-05, 0, 3.43378e-05, 0, 3.10637e-05, 0, 2.81003e-05, 0, 2.54179e-05, 0, 2.29896e-05, 0, 2.07913e-05, 0, 1.88008e-05, 0, 1.69984e-05, 0, 1.53659e-05, 0, 1.38871e-05, 0, 1.25472e-05, 0, 1.13328e-05, 0, 1.02317e-05, 0, 9.23286e-06, 0, 8.32639e-06, 0, 7.50318e-06, 0, 6.755e-06, 0, 6.07438e-06, 0, 5.4545e-06, 0, 4.88916e-06, 0, 4.37271e-06, 0, 3.89999e-06, 0, 3.46627e-06, 0, 3.06722e-06, 0, 2.69883e-06, 0, 2.35744e-06, 0, 2.03961e-06, 0, 1.74219e-06, 0, 1.46218e-06, 0, 1.1968e-06, 0, 9.43389e-07, 0, 6.99409e-07, 0, 4.62423e-07, 0, 2.30061e-07, 0
-0.4, 0, 0, 0.00840373, 0, 0.000500829, 0, -0.000263417, 0, 0, -0.399737, 0, 0, 0.0079029, 0, 0.000500829, 0, 0.000453154, 0, 0.00041001, 0, 0.000370967, 0, 0.000335633, 0, 0.000303656, 0, 0.000274715, 0, 0.000248521, 0, 0.000224812, 0, 0.000203352, 0, 0.000183925, 0, 0.000166338, 0, 0.000150413, 0, 0.000135993, 0, 0.000122933, 0, 0.000111102, 0, 0.000100382, 0, 9.06664e-05, 0, 8.1857e-05, 0, 7.38662e-05, 0, 6.66141e-05, 0, 6.00282e-05, 0, 5.40425e-05, 0, 4.85972e-05, 0, 4.36379e-05, 0, 3.9115e-05, 0, 3.49833e-05, 0, 3.12013e-05, 0, 2.77314e-05, 0, 2.45388e-05, 0, 2.15916e-05, 0, 1.88603e-05, 0, 1.63176e-05, 0, 1.39381e-05, 0, 1.1698e-05, 0, 9.57485e-06, 0, 7.54745e-06, 0, 5.59552e-06, 0, 3.69955e-06, 0, 1.84057e-06, 0
-0.4, 0, 0, 0.0194719, 0, 0.0016904, 0, -0.000889087, 0, 0, -0.399111, 0, 0, 0.0177815, 0, 0.0016904, 0, 0.00152949, 0, 0.00138387, 0, 0.00125209, 0, 0.00113283, 0, 0.0010249, 0, 0.00092722, 0, 0.00083881, 0, 0.000758789, 0, 0.000686356, 0, 0.000620786, 0, 0.000561424, 0, 0.000507676, 0, 0.000459006, 0, 0.000414925, 0, 0.000374993, 0, 0.000338811, 0, 0.000306018, 0, 0.000276285, 0, 0.000249314, 0, 0.000224837, 0, 0.000202608, 0, 0.000182405, 0, 0.000164026, 0, 0.000147287, 0, 0.000132021, 0, 0.000118076, 0, 0.000105311, 0, 9.35994e-05, 0, 8.28237e-05, 0, 7.28763e-05, 0, 6.36576e-05, 0, 5.50755e-05, 0, 4.70441e-05, 0, 3.94832e-05, 0, 3.23171e-05, 0, 2.54742e-05, 0, 1.88861e-05, 0, 1.24868e-05, 0, 6.21231e-06, 0
-0.4, 0, 0, 0.0356184, 0, 0.00400682, 0, -0.00210744, 0, 0, -0.397893, 0, 0, 0.0316116, 0, 0.00400682, 0, 0.00362541, 0, 0.00328024, 0, 0.00296788, 0, 0.00268519, 0, 0.00242936, 0, 0.00219782, 0, 0.00198826, 0, 0.00179859, 0, 0.00162689, 0, 0.00147147, 0, 0.00133076, 0, 0.00120336, 0, 0.001088, 0, 0.000983512, 0, 0.00088886, 0, 0.000803098, 0, 0.000725366, 0, 0.000654888, 0, 0.000590958, 0, 0.000532939, 0, 0.000480248, 0, 0.000432361, 0, 0.000388796, 0, 0.00034912, 0, 0.000312935, 0, 0.00027988, 0, 0.000249623, 0, 0.000221862, 0, 0.00019632, 0, 0.000172741, 0, 0.00015089, 0, 0.000130547, 0, 0.00011151, 0, 9.35885e-05, 0, 7.66025e-05, 0, 6.03825e-05, 0, 4.47663e-05, 0, 2.95978e-05, 0, 1.47253e-05, 0
-0.4, 0, 0, 0.0572189, 0, 0.00782582, 0, -0.00411608, 0, 0, -0.395884, 0, 0, 0.0493931, 0, 0.00782582, 0, 0.00708087, 0, 0.00640672, 0, 0.00579663, 0, 0.00524452, 0, 0.00474484, 0, 0.00429262, 0, 0.00388332, 0, 0.00351286, 0, 0.00317753, 0, 0.00287397, 0, 0.00259915, 0, 0.00235032, 0, 0.00212499, 0, 0.00192092, 0, 0.00173605, 0, 0.00156855, 0, 0.00141673, 0, 0.00127908, 0, 0.00115421, 0, 0.0010409, 0, 0.000937985, 0, 0.000844454, 0, 0.000759368, 0, 0.000681875, 0, 0.000611201, 0, 0.00054664, 0, 0.000487544, 0, 0.000433324, 0, 0.000383438, 0, 0.000337385, 0, 0.000294707, 0, 0.000254975, 0, 0.000217794, 0, 0.00018279, 0, 0.000149614, 0, 0.000117935, 0, 8.74342e-05, 0, 5.78082e-05, 0, 2.87603e-05, 0
-0.4, 0, 0, 0.0846491, 0, 0.0135231, 0, -0.00711262, 0, 0, -0.392887, 0, 0, 0.0711261, 0, 0.0135231, 0, 0.0122358, 0, 0.0110708, 0, 0.0100166, 0, 0.00906256, 0, 0.00819912, 0, 0.00741768, 0, 0.00671041, 0, 0.00607025, 0, 0.00549079, 0, 0.00496623, 0, 0.00449134, 0, 0.00406137, 0, 0.003672, 0, 0.00331936, 0, 0.00299991, 0, 0.00271046, 0, 0.00244812, 0, 0.00221025, 0, 0.00199449, 0, 0.00179867, 0, 0.00162084, 0, 0.00145922, 0, 0.00131219, 0, 0.00117828, 0, 0.00105616, 0, 0.000944597, 0, 0.000842479, 0, 0.000748787, 0, 0.000662582, 0, 0.000583004, 0, 0.000509255, 0, 0.000440599, 0, 0.000376349, 0, 0.000315862, 0, 0.000258534, 0, 0.000203792, 0, 0.000151087, 0, 9.98929e-05, 0, 4.9698e-05, 0
-0.399976, 3.54138e-06, -1.03156e-05, 0.11824, 1.65261e-06, 0.0214294, 1.65261e-06, -0.011271, 3.54138e-06, -1.03156e-05, -0.388705, 0, 0, 0.0968105, 0, 0.0214294, 1.65261e-06, 0.0193895, 2.11056e-06, 0.0175435, 2.61017e-06, 0.0158729, 3.14591e-06, 0.014361, 3.71188e-06, 0.0129928, 4.26785e-06, 0.0117544, 4.72999e-06, 0.0106337, 5.09766e-06, 0.00961923, 5.37445e-06, 0.00870099, 5.56456e-06, 0.00786976, 5.67275e-06, 0.00711722, 5.7044e-06, 0.00643586, 5.66545e-06, 0.00581885, 5.5623e-06, 0.00526004, 5.40178e-06, 0.00475382, 5.19097e-06, 0.00429514, 4.94197e-06, 0.00387942, 4.68838e-06, 0.00350248, 4.43579e-06, 0.00316058, 4.18465e-06, 0.00285027, 3.93542e-06, 0.00256847, 3.68855e-06, 0.00231236, 3.44446e-06, 0.00207937, 3.2036e-06, 0.00186717, 2.96638e-06, 0.00167365, 2.73322e-06, 0.00149686, 2.50453e-06, 0.00133504, 2.28072e-06, 0.00118657, 2.06221e-06, 0.00104996, 1.84938e-06, 0.000923859, 1.64265e-06, 0.000806993, 1.44242e-06, 0.000698197, 1.24909e-06, 0.000596382, 1.06307e-06, 0.000500532, 8.84759e-07, 0.000409687, 7.14568e-07, 0.000322939, 5.52909e-07, 0.00023942, 4.00199e-07, 0.000158296, 2.5686e-07, 7.8754e-05, 1.23363e-07
-0.399514, 8.53623e-05, -0.000243489, 0.157576, 5.07993e-05, 0.0311298, 5.07993e-05, -0.0163731, 8.53623e-05, -0.000243489, -0.38314, 0, 0, 0.126446, 0, 0.0311298, 5.07993e-05, 0.0281665, 6.28574e-05, 0.0254848, 7.58104e-05, 0.023058, 8.95167e-05, 0.0208618, 0.000103011, 0.0188742, 0.000114272, 0.0170753, 0.000123278, 0.0154472, 0.000130115, 0.0139736, 0.000134877, 0.0126397, 0.000137676, 0.0114321, 0.000138635, 0.010339, 0.000137892, 0.00934917, 0.000135597, 0.00845286, 0.000131909, 0.00764109, 0.000126993, 0.00690573, 0.000121139, 0.00623942, 0.000115167, 0.00563551, 0.000109212, 0.00508795, 0.000103285, 0.00459127, 9.73966e-05, 0.0041405, 9.15577e-05, 0.00373114, 8.57783e-05, 0.00335909, 8.00683e-05, 0.00302063, 7.44377e-05, 0.00271238, 6.88961e-05, 0.00243125, 6.3453e-05, 0.00217444, 5.81181e-05, 0.00193937, 5.29006e-05, 0.00172369, 4.78099e-05, 0.00152525, 4.28553e-05, 0.00134206, 3.8046e-05, 0.00117229, 3.33912e-05, 0.00101425, 2.89003e-05, 0.000866346, 2.45825e-05, 0.000727107, 2.04472e-05, 0.00059514, 1.65038e-05, 0.000469123, 1.27617e-05, 0.000347798, 9.23049e-06, 0.000229951, 5.91993e-06, 0.000114404, 2.84081e-06
-0.398737, 0.000171305, -0.000509564, 0.203272, 0.000138957, 0.0432383, 0.000138957, -0.0227417, 0.000171305, -0.000509564, -0.375995, 0, 0, 0.160034, 0, 0.0432383, 0.000138957, 0.0391223, 0.000167652, 0.0353976, 0.000198028, 0.0320268, 0.000227935, 0.0289763, 0.000252894, 0.0262156, 0.000272861, 0.0237171, 0.000288022, 0.0214557, 0.000298594, 0.0194088, 0.000304825, 0.0175561, 0.000306994, 0.0158789, 0.000305412, 0.0143605, 0.000300412, 0.0129857, 0.000292349, 0.0117408, 0.00028159, 0.0106132, 0.000268775, 0.00959183, 0.000255718, 0.00866635, 0.000242719, 0.00782753, 0.000229798, 0.00706699, 0.000216979, 0.00637712, 0.000204281, 0.00575102, 0.000191726, 0.00518244, 0.000179334, 0.00466567, 0.000167124, 0.00419556, 0.000155116, 0.00376741, 0.000143329, 0.00337693, 0.000131782, 0.00302022, 0.000120494, 0.00269372, 0.000109483, 0.00239415, 9.87681e-05, 0.00211852, 8.83673e-05, 0.00186408, 7.8299e-05, 0.00162828, 6.85817e-05, 0.00140876, 5.92338e-05, 0.00120333, 5.02737e-05, 0.00100993, 4.17201e-05, 0.00082663, 3.35917e-05, 0.000651597, 2.59076e-05, 0.00048308, 1.86867e-05, 0.000319395, 1.19487e-05, 0.000158903, 5.71526e-06
