pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.399922, 3.68471e-05, -9.51926e-05, 0.706845, 3.91034e-13, 0.706845, 3.91034e-13, -0.399922, 3.68471e-05, -9.51926e-05, 0, 0, 0, 0.706845, 3.91034e-13, 0.704895, 1.58812e-06, 0.699009, 6.07685e-06, 0.689007, 1.30696e-05, 0.675253, 2.22013e-05, 0.657573, 3.31474e-05, 0.635569, 4.56309e-05, 0.610204, 5.94265e-05, 0.580313, 7.43651e-05, 0.547197, 9.01495e-05, 0.403258, 0.000103652, 0.294254, 0.000114036, 0.214792, 0.000121586, 0.156763, 0.000126537, 0.114409, 0.000129094, 0.0835006, 0.000129439, 0.060943, 0.00012774, 0.0444792, 0.000124159, 0.032463, 0.000119122, 0.023693, 0.000113917, 0.0172922, 0.000108694, 0.0126206, 0.000103454, 0.00921106, 9.81978e-05, 0.00672259, 9.29262e-05, 0.00490637, 8.76392e-05, 0.00358077, 8.23368e-05, 0.00261323, 7.70183e-05, 0.00190701, 7.1683e-05, 0.00139149, 6.63299e-05, 0.00101511, 6.09577e-05, 0.000740239, 5.55648e-05, 0.000539388, 5.01494e-05, 0.000392474, 4.47094e-05, 0.000284807, 3.92427e-05, 0.000205619, 3.37468e-05, 0.000146993, 2.82191e-05, 0.000103064, 2.26568e-05, 6.94445e-05, 1.70569e-05, 4.27639e-05, 1.14163e-05, 2.03663e-05, 5.73179e-06
-0.399914, 4.04942e-05, -0.000104729, 0.00168719, 1.75738e-06, -0.000288535, 1.75738e-06, 5.34014e-05, 4.04942e-05, -0.000104729, -0.399967, 0, 0, -0.000288535, 1.75738e-06, -0.000210585, 6.72659e-06, -0.000153694, 1.44713e-05, -0.000112173, 2.45903e-05, -8.18686e-05, 3.67274e-05, -5.97512e-05, 5.05788e-05, -4.3609e-05, 6.58989e-05, -3.18277e-05, 8.2504e-05, -2.32293e-05, 0.000100069, -1.69537e-05, 0.000115126, -1.23736e-05, 0.000126743, -9.03079e-06, 0.000135233, -6.59108e-06, 0.000140854, -4.81047e-06, 0.000143831, -3.51091e-06, 0.000144361, -2.56243e-06, 0.000142626, -1.87019e-06, 0.000138802, -1.36495e-06, 0.000133359, -9.96213e-07, 0.000127733, -7.27088e-07, 0.000122093, -5.30666e-07, 0.00011644, -3.87308e-07, 0.000110775, -2.82677e-07, 0.000105098, -2.06312e-07, 9.94117e-05, -1.50575e-07, 9.37143e-05, -1.09894e-07, 8.80059e-05, -8.02017e-08, 8.22859e-05, -5.85284e-08, 7.65534e-05, -4.27071e-08, 7.08071e-05, -3.11559e-08, 6.50455e-05, -2.27199e-08, 5.92669e-05, -1.65555e-08, 5.34692e-05, -1.20465e-08, 4.76503e-05, -8.74189e-09, 4.18076e-05, -6.31138e-09, 3.59386e-05, -4.51192e-09, 3.00403e-05, -3.1636e-09, 2.41098e-05, -2.13164e-09, 1.8144e-05, -1.3129e-09, 1.21394e-05, -6.25679e-10, 6.09255e-06
-0.399914, 4.04942e-05, -0.000104729, 0.00885973, 6.75383e-06, 0.000956839, 6.75383e-06, -0.00017709, 4.04942e-05, -0.000104729, -0.399737, 0, 0, 0.000956839, 6.75383e-06, 0.000698343, 1.45331e-05, 0.000509681, 2.47011e-05, 0.000371988, 3.69029e-05, 0.000271493, 5.08365e-05, 0.000198147, 6.62586e-05, 0.000144616, 8.29894e-05, 0.000105547, 0.000100707, 7.70329e-05, 0.000115924, 5.6222e-05, 0.000127703, 4.10333e-05, 0.000136355, 2.99479e-05, 0.000142137, 2.18573e-05, 0.00014527, 1.59525e-05, 0.000145949, 1.16429e-05, 0.000144353, 8.49753e-06, 0.000140653, 6.20191e-06, 0.000135319, 4.52646e-06, 0.000129803, 3.30364e-06, 0.000124277, 2.41117e-06, 0.000118742, 1.7598e-06, 0.000113199, 1.28439e-06, 0.000107651, 9.37414e-07, 0.000102097, 6.8417e-07, 9.65366e-05, 4.99337e-07, 9.09709e-05, 3.64432e-07, 8.53992e-05, 2.65965e-07, 7.98206e-05, 1.94092e-07, 7.42341e-05, 1.41625e-07, 6.86385e-05, 1.03319e-07, 6.30321e-05, 7.53437e-08, 5.74133e-05, 5.49014e-08, 5.178e-05, 3.99485e-08, 4.61299e-05, 2.89899e-08, 4.04606e-05, 2.09298e-08, 3.47697e-05, 1.49624e-08, 2.90541e-05, 1.04911e-08, 2.33111e-05, 7.06893e-09, 1.75374e-05, 4.35383e-09, 1.173e-05, 2.07488e-09, 5.88531e-06
-0.399914, 4.04942e-05, -0.000104729, 0.0221189, 1.45803e-05, 0.00433741, 1.45803e-05, -0.00080276, 4.04942e-05, -0.000104729, -0.399111, 0, 0, 0.00433741, 1.45803e-05, 0.00316564, 2.47864e-05, 0.00231042, 3.70387e-05, 0.00168625, 5.10372e-05, 0.00123069, 6.65414e-05, 0.000898214, 8.33753e-05, 0.000655555, 0.000101221, 0.000478452, 0.000116577, 0.000349195, 0.000128499, 0.000254858, 0.000137297, 0.000186007, 0.000143227, 0.000135756, 0.000146507, 9.90808e-05, 0.000147329, 7.23137e-05, 0.000145868, 5.27779e-05, 0.000142289, 3.85199e-05, 0.000137062, 2.81137e-05, 0.000131656, 2.05188e-05, 0.000126242, 1.49756e-05, 0.000120823, 1.093e-05, 0.0001154, 7.97727e-06, 0.000109975, 5.82223e-06, 0.000104548, 4.24936e-06, 9.91201e-05, 3.10139e-06, 9.36908e-05, 2.26353e-06, 8.82601e-05, 1.65199e-06, 8.28274e-05, 1.20564e-06, 7.7392e-05, 8.79831e-07, 7.19528e-05, 6.41997e-07, 6.65083e-05, 4.68353e-07, 6.10572e-05, 3.41538e-07, 5.55975e-05, 2.48872e-07, 5.01272e-05, 1.81089e-07, 4.46442e-05, 1.31413e-07, 3.91461e-05, 9.48762e-08, 3.36302e-05, 6.78257e-08, 2.80938e-05, 4.75571e-08, 2.25342e-05, 3.20439e-08, 1.69482e-05, 1.97362e-08, 1.13327e-05, 9.40555e-09, 5.68438e-06
-0.399545, -2.59374e-05, 5.07201e-05, 0.0405393, -9.08317e-06, 0.00892769, -9.08317e-06, -0.00165232, -2.59374e-05, 5.07201e-05, -0.397893, 0, 0, 0.00892769, -9.08317e-06, 0.00651582, -1.34448e-05, 0.00475553, -1.83885e-05, 0.0034708, -2.3865e-05, 0.00253314, -2.98758e-05, 0.00184879, -3.63985e-05, 0.00134933, -4.2244e-05, 0.000984798, -4.7089e-05, 0.000718748, -5.10237e-05, 0.000524573, -5.40937e-05, 0.000382857, -5.63144e-05, 0.000279426, -5.76835e-05, 0.000203938, -5.81901e-05, 0.000148843, -5.78233e-05, 0.000108633, -5.67094e-05, 7.92854e-05, -5.54314e-05, 5.78663e-05, -5.40629e-05, 4.22337e-05, -5.2608e-05, 3.08243e-05, -5.10704e-05, 2.24972e-05, -4.94534e-05, 1.64196e-05, -4.77601e-05, 1.19839e-05, -4.5993e-05, 8.74645e-06, -4.41547e-05, 6.38359e-06, -4.22471e-05, 4.65901e-06, -4.02721e-05, 3.40029e-06, -3.82313e-05, 2.48156e-06, -3.61258e-05, 1.81095e-06, -3.39566e-05, 1.32142e-06, -3.17246e-05, 9.6401e-07, -2.94302e-05, 7.02987e-07, -2.70737e-05, 5.12252e-07, -2.46551e-05, 3.72736e-07, -2.21743e-05, 2.70487e-07, -1.96308e-05, 1.95283e-07, -1.70241e-05, 1.39606e-07, -1.43535e-05, 9.78866e-08, -1.16179e-05, 6.5956e-08, -8.81614e-06, 4.0623e-08, -5.94694e-06, 1.93594e-08, -3.00876e-06
-0.398195, -0.000268175, 0.000615646, 0.0618795, -0.000196097, 0.0124864, -0.000196097, -0.00231096, -0.000268175, 0.000615646, -0.395884, 0, 0, 0.0124864, -0.000196097, 0.00911315, -0.000269617, 0.00665117, -0.000351119, 0.00485432, -0.000440037, 0.00354289, -0.000535195, 0.00258575, -0.000618463, 0.00188719, -0.000684927, 0.00137736, -0.0007361, 0.00100525, -0.00077308, 0.000733678, -0.000796676, 0.00053547, -0.00080751, 0.00039081, -0.000806099, 0.000285231, -0.000792924, 0.000208175, -0.000770225, 0.000151936, -0.000746097, 0.00011089, -0.000721523, 8.09329e-05, -0.000696531, 5.90689e-05, -0.000671148, 4.31114e-05, -0.000645395, 3.1465e-05, -0.000619293, 2.29648e-05, -0.000592858, 1.67609e-05, -0.000566104, 1.22329e-05, -0.000539044, 8.9282e-06, -0.000511686, 6.51618e-06, -0.000484036, 4.75571e-06, -0.0004561, 3.47076e-06, -0.000427881, 2.53283e-06, -0.000399377, 1.84816e-06, -0.000370589, 1.34828e-06, -0.000341512, 9.8321e-07, -0.000312141, 7.16445e-07, -0.00028247, 5.21315e-07, -0.000252489, 3.78308e-07, -0.000222189, 2.73127e-07, -0.000191557, 1.95255e-07, -0.000160582, 1.36906e-07, -0.000129248, 9.22472e-08, -9.75408e-05, 5.6816e-08, -6.54424e-05, 2.70765e-08, -3.29351e-05
-0.395998, -0.000405632, 0.000889204, 0.0879331, -0.000367969, 0.016807, -0.000367969, -0.00311061, -0.000405632, 0.000889204, -0.392887, 0, 0, 0.016807, -0.000367969, 0.0122665, -0.000478844, 0.00895264, -0.000600099, 0.00653403, -0.000730522, 0.00476882, -0.000845659, 0.00348049, -0.00093887, 0.00254021, -0.00101214, 0.00185395, -0.00106677, 0.0013531, -0.00110362, 0.000987548, -0.00112324, 0.000720756, -0.00112603, 0.00052604, -0.00111235, 0.000383928, -0.00108506, 0.000280208, -0.00105546, 0.000204509, -0.00102496, 0.00014926, -0.00099359, 0.000108938, -0.000961412, 7.95081e-05, -0.000928466, 5.8029e-05, -0.000894791, 4.23526e-05, -0.000860422, 3.09111e-05, -0.000825388, 2.25605e-05, -0.000789716, 1.64658e-05, -0.000753428, 1.20176e-05, -0.000716542, 8.77094e-06, -0.000679072, 6.4013e-06, -0.00064103, 4.67172e-06, -0.000602423, 3.40926e-06, -0.000563256, 2.48767e-06, -0.00052353, 1.81482e-06, -0.000483244, 1.32342e-06, -0.000442392, 9.64352e-07, -0.000400968, 7.01702e-07, -0.000358962, 5.09212e-07, -0.000316362, 3.67635e-07, -0.000273153, 2.62818e-07, -0.000229317, 1.84279e-07, -0.000184836, 1.24167e-07, -0.000139688, 7.64758e-08, -9.38496e-05, 3.64455e-08, -4.72962e-05
-0.392247, -0.000473901, 0.000940183, 0.115946, -0.000435749, 0.0191359, -0.000435749, -0.00354163, -0.000473901, 0.000940183, -0.388705, 0, 0, 0.0191359, -0.000435749, 0.0139662, -0.000545793, 0.0101931, -0.000665646, 0.0074394, -0.000773755, 0.0054296, -0.000864253, 0.00396275, -0.000938756, 0.00289219, -0.000998012, 0.00211084, -0.00104218, 0.00154058, -0.00107106, 0.00112439, -0.00108427, 0.000820626, -0.00108142, 0.000598929, -0.0010647, 0.000437126, -0.00104495, 0.000319035, -0.00102356, 0.000232846, -0.00100061, 0.000169942, -0.000976184, 0.000124032, -0.00095035, 9.05249e-05, -0.000923171, 6.60697e-05, -0.000894708, 4.82211e-05, -0.000865011, 3.51942e-05, -0.00083413, 2.56866e-05, -0.000802106, 1.87474e-05, -0.000768976, 1.36828e-05, -0.000734774, 9.98626e-06, -0.000699526, 7.28828e-06, -0.000663255, 5.31905e-06, -0.000625981, 3.88165e-06, -0.000587717, 2.83237e-06, -0.000548475, 2.06629e-06, -0.00050826, 1.5068e-06, -0.000467076, 1.09798e-06, -0.00042492, 7.98932e-07, -0.000381789, 5.7977e-07, -0.000337675, 4.18576e-07, -0.000292566, 2.99234e-07, -0.000246448, 2.09813e-07, -0.000199302, 1.41372e-07, -0.00015111, 8.70724e-08, -0.000101846, 4.14955e-08, -5.14865e-05
-0.388747, -0.000523862, 0.000953387, 0.156739, -0.000461048, 0.030293, -0.000461048, -0.00560656, -0.000523862, 0.000953387, -0.38314, 0, 0, 0.030293, -0.000461048, 0.0221091, -0.000563668, 0.0161362, -0.000658895, 0.0117769, -0.000742009, 0.00859531, -0.000814164, 0.00627323, -0.000875472, 0.00457847, -0.000925341, 0.00334156, -0.000962762, 0.00243882, -0.00098654, 0.00177996, -0.000995495, 0.00129909, -0.00099095, 0.000948134, -0.000982748, 0.000691991, -0.000972205, 0.000505047, -0.000959431, 0.000368607, -0.000944531, 0.000269027, -0.000927603, 0.000196349, -0.000908735, 0.000143305, -0.00088801, 0.000104591, -0.000865504, 7.63362e-05, -0.000841286, 5.57142e-05, -0.000815419, 4.06631e-05, -0.00078796, 2.9678e-05, -0.000758959, 2.16605e-05, -0.000728461, 1.58087e-05, -0.000696506, 1.15377e-05, -0.000663127, 8.42031e-06, -0.000628353, 6.14484e-06, -0.000592207, 4.48377e-06, -0.00055471, 3.27103e-06, -0.000515874, 2.38534e-06, -0.000475708, 1.73815e-06, -0.000434219, 1.26475e-06, -0.000391406, 9.17803e-07, -0.000347265, 6.62626e-07, -0.00030179, 4.73702e-07, -0.000254969, 3.32144e-07, -0.000206786, 2.23798e-07, -0.000157222, 1.3784e-07, -0.000106254, 6.56894e-08, -5.38574e-05
-0.385106, -0.000551542, 0.000908941, 0.208927, -0.000396391, 0.0492185, -0.000396391, -0.00910927, -0.000551542, 0.000908941, -0.375997, 0, 0, 0.0492185, -0.000396391, 0.0359219, -0.00046869, 0.0262174, -0.00053658, 0.0191346, -0.000600586, 0.0139652, -0.000660015, 0.0101924, -0.000713381, 0.00743888, -0.000758731, 0.00542921, -0.000793931, 0.00396247, -0.000816888, 0.00289199, -0.000827759, 0.0021107, -0.000834426, 0.00154048, -0.000838019, 0.00112431, -0.000838679, 0.000820576, -0.000836536, 0.000598895, -0.000831715, 0.000437102, -0.000824332, 0.000319018, -0.000814492, 0.000232835, -0.000802295, 0.000169935, -0.000787833, 0.000124027, -0.000771191, 9.05217e-05, -0.000752445, 6.60674e-05, -0.000731667, 4.82194e-05, -0.000708919, 3.51929e-05, -0.000684259, 2.56852e-05, -0.000657737, 1.87459e-05, -0.000629399, 1.36809e-05, -0.000599284, 9.98383e-06, -0.000567424, 7.28502e-06, -0.000533847, 5.31461e-06, -0.000498575, 3.87558e-06, -0.000461625, 2.82406e-06, -0.000423009, 2.0549e-06, -0.000382732, 1.4912e-06, -0.000340797, 1.0766e-06, -0.0002972, 7.69648e-07, -0.000251935, 5.39651e-07, -0.000204988, 3.63617e-07, -0.000156345, 2.23955e-07, -0.000105982, 1.06729e-07, -5.38783e-05
