pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad]
-0.399984, -2.65873e-07, 1.74846e-07, -3.31244e-05, 1.87169e-15, -3.31245e-05, 1.87169e-15, 1.57014e-05, -2.65873e-07, 1.74846e-07, -0.4, 0, 0, 1e-10, 0, -3.31245e-05, 1.87169e-15, -2.96132e-05, -2.88222e-09, -2.64721e-05, -1.0931e-08, -2.36619e-05, -2.32667e-08, -2.11474e-05, -3.90429e-08, -1.88973e-05, -5.74564e-08, -1.68834e-05, -7.77569e-08, -1.50806e-05, -9.9255e-08, -1.34663e-05, -1.2133e-07, -1.20203e-05, -1.43441e-07, -1.07245e-05, -1.65131e-07, -9.5628e-06, -1.86046e-07, -8.52064e-06, -2.04287e-07, -7.58499e-06, -2.16255e-07, -6.74415e-06, -2.22639e-07, -5.98761e-06, -2.24225e-07, -5.30591e-06, -2.2171e-07, -4.69054e-06, -2.15705e-07, -4.1338e-06, -2.06739e-07, -3.62873e-06, -1.95267e-07, -3.16902e-06, -1.81683e-07, -2.74893e-06, -1.66329e-07, -2.36319e-06, -1.49508e-07, -2.007e-06, -1.31641e-07, -1.67589e-06, -1.13658e-07, -1.36573e-06, -9.55941e-08, -1.07265e-06, -7.73346e-08, -7.92969e-07, -5.87646e-08, -5.23203e-07, -3.97666e-08, -2.59976e-07, -2.02199e-08
-0.399984, -2.65873e-07, 1.74846e-07, 0.00201207, -2.87645e-09, 3.63498e-05, -2.87645e-09, -1.72302e-05, -2.65873e-07, 1.74846e-07, -0.399967, 0, 0, 0.00197572, 0, 3.63498e-05, -2.87645e-09, 3.24967e-05, -1.09081e-08, 2.90497e-05, -2.32163e-08, 2.59658e-05, -3.89565e-08, 2.32065e-05, -5.73293e-08, 2.07374e-05, -7.75903e-08, 1.85274e-05, -9.90587e-08, 1.6549e-05, -1.21126e-07, 1.47775e-05, -1.43265e-07, 1.31907e-05, -1.6504e-07, 1.17687e-05, -1.86121e-07, 1.04939e-05, -2.04634e-07, 9.35029e-06, -2.16987e-07, 8.32353e-06, -2.2387e-07, 7.40082e-06, -2.26064e-07, 6.57061e-06, -2.2426e-07, 5.82254e-06, -2.19059e-07, 5.14725e-06, -2.10981e-07, 4.5363e-06, -2.00467e-07, 3.98206e-06, -1.87897e-07, 3.47759e-06, -1.73596e-07, 3.01659e-06, -1.57848e-07, 2.59329e-06, -1.41063e-07, 2.20242e-06, -1.24218e-07, 1.83907e-06, -1.07364e-07, 1.49871e-06, -9.03932e-08, 1.17709e-06, -7.32007e-08, 8.70179e-07, -5.56777e-08, 5.74146e-07, -3.77133e-08, 2.8529e-07, -1.91933e-08
-0.399984, -2.65873e-07, 1.74846e-07, 0.0084255, -1.08671e-08, 0.000522607, -1.08671e-08, -0.000247721, -2.65873e-07, 1.74846e-07, -0.399737, 0, 0, 0.0079029, 0, 0.000522607, -1.08671e-08, 0.00046721, -2.31251e-08, 0.000417652, -3.87976e-08, 0.000373315, -5.7089e-08, 0.000333644, -7.72606e-08, 0.000298144, -9.864e-08, 0.000266371, -1.2063e-07, 0.000237927, -1.42719e-07, 0.000212458, -1.64492e-07, 0.000189644, -1.8564e-07, 0.000169201, -2.04319e-07, 0.000150873, -2.16957e-07, 0.000134431, -2.24243e-07, 0.000119669, -2.26953e-07, 0.000106403, -2.25771e-07, 9.44668e-05, -2.21288e-07, 8.37116e-05, -2.14011e-07, 7.40029e-05, -2.0437e-07, 6.52192e-05, -1.92727e-07, 5.72507e-05, -1.79392e-07, 4.99978e-05, -1.64632e-07, 4.337e-05, -1.48842e-07, 3.72842e-05, -1.33038e-07, 3.16645e-05, -1.17285e-07, 2.64406e-05, -1.01483e-07, 2.15472e-05, -8.55345e-08, 1.69232e-05, -6.93386e-08, 1.25107e-05, -5.27935e-08, 8.25459e-06, -3.57946e-08, 4.10166e-06, -1.82341e-08
-0.399992, -3.86521e-06, 9.47439e-06, 0.0196406, -1.50738e-06, 0.00185911, -1.50738e-06, -0.000881237, -3.86521e-06, 9.47439e-06, -0.399111, 0, 0, 0.0177815, 0, 0.00185911, -1.50738e-06, 0.00166204, -2.54985e-06, 0.00148574, -3.78202e-06, 0.00132802, -5.15669e-06, 0.0011869, -6.62768e-06, 0.00106061, -8.15032e-06, 0.000947581, -9.68206e-06, 0.000846396, -1.11834e-05, 0.000755792, -1.2619e-05, 0.000674635, -1.38492e-05, 0.000601911, -1.46265e-05, 0.000536711, -1.50002e-05, 0.00047822, -1.50309e-05, 0.000425706, -1.47757e-05, 0.000378514, -1.42876e-05, 0.000336053, -1.36145e-05, 0.000297793, -1.27986e-05, 0.000263256, -1.18767e-05, 0.000232009, -1.088e-05, 0.000203662, -9.83483e-06, 0.000177861, -8.77191e-06, 0.000154283, -7.7529e-06, 0.000132634, -6.78092e-06, 0.000112642, -5.84978e-06, 9.40592e-05, -4.95355e-06, 7.66516e-05, -4.0865e-06, 6.02021e-05, -3.24312e-06, 4.45052e-05, -2.418e-06, 2.93647e-05, -1.6059e-06, 1.45911e-05, -8.01607e-07
-0.399992, -3.86521e-06, 9.47439e-06, 0.036041, -2.56483e-06, 0.00442941, -2.56483e-06, -0.00209959, -3.86521e-06, 9.47439e-06, -0.397893, 0, 0, 0.0316116, 0, 0.00442941, -2.56483e-06, 0.00395988, -3.80543e-06, 0.00353985, -5.19044e-06, 0.00316407, -6.67373e-06, 0.00282783, -8.21068e-06, 0.00252695, -9.75887e-06, 0.00225765, -1.12789e-05, 0.00201658, -1.27357e-05, 0.00180071, -1.39887e-05, 0.00160735, -1.47881e-05, 0.00143408, -1.51833e-05, 0.00127874, -1.5235e-05, 0.00113938, -1.50005e-05, 0.00101426, -1.4533e-05, 0.000901827, -1.38805e-05, 0.000800662, -1.30853e-05, 0.000709506, -1.21844e-05, 0.000627218, -1.12087e-05, 0.000552771, -1.01845e-05, 0.000485234, -9.14272e-06, 0.000423761, -8.14692e-06, 0.000367586, -7.20077e-06, 0.000316006, -6.29825e-06, 0.000268376, -5.4336e-06, 0.0002241, -4.60131e-06, 0.000182626, -3.79607e-06, 0.000143434, -3.01275e-06, 0.000106036, -2.24633e-06, 6.99626e-05, -1.49194e-06, 3.4764e-05, -7.44757e-07
-0.399992, -3.86521e-06, 9.47439e-06, 0.0580601, -3.82599e-06, 0.00866697, -3.82599e-06, -0.00410823, -3.86521e-06, 9.47439e-06, -0.395884, 0, 0, 0.0493931, 0, 0.00866697, -3.82599e-06, 0.00774825, -5.21999e-06, 0.00692638, -6.71394e-06, 0.00619109, -8.26326e-06, 0.00553319, -9.82563e-06, 0.00494445, -1.13618e-05, 0.00441752, -1.28368e-05, 0.00394581, -1.41095e-05, 0.00352342, -1.4928e-05, 0.00314508, -1.53416e-05, 0.00280604, -1.54113e-05, 0.00250209, -1.51946e-05, 0.00222941, -1.47449e-05, 0.0019846, -1.41102e-05, 0.00176459, -1.33331e-05, 0.00156665, -1.24501e-05, 0.00138828, -1.14927e-05, 0.00122727, -1.04866e-05, 0.0010816, -9.46293e-06, 0.00094945, -8.48709e-06, 0.000829168, -7.56313e-06, 0.000719251, -6.68518e-06, 0.000618325, -5.84764e-06, 0.000525127, -5.04516e-06, 0.000438494, -4.27264e-06, 0.000357341, -3.52514e-06, 0.000280656, -2.7979e-06, 0.000207479, -2.08628e-06, 0.000136895, -1.38573e-06, 6.80223e-05, -6.91783e-07
-0.399984, -2.66183e-07, 1.74846e-07, 0.0860981, -7.47458e-08, 0.0149721, -7.47458e-08, -0.00709692, -2.66183e-07, 1.74846e-07, -0.392887, 0, 0, 0.0711261, 0, 0.0149721, -7.47458e-08, 0.013385, -9.53275e-08, 0.0119652, -1.16495e-07, 0.010695, -1.37796e-07, 0.00955851, -1.58888e-07, 0.00854147, -1.79555e-07, 0.00763121, -1.98101e-07, 0.00681633, -2.11119e-07, 0.00608666, -2.19292e-07, 0.00543308, -2.2337e-07, 0.00484741, -2.23997e-07, 0.00432233, -2.21716e-07, 0.00385128, -2.16981e-07, 0.00342837, -2.10161e-07, 0.00304831, -2.01558e-07, 0.00270636, -1.91411e-07, 0.00239824, -1.79919e-07, 0.00212009, -1.67423e-07, 0.00186845, -1.55022e-07, 0.00164016, -1.42817e-07, 0.00143238, -1.30733e-07, 0.0012425, -1.18698e-07, 0.00106815, -1.06637e-07, 0.00090715, -9.44769e-08, 0.000757492, -8.21419e-08, 0.000617303, -6.95553e-08, 0.00048483, -5.66386e-08, 0.000358417, -4.33106e-08, 0.000236484, -2.94873e-08, 0.000117508, -1.5081e-08
-0.399906, -8.51174e-06, 1.78409e-05, 0.120439, -1.25914e-05, 0.023629, -1.25914e-05, -0.0112004, -8.51174e-06, 1.78409e-05, -0.388705, 0, 0, 0.0968105, 0, 0.023629, -1.25914e-05, 0.0211242, -1.54998e-05, 0.0188836, -1.84371e-05, 0.0168789, -2.13321e-05, 0.0150853, -2.41225e-05, 0.0134802, -2.65462e-05, 0.0120436, -2.81301e-05, 0.0107576, -2.89666e-05, 0.00960599, -2.91684e-05, 0.0085745, -2.8842e-05, 0.00765019, -2.80854e-05, 0.00682151, -2.69867e-05, 0.00607809, -2.56236e-05, 0.00541066, -2.40628e-05, 0.00481085, -2.23606e-05, 0.00427118, -2.05639e-05, 0.0037849, -1.87296e-05, 0.00334594, -1.69856e-05, 0.00294879, -1.5341e-05, 0.00258851, -1.37854e-05, 0.00226058, -1.23087e-05, 0.00196091, -1.09018e-05, 0.00168575, -9.55554e-06, 0.00143167, -8.26145e-06, 0.00119548, -7.01129e-06, 0.000974229, -5.7971e-06, 0.000765159, -4.61113e-06, 0.000565654, -3.44584e-06, 0.00037322, -2.29378e-06, 0.000185451, -1.14761e-06
-0.399317, 9.98033e-05, -0.000275437, 0.160574, 0.000247493, 0.0341277, 0.000247493, -0.0161769, 9.98033e-05, -0.000275437, -0.38314, 0, 0, 0.126446, 0, 0.0341277, 0.000247493, 0.0305101, 0.000294609, 0.0272738, 0.00034107, 0.0243785, 0.000385841, 0.0217879, 0.000424689, 0.0194696, 0.000450026, 0.0173947, 0.000463321, 0.0155373, 0.000466388, 0.0138741, 0.00046095, 0.0123843, 0.000448602, 0.0110493, 0.000430785, 0.00985241, 0.000408772, 0.00877868, 0.000383663, 0.00781469, 0.000356384, 0.00694839, 0.000327707, 0.00616894, 0.000298555, 0.0054666, 0.000270969, 0.00483259, 0.000245093, 0.00425899, 0.000220762, 0.00373862, 0.000197822, 0.00326499, 0.000176126, 0.00283218, 0.000155536, 0.00243476, 0.00013592, 0.00206778, 0.000117153, 0.00172664, 9.91164e-05, 0.00140709, 8.16937e-05, 0.00110513, 6.47741e-05, 0.000816983, 4.82496e-05, 0.000539047, 3.20147e-05, 0.00026785, 1.59657e-05
-0.398486, 0.000215807, -0.000598733, 0.207481, 0.000646931, 0.0474476, 0.000646931, -0.0224907, 0.000215807, -0.000598733, -0.375995, 0, 0, 0.160034, 0, 0.0474476, 0.000646931, 0.042418, 0.000749144, 0.0379187, 0.000847732, 0.0338933, 0.000933411, 0.0302916, 0.000989507, 0.0270686, 0.00101924, 0.0241839, 0.00102658, 0.0216015, 0.0010153, 0.0192891, 0.000988906, 0.0172178, 0.000950545, 0.0153618, 0.000903008, 0.0136978, 0.000848698, 0.012205, 0.000789644, 0.0108647, 0.000727525, 0.00966032, 0.000664367, 0.00857665, 0.000604694, 0.00760019, 0.000548839, 0.00671873, 0.000496445, 0.00592126, 0.000447178, 0.0051978, 0.000400725, 0.00453931, 0.000356789, 0.00393757, 0.00031509, 0.00338504, 0.000275362, 0.00287483, 0.000237352, 0.00240055, 0.000200817, 0.00195628, 0.000165524, 0.00153646, 0.000131248, 0.00113585, 9.77697e-05, 0.000749436, 6.48752e-05, 0.000372391, 3.23546e-05
