pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad]
-0.4, 0, 0, -1.24745e-08, 0, -1.25745e-08, 0, 5.96046e-09, 0, 0, -0.4, 0, 0, 1e-10, 0, -1.25745e-08, 0, -1.12416e-08, 0, -1.00492e-08, 0, -8.98239e-09, 0, -8.02787e-09, 0, -7.1737e-09, 0, -6.4092e-09, 0, -5.72481e-09, 0, -5.11199e-09, 0, -4.56306e-09, 0, -4.07117e-09, 0, -3.63018e-09, 0, -3.23456e-09, 0, -2.87937e-09, 0, -2.56017e-09, 0, -2.27298e-09, 0, -2.0142e-09, 0, -1.7806e-09, 0, -1.56925e-09, 0, -1.37752e-09, 0, -1.20301e-09, 0, -1.04353e-09, 0, -8.97102e-10, 0, -7.61885e-10, 0, -6.36192e-10, 0, -5.18452e-10, 0, -4.07192e-10, 0, -3.01022e-10, 0, -1.98615e-10, 0, -9.86908e-11, 0
-0.4, 0, 0, 0.00204519, 0, 6.94618e-05, 0, -3.29256e-05, 0, 0, -0.399967, 0, 0, 0.00197572, 0, 6.94618e-05, 0, 6.20987e-05, 0, 5.55118e-05, 0, 4.96187e-05, 0, 4.4346e-05, 0, 3.96275e-05, 0, 3.54044e-05, 0, 3.16239e-05, 0, 2.82386e-05, 0, 2.52063e-05, 0, 2.24892e-05, 0, 2.00531e-05, 0, 1.78677e-05, 0, 1.59056e-05, 0, 1.41424e-05, 0, 1.25559e-05, 0, 1.11264e-05, 0, 9.83601e-06, 0, 8.66853e-06, 0, 7.60941e-06, 0, 6.64541e-06, 0, 5.76447e-06, 0, 4.95559e-06, 0, 4.20865e-06, 0, 3.51433e-06, 0, 2.86393e-06, 0, 2.24933e-06, 0, 1.66285e-06, 0, 1.09715e-06, 0, 5.45168e-07, 0
-0.4, 0, 0, 0.00845862, 0, 0.000555719, 0, -0.000263417, 0, 0, -0.399737, 0, 0, 0.0079029, 0, 0.000555719, 0, 0.000496812, 0, 0.000444114, 0, 0.000396968, 0, 0.000354784, 0, 0.000317034, 0, 0.000283248, 0, 0.000253002, 0, 0.000225919, 0, 0.00020166, 0, 0.000179921, 0, 0.000160432, 0, 0.000142948, 0, 0.000127251, 0, 0.000113144, 0, 0.000100452, 0, 8.90155e-05, 0, 7.86916e-05, 0, 6.93514e-05, 0, 6.0878e-05, 0, 5.31657e-05, 0, 4.61178e-05, 0, 3.96465e-05, 0, 3.36708e-05, 0, 2.81159e-05, 0, 2.29125e-05, 0, 1.79954e-05, 0, 1.33034e-05, 0, 8.7776e-06, 0, 4.36154e-06, 0
-0.4, 0, 0, 0.0196572, 0, 0.00187567, 0, -0.000889087, 0, 0, -0.399111, 0, 0, 0.0177815, 0, 0.00187567, 0, 0.00167684, 0, 0.00149898, 0, 0.00133985, 0, 0.00119747, 0, 0.00107006, 0, 0.000956021, 0, 0.000853936, 0, 0.000762524, 0, 0.000680644, 0, 0.000607273, 0, 0.000541492, 0, 0.00048248, 0, 0.000429498, 0, 0.000381886, 0, 0.000339047, 0, 0.000300446, 0, 0.000265601, 0, 0.000234075, 0, 0.000205476, 0, 0.000179445, 0, 0.000155657, 0, 0.000133815, 0, 0.000113646, 0, 9.4897e-05, 0, 7.73344e-05, 0, 6.07384e-05, 0, 4.49017e-05, 0, 2.96262e-05, 0, 1.47211e-05, 0
-0.4, 0, 0, 0.0360576, 0, 0.00444597, 0, -0.00210744, 0, 0, -0.397893, 0, 0, 0.0316116, 0, 0.00444597, 0, 0.00397468, 0, 0.00355308, 0, 0.0031759, 0, 0.00283841, 0, 0.0025364, 0, 0.00226609, 0, 0.00202412, 0, 0.00180744, 0, 0.00161336, 0, 0.00143944, 0, 0.00128352, 0, 0.00114364, 0, 0.00101806, 0, 0.000905198, 0, 0.000803656, 0, 0.000712158, 0, 0.000629563, 0, 0.000554838, 0, 0.000487048, 0, 0.000425346, 0, 0.000368961, 0, 0.000317187, 0, 0.000269379, 0, 0.000224938, 0, 0.000183309, 0, 0.000143971, 0, 0.000106432, 0, 7.02242e-05, 0, 3.4894e-05, 0
-0.4, 0, 0, 0.0580766, 0, 0.00868353, 0, -0.00411608, 0, 0, -0.395884, 0, 0, 0.0493931, 0, 0.00868353, 0, 0.00776305, 0, 0.00693961, 0, 0.00620292, 0, 0.00554376, 0, 0.0049539, 0, 0.00442596, 0, 0.00395335, 0, 0.00353015, 0, 0.00315109, 0, 0.00281141, 0, 0.00250687, 0, 0.00223367, 0, 0.00198839, 0, 0.00176796, 0, 0.00156964, 0, 0.00139093, 0, 0.00122962, 0, 0.00108367, 0, 0.000951264, 0, 0.000830753, 0, 0.000720626, 0, 0.000619506, 0, 0.00052613, 0, 0.000439332, 0, 0.000358024, 0, 0.000281192, 0, 0.000207875, 0, 0.000137156, 0, 6.81523e-05, 0
-0.399961, -1.88955e-05, 4.54247e-05, 0.0860485, -2.51193e-05, 0.0149224, -2.51193e-05, -0.00707338, -1.88955e-05, 4.54247e-05, -0.392887, 0, 0, 0.0711261, 0, 0.0149224, -2.51193e-05, 0.0133406, -3.23155e-05, 0.0119255, -3.97834e-05, 0.0106596, -4.73209e-05, 0.0095268, -5.47411e-05, 0.00851314, -6.18781e-05, 0.0076059, -6.80537e-05, 0.00679373, -7.20531e-05, 0.00606648, -7.41137e-05, 0.00541506, -7.45274e-05, 0.00483133, -7.35703e-05, 0.00430799, -7.14978e-05, 0.0038385, -6.85402e-05, 0.00341699, -6.49008e-05, 0.0030382, -6.0755e-05, 0.00269738, -5.62515e-05, 0.00239028, -5.1514e-05, 0.00211306, -4.66906e-05, 0.00186225, -4.21025e-05, 0.00163472, -3.77709e-05, 0.00142763, -3.36682e-05, 0.00123838, -2.97683e-05, 0.0010646, -2.60463e-05, 0.000904141, -2.24786e-05, 0.00075498, -1.90423e-05, 0.000615255, -1.57156e-05, 0.000483221, -1.24773e-05, 0.000357228, -9.30671e-06, 0.0002357, -6.18355e-06, 0.000117118, -3.0879e-06
-0.399772, 8.0597e-06, -3.08196e-05, 0.120158, 2.28079e-05, 0.0233476, 2.28079e-05, -0.011067, 8.0597e-06, -3.08196e-05, -0.388705, 0, 0, 0.0968105, 0, 0.0233476, 2.28079e-05, 0.0208727, 2.81085e-05, 0.0186587, 3.34646e-05, 0.0166779, 3.874e-05, 0.0149056, 4.38116e-05, 0.0133196, 4.81933e-05, 0.0119002, 5.10218e-05, 0.0106294, 5.24643e-05, 0.00949159, 5.27289e-05, 0.00847238, 5.20144e-05, 0.00755908, 5.05057e-05, 0.00674027, 4.83704e-05, 0.00600571, 4.57575e-05, 0.00534622, 4.27956e-05, 0.00475356, 3.95941e-05, 0.00422032, 3.62437e-05, 0.00373983, 3.28514e-05, 0.00330609, 2.96434e-05, 0.00291368, 2.66346e-05, 0.00255768, 2.38057e-05, 0.00223366, 2.11388e-05, 0.00193756, 1.86166e-05, 0.00166568, 1.62232e-05, 0.00141462, 1.39431e-05, 0.00118124, 1.17617e-05, 0.000962626, 9.66523e-06, 0.000756047, 7.64013e-06, 0.000558918, 5.6735e-06, 0.000368775, 3.75275e-06, 0.000183242, 1.86561e-06
-0.399239, 0.000127395, -0.000354592, 0.160408, 0.000318848, 0.0339621, 0.000318848, -0.0160984, 0.000127395, -0.000354592, -0.38314, 0, 0, 0.126446, 0, 0.0339621, 0.000318848, 0.030362, 0.000379554, 0.0271414, 0.000439416, 0.0242602, 0.000497096, 0.0216821, 0.000547143, 0.0193751, 0.000579778, 0.0173103, 0.000596894, 0.0154619, 0.00060083, 0.0138067, 0.000593804, 0.0123242, 0.000577873, 0.0109957, 0.000554896, 0.00980459, 0.000526513, 0.00873608, 0.000494141, 0.00777677, 0.000458979, 0.00691467, 0.000422017, 0.006139, 0.000384449, 0.00544007, 0.0003489, 0.00480914, 0.000315558, 0.00423832, 0.00028421, 0.00372048, 0.000254656, 0.00324915, 0.000226708, 0.00281843, 0.000200187, 0.00242294, 0.000174924, 0.00205774, 0.000150759, 0.00171827, 0.000127536, 0.00140026, 0.000105108, 0.00109977, 8.33309e-05, 0.000813018, 6.20664e-05, 0.000536431, 4.11785e-05, 0.00026655, 2.05337e-05
-0.39865, 0.000107403, -0.000332181, 0.207829, 0.000362287, 0.0477949, 0.000362287, -0.0226553, 0.000107403, -0.000332181, -0.375995, 0, 0, 0.160034, 0, 0.0477949, 0.000362287, 0.0427285, 0.000419574, 0.0381962, 0.000474807, 0.0341414, 0.000522766, 0.0305133, 0.000554102, 0.0272667, 0.000570615, 0.0243609, 0.000574538, 0.0217596, 0.000567993, 0.0194303, 0.000552952, 0.0173438, 0.000531195, 0.0154742, 0.0005043, 0.013798, 0.000473627, 0.0122943, 0.000440325, 0.0109443, 0.000405347, 0.00973102, 0.000369834, 0.00863942, 0.000336309, 0.00765582, 0.000304955, 0.00676791, 0.000275572, 0.00596459, 0.000247971, 0.00523584, 0.000221978, 0.00457253, 0.000197425, 0.00396638, 0.000174157, 0.00340981, 0.000152024, 0.00289587, 0.000130886, 0.00241812, 0.000110606, 0.0019706, 9.10567e-05, 0.00154771, 7.21118e-05, 0.00114416, 5.36505e-05, 0.000754921, 3.55549e-05, 0.000375116, 1.77094e-05
-0.397183, 0.000212031, -0.000662152, 0.261097, 0.000848287, 0.063525, 0.000848287, -0.0301115, 0.000212031, -0.000662152, -0.367071, 0, 0, 0.197572, 0, 0.063525, 0.000848287, 0.0567912, 0.000960203, 0.0507672, 0.00105751, 0.0453779, 0.00112129, 0.0405558, 0.00115519, 0.0362406, 0.00116369, 0.0323784, 0.0011511, 0.028921, 0.00112137, 0.0258251, 0.00107811, 0.023052, 0.00102449, 0.020567, 0.000963263, 0.0183392, 0.000896739, 0.0163406, 0.000826832, 0.0145462, 0.000755847, 0.0129337, 0.000688926, 0.0114828, 0.00062645, 0.0101755, 0.000568022, 0.00899534, 0.000513268, 0.00792764, 0.00046184, 0.00695904, 0.000413408, 0.00607743, 0.000367664, 0.00527179, 0.000324315, 0.00453204, 0.000283084, 0.00384895, 0.000243709, 0.00321396, 0.000205938, 0.00261915, 0.000169529, 0.00205708, 0.00013425, 0.00152073, 9.98751e-05, 0.00100338, 6.61848e-05, 0.000498573, 3.29639e-05
-0.395119, 0.000263387, -0.000888173, 0.321227, 0.00131985, 0.0821643, 0.00131985, -0.0389467, 0.000263387, -0.000888173, -0.356172, 0, 0, 0.239063, 0, 0.0821643, 0.00131985, 0.0734547, 0.00145394, 0.0656632, 0.00154199, 0.0586925, 0.00158896, 0.0524555, 0.00160105, 0.0468742, 0.00158414, 0.0418788, 0.0015437, 0.0374069, 0.00148468, 0.0334026, 0.00141148, 0.0298158, 0.00132785, 0.0266018, 0.00123701, 0.0237202, 0.00114159, 0.0211352, 0.00104475, 0.0188143, 0.000953603, 0.0167286, 0.000868676, 0.0148521, 0.000789429, 0.0131611, 0.000715355, 0.0116347, 0.000645982, 0.0102538, 0.000580866, 0.00900095, 0.000519591, 0.00786065, 0.000461766, 0.00681862, 0.000407021, 0.00586182, 0.000355006, 0.00497829, 0.000305389, 0.00415699, 0.000257853, 0.00338766, 0.000212093, 0.00266067, 0.000167818, 0.00196693, 0.000124743, 0.00129779, 8.25941e-05, 0.000644863, 4.11015e-05
-0.392105, 0.000292968, -0.00110513, 0.385602, 0.00187027, 0.103327, 0.00187027, -0.0489781, 0.000292968, -0.00110513, -0.343127, 0, 0, 0.282275, 0, 0.103327, 0.00187027, 0.0923741, 0.00198386, 0.0825758, 0.00204459, 0.0738098, 0.0020604, 0.0659663, 0.00203888, 0.0589474, 0.00198709, 0.0526654, 0.00191141, 0.0470417, 0.00181752, 0.042006, 0.00171029, 0.0374954, 0.00159387, 0.0334535, 0.00147164, 0.0298297, 0.00134773, 0.0265789, 0.00123126, 0.0236602, 0.00112294, 0.0210374, 0.00102208, 0.0186774, 0.00092802, 0.016551, 0.000840174, 0.0146314, 0.000757974, 0.0128948, 0.000680895, 0.0113193, 0.000608444, 0.00988529, 0.000540157, 0.00857487, 0.000475597, 0.00737163, 0.000414351, 0.00626053, 0.000356026, 0.00522769, 0.000300251, 0.0042602, 0.000246667, 0.00334596, 0.000194933, 0.00247355, 0.000144716, 0.00163205, 9.56966e-05, 0.000810958, 4.75604e-05
-0.38797, 0.000267362, -0.00123674, 0.448277, 0.00232543, 0.126497, 0.00232543, -0.0599609, 0.000267362, -0.00123674, -0.328009, 0, 0, 0.32178, 0, 0.126497, 0.00232543, 0.113088, 0.00239666, 0.101093, 0.00241509, 0.0903608, 0.00238964, 0.0807585, 0.00232861, 0.0721657, 0.00223956, 0.064475, 0.00212916, 0.0575902, 0.00200321, 0.0514254, 0.0018666, 0.0459033, 0.00172338, 0.0409551, 0.00157838, 0.0365187, 0.0014423, 0.0325389, 0.00131598, 0.0289658, 0.00119859, 0.0257547, 0.00108939, 0.0228656, 0.000987678, 0.0202624, 0.000892802, 0.0179124, 0.000804153, 0.0157863, 0.000721163, 0.0138575, 0.0006433, 0.012102, 0.000570064, 0.0104977, 0.000500986, 0.00902463, 0.000435622, 0.00766438, 0.000373555, 0.00639994, 0.000314386, 0.0052155, 0.000257735, 0.00409626, 0.00020324, 0.00302821, 0.000150551, 0.00199802, 9.93325e-05, 0.000992806, 4.92555e-05
-0.38246, 0.000281025, -0.00153047, 0.508059, 0.00311726, 0.150725, 0.00311726, -0.0714454, 0.000281025, -0.00153047, -0.311015, 0, 0, 0.357333, 0, 0.150725, 0.00311726, 0.134748, 0.00314145, 0.120455, 0.0031085, 0.107668, 0.00302922, 0.0962265, 0.00291348, 0.0859879, 0.00277, 0.0768241, 0.00260635, 0.0686207, 0.00242893, 0.0612751, 0.00224303, 0.0546953, 0.00205495, 0.0487993, 0.00187865, 0.0435133, 0.00171519, 0.0387712, 0.00156352, 0.0345137, 0.00142267, 0.0306877, 0.00129173, 0.0272452, 0.00116988, 0.0241433, 0.00105631, 0.0213432, 0.000950304, 0.0188099, 0.000851182, 0.0165117, 0.000758306, 0.0144199, 0.00067108, 0.0125083, 0.000588943, 0.0107532, 0.000511367, 0.00913237, 0.000437856, 0.00762575, 0.000367936, 0.00621445, 0.000301159, 0.00488083, 0.000237098, 0.00360822, 0.000175341, 0.00238071, 0.000115492, 0.00118296, 5.71698e-05
