vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,0.000710882,6.28189,6.24592,6.24877
0,0,0,0,0.000572678,6.28246,6.24592,6.24877
0,0,0,0,0.00024457,0.000365871,6.24592,6.24877
0,0,0,0,6.2829,0.00142178,6.24592,6.24877
0,0,0,0,6.28267,0.0016097,6.24592,6.24877
0,0,0,0,6.28263,0.00160871,6.24592,6.24877
0,0,0,0,6.28263,0.00160672,6.24592,6.24877
0,0,0,0,6.28264,0.00157192,6.24592,6.24877
0,0,0,0,6.28267,0.00139196,6.24592,6.24877
0,0,0,0,6.28272,0.00062438,6.24592,6.24877
0,0,0,0,6.28283,6.28247,6.24592,6.24877
0,0,0,0,6.28301,6.28141,6.24592,6.24877
0,0,0,0,9.94069e-05,6.28138,6.24592,6.24877
0,0,0,0,0.000474246,6.28139,6.24592,6.24877
0,0,0,0,0.000655203,6.28144,6.24592,6.24877
0,0,0,0,0.000657191,6.28158,6.24592,6.24877
0,0,0,0,0.000653214,6.28195,6.24592,6.24877
0,0,0,0,0.000610461,6.28265,6.24592,6.24877
0,0,0,0,0.000491148,0.000679065,6.24592,6.24877
0,0,0,0,0.000222696,0.00161865,6.24592,6.24877
0,0,0,0,6.28295,0.0016962,6.24592,6.24877
0,0,0,0,6.28273,0.0016962,6.24592,6.24877
0,0,0,0,6.28268,0.00168626,6.24592,6.24877
0,0,0,0,6.28269,0.00161169,6.24592,6.24877
0,0,0,0,6.2827,0.00133031,6.24592,6.24877
0,0,0,0,6.28275,0.00031914,6.24592,6.24877
0,0,0,0,6.28285,6.28202,6.24592,6.24877
0,0,0,0,6.28305,6.28142,6.24592,6.24877
0,0,0,0,0.000245564,6.28142,6.24592,6.24877
0,0,0,0,0.000695968,6.28145,6.24592,6.24877
0,0,0,0,0.000777498,6.28153,6.24592,6.24877
0,0,0,0,0.000776503,6.28174,6.24592,6.24877
0,0,0,0,0.000763578,6.28218,6.24592,6.24877
0,0,0,0,0.000703922,6.28314,6.24592,6.24877
