time_stamp [], traj_point [], x_pos [m], y_pos [m], heading [rad], lin_vel [m/s], ang_vel [rad/s]
0.000000000,0,0,0,0,0,0
0.000000000,0,-0.399959,3.26152e-06,-1.67265e-07,0.00197572,0
0.000000000,0,-0.399729,3.26148e-06,-1.67265e-07,0.0079029,0
0.000000000,0,-0.399103,3.26138e-06,-1.67265e-07,0.0177815,0
0.000000000,0,-0.397885,3.26117e-06,-1.67265e-07,0.0316116,0
0.000000000,0,-0.395876,3.26083e-06,-1.67265e-07,0.0493931,0
0.000000000,0,-0.39288,3.26033e-06,-1.67265e-07,0.0711261,0
0.000000000,0,-0.388698,3.25963e-06,-1.67265e-07,0.0968105,0
0.000000000,0,-0.383133,3.25869e-06,-1.67265e-07,0.126446,0
0.000000000,0,-0.375989,3.25749e-06,-1.67265e-07,0.159709,0
0.000000000,0,-0.367204,3.25601e-06,-1.67265e-07,0.19103,0
0.000000000,0,-0.356951,3.25429e-06,-1.67265e-07,0.2184,0
0.000000000,0,-0.34543,3.25235e-06,-1.67265e-07,0.241819,0
0.000000000,0,-0.332835,3.25023e-06,-1.67265e-07,0.261286,0
0.000000000,0,-0.319367,3.24797e-06,-1.67265e-07,0.276802,0
0.000000000,0,-0.305221,3.24559e-06,-1.67265e-07,0.288366,0
0.000000000,0,-0.290596,3.24313e-06,-1.67265e-07,0.295979,0
0.000000000,0,-0.275689,3.24063e-06,-1.67265e-07,0.29964,0
0.000000000,0,-0.260692,3.2381e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.245692,3.23558e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.230692,3.23306e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.215692,3.23054e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.200692,3.22802e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.185692,3.22549e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.170692,3.22297e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.155692,3.22045e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.140692,3.21793e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.125692,3.21541e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.110692,3.21288e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.0956916,3.21036e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.0806916,3.20784e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.0656916,3.20532e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.0506916,3.2028e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.0356916,3.20027e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.0206916,3.19775e-06,-1.67265e-07,0.3,0
0.000000000,0,-0.00569161,3.19523e-06,-1.67265e-07,0.3,0
0.000000000,0,0.00930839,3.19271e-06,-1.67265e-07,0.3,0
0.000000000,0,0.0243084,3.19019e-06,-1.67265e-07,0.3,0
0.000000000,0,0.0393084,3.18766e-06,-1.67265e-07,0.3,0
0.000000000,0,0.0543084,3.18514e-06,-1.67265e-07,0.3,0
0.000000000,0,0.0693084,3.18262e-06,-1.67265e-07,0.3,0
0.000000000,0,0.0843084,3.1801e-06,-1.67265e-07,0.3,0
0.000000000,0,0.0993084,3.17758e-06,-1.67265e-07,0.3,0
0.000000000,0,0.114308,3.17505e-06,-1.67265e-07,0.3,0
0.000000000,0,0.129308,3.17253e-06,-1.67265e-07,0.3,0
0.000000000,0,0.144308,3.17001e-06,-1.67265e-07,0.3,0
0.000000000,0,0.159308,3.16749e-06,-1.67265e-07,0.3,0
0.000000000,0,0.174308,3.16496e-06,-1.67265e-07,0.3,0
