vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,0.000673099,0.00074071,6.28318,6.24606
0,0,0,0,0.000655203,0.000519982,6.28318,6.24606
0,0,0,0,0.000569696,3.6768e-05,6.28318,6.24606
0,0,0,0,0.000356922,6.28262,6.28318,6.24606
0,0,0,0,1.98655e-05,6.2824,6.28318,6.24606
0,0,0,0,6.28273,6.28235,6.28318,6.24606
0,0,0,0,6.28236,6.28235,6.28318,6.24606
0,0,0,0,6.28233,6.28235,6.28318,6.24606
0,0,0,0,6.28234,6.28238,6.28318,6.24606
0,0,0,0,6.28235,6.28247,6.28318,6.24606
0,0,0,0,6.2824,6.28271,6.28318,6.24606
0,0,0,0,6.28258,6.28307,6.28318,6.24606
0,0,0,0,6.28301,0.000335048,6.28318,6.24606
0,0,0,0,0.000460326,0.000757612,6.28318,6.24606
0,0,0,0,0.000693979,0.000840136,6.28318,6.24606
0,0,0,0,0.000781475,0.000844114,6.28318,6.24606
0,0,0,0,0.000789429,0.000844114,6.28318,6.24606
0,0,0,0,0.000788435,0.000842125,6.28318,6.24606
0,0,0,0,0.000783463,0.000823234,6.28318,6.24606
0,0,0,0,0.000750652,0.000755624,6.28318,6.24606
0,0,0,0,0.000539868,0.000535891,6.28318,6.24606
0,0,0,0,0.000139178,0.000101395,6.28318,6.24606
0,0,0,0,6.28282,6.28268,6.28318,6.24606
0,0,0,0,6.28234,6.28243,6.28318,6.24606
0,0,0,0,6.28229,6.28236,6.28318,6.24606
0,0,0,0,6.28229,6.28236,6.28318,6.24606
0,0,0,0,6.2823,6.28237,6.28318,6.24606
0,0,0,0,6.28235,6.28239,6.28318,6.24606
0,0,0,0,6.28253,6.28248,6.28318,6.24606
0,0,0,0,6.28288,6.28273,6.28318,6.24606
0,0,0,0,0.000316157,6.28309,6.28318,6.24606
0,0,0,0,0.00064526,0.000343997,6.28318,6.24606
0,0,0,0,0.000759601,0.000721819,6.28318,6.24606
0,0,0,0,0.000797383,0.000803349,6.28318,6.24606
0,0,0,0,0.000797383,0.000804343,6.28318,6.24606
0,0,0,0,0.000795394,0.000803349,6.28318,6.24606
0,0,0,0,0.000783463,0.000797383,6.28318,6.24606
0,0,0,0,0.000718836,0.000763578,6.28318,6.24606
0,0,0,0,0.000486177,0.000644266,6.28318,6.24606
0,0,0,0,8.05158e-05,0.000352945,6.28318,6.24606
0,0,0,0,6.28279,6.2829,6.28318,6.24606
0,0,0,0,6.28239,6.28245,6.28318,6.24606
0,0,0,0,6.28237,6.28226,6.28318,6.24606
0,0,0,0,6.28237,6.28222,6.28318,6.24606
0,0,0,0,6.28238,6.28222,6.28318,6.24606
0,0,0,0,6.28242,6.28224,6.28318,6.24606
0,0,0,0,6.28255,6.28231,6.28318,6.24606
0,0,0,0,6.28284,6.28254,6.28318,6.24606
0,0,0,0,0.000235622,6.28298,6.28318,6.24606
0,0,0,0,0.000579638,0.000193862,6.28318,6.24606
0,0,0,0,0.000656197,0.000675088,6.28318,6.24606
0,0,0,0,0.000674094,0.00080832,6.28318,6.24606
0,0,0,0,0.000674094,0.00080832,6.28318,6.24606
0,0,0,0,0.000672105,0.00080832,6.28318,6.24606
0,0,0,0,0.00065918,0.000804343,6.28318,6.24606
0,0,0,0,0.000575661,0.000775509,6.28318,6.24606
0,0,0,0,0.000354934,0.000675088,6.28318,6.24606
0,0,0,0,4.95145e-06,0.000396693,6.28318,6.24606
0,0,0,0,6.2827,6.28305,6.28318,6.24606
0,0,0,0,6.28241,6.28256,6.28318,6.24606
0,0,0,0,6.28241,6.28237,6.28318,6.24606
0,0,0,0,6.28241,6.28233,6.28318,6.24606
0,0,0,0,6.28242,6.28233,6.28318,6.24606
0,0,0,0,6.28248,6.28233,6.28318,6.24606
0,0,0,0,6.28263,6.28237,6.28318,6.24606
0,0,0,0,6.28296,6.28248,6.28318,6.24606
0,0,0,0,0.00031914,6.28276,6.28318,6.24606
0,0,0,0,0.000568701,6.28313,6.28318,6.24606
0,0,0,0,0.000646254,0.000395699,6.28318,6.24606
0,0,0,0,0.00065918,0.00071287,6.28318,6.24606
0,0,0,0,0.000658185,0.000767555,6.28318,6.24606
0,0,0,0,0.000656197,0.000768549,6.28318,6.24606
0,0,0,0,0.000644266,0.000767555,6.28318,6.24606
0,0,0,0,0.000587592,0.000762584,6.28318,6.24606
0,0,0,0,0.000426521,0.00072679,6.28318,6.24606
0,0,0,0,0.000101395,0.000583615,6.28318,6.24606
0,0,0,0,6.28276,0.000281358,6.28318,6.24606
0,0,0,0,6.28221,6.28287,6.28318,6.24606
0,0,0,0,6.28179,6.28242,6.28318,6.24606
0,0,0,0,6.28131,6.28201,6.28318,6.24606
0,0,0,0,6.28123,6.28163,6.28318,6.24606
0,0,0,0,6.28119,6.28152,6.28318,6.24606
0,0,0,0,6.28113,6.28144,6.28318,6.24606
0,0,0,0,6.28101,6.28131,6.28318,6.24606
0,0,0,0,6.28087,6.2811,6.28318,6.24606
0,0,0,0,6.2807,6.28085,6.28318,6.24606
0,0,0,0,6.28056,6.28072,6.28318,6.24606
0,0,0,0,6.28045,6.28067,6.28318,6.24606
0,0,0,0,6.28034,6.28062,6.28318,6.24606
0,0,0,0,6.28026,6.28056,6.28318,6.24606
