x_pos [m], y_pos [m], heading [rad]
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.397326,-0.00161188,0.00024031
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399189,-0.000396156,0.000144633
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.399812,-3.98905e-05,9.22667e-05
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
-0.39982,-4.36218e-05,0.000101593
