vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,0.00160672,6.28308,6.24591,6.24723
0,0,0,0,0.00151425,6.28234,6.24591,6.24723
0,0,0,0,0.00117023,6.28212,6.24591,6.24723
0,0,0,0,0.000267438,6.28205,6.24591,6.24723
0,0,0,0,6.28231,6.28206,6.24591,6.24723
0,0,0,0,6.28176,6.28215,6.24591,6.24723
0,0,0,0,6.28176,6.28239,6.24591,6.24723
0,0,0,0,6.28178,6.2829,6.24591,6.24723
0,0,0,0,6.28184,0.000191874,6.24591,6.24723
0,0,0,0,6.28196,0.000817268,6.24591,6.24723
0,0,0,0,6.28237,0.000946523,6.24591,6.24723
0,0,0,0,3.37852e-05,0.0009505,6.24591,6.24723
0,0,0,0,0.00101214,0.000948512,6.24591,6.24723
0,0,0,0,0.00155601,0.000915701,6.24591,6.24723
0,0,0,0,0.0015918,0.000827211,6.24591,6.24723
0,0,0,0,0.00156496,0.000618415,6.24591,6.24723
0,0,0,0,0.00148641,0.000201816,6.24591,6.24723
0,0,0,0,0.00123586,6.28259,6.24591,6.24723
0,0,0,0,0.000488166,6.28228,6.24591,6.24723
0,0,0,0,6.28261,6.2822,6.24591,6.24723
0,0,0,0,6.28182,6.28221,6.24591,6.24723
0,0,0,0,6.28177,6.28223,6.24591,6.24723
0,0,0,0,6.28178,6.28231,6.24591,6.24723
0,0,0,0,6.28181,6.28252,6.24591,6.24723
0,0,0,0,6.28191,6.28294,6.24591,6.24723
0,0,0,0,6.28218,0.000227667,6.24591,6.24723
0,0,0,0,6.2829,0.000865987,6.24591,6.24723
0,0,0,0,0.000555776,0.00105291,6.24591,6.24723
0,0,0,0,0.00136312,0.00106484,6.24591,6.24723
0,0,0,0,0.00152022,0.00106285,6.24591,6.24723
0,0,0,0,0.00151425,0.00104297,0,6.24723
0,0,0,0,0.00145062,0.000967403,6.24591,6.24723
0,0,0,0,0.00126867,0.000725796,6.24591,6.24723
0,0,0,0,0.000586598,0.000314169,6.24591,6.24723
0,0,0,0,6.28266,6.28269,0,6.24723
0,0,0,0,6.28168,6.28216,0,6.24723
0,0,0,0,6.28161,6.28196,0,6.24723
0,0,0,0,6.28162,6.28197,6.24591,6.24723
0,0,0,0,6.28166,6.28201,6.24591,6.24723
0,0,0,0,6.2818,6.28208,6.24591,6.24723
0,0,0,0,6.28214,6.28242,6.24591,6.24723
0,0,0,0,6.28299,6.28303,6.24591,6.24723
0,0,0,0,0.00097834,0.000458338,6.24591,6.24723
0,0,0,0,0.00188611,0.00103402,6.24591,6.24723
0,0,0,0,0.00191096,0.00112251,6.24591,6.24723
0,0,0,0,0.00187318,0.00112151,6.24591,6.24723
0,0,0,0,0.00178767,0.00110859,6.24591,6.24723
0,0,0,0,0.0015063,0.0010539,6.24591,6.24723
0,0,0,0,0.000647249,0.000879907,6.24591,6.24723
0,0,0,0,6.28251,0.000422544,6.24591,6.24723
0,0,0,0,6.28165,6.28285,6.24591,6.24723
0,0,0,0,6.28164,6.28224,6.24591,6.24723
0,0,0,0,6.28165,6.28208,6.24591,6.24723
